tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
32,1024,1,4,929.8759765625,0
64,8,4,1,63.082496643066406,6253
64,32,16,2,63.12140655517578,11689
1024,64,1,2,112.41983795166016,20614
64,8,4,1,63.080448150634766,26671
512,64,64,2,11.502592086791992,29587
256,8,32,1,15.880191802978516,32125
64,16,4,1,63.0302734375,38717
16,1024,4,128,474.5994262695313,66966
8,64,8,16,568.0128173828125,99851
128,1024,2,512,192.72499084472656,112897
2,512,2,32,1823.562744140625,115891
256,128,16,4,23.47315216064453,119898
512,32,64,2,10.132479667663574,122613
512,128,64,2,18.68492889404297,125611
256,128,32,4,22.792192459106445,128805
64,8,64,2,81.04345703125,135219
256,128,1,8,63.7020149230957,141634
4,32,4,32,1007.3078002929688,197957
128,512,64,4,85.47737884521484,206373
512,32,64,2,10.134528160095217,209581
512,128,64,2,18.693119049072266,213277
256,64,16,4,20.03251266479492,216880
256,64,16,4,20.0314884185791,221350
512,2,64,2,10.673151969909668,223976
512,128,64,16,24.681472778320312,228561
512,64,64,4,14.96678352355957,232840
128,64,2,8,34.360321044921875,237957
512,32,64,2,10.13043212890625,240775
512,32,64,2,10.134528160095217,244093
512,16,64,2,10.150912284851074,246774
256,32,16,4,20.07756805419922,249874
512,64,64,1,11.957247734069824,252693
1024,32,256,1,7.2775678634643555,256007
256,32,32,2,20.166656494140625,259958
512,32,128,2,11.72377586364746,262356
512,32,256,2,14.120960235595703,265482
1024,32,256,1,7.275519847869873,267880
512,128,256,2,25.449472427368164,272022
1024,32,256,1,7.285759925842285,275175
512,32,256,1,11.108351707458496,278783
1024,32,256,1,7.2867841720581055,281430
1024,32,64,2,5.815296173095703,283418
1024,32,256,2,7.098368167877197,285818
1024,32,64,2,5.8122239112854,287729
1024,32,32,2,5.9310078620910645,289858
1024,32,64,2,5.811200141906738,292595
1024,128,64,2,16.86016082763672,296215
1024,64,64,4,10.829824447631836,298977
1024,32,64,2,5.811200141906738,300913
1024,32,64,2,5.813248157501221,303474
1024,16,64,2,5.104640007019043,305639
1024,4,64,4,6.1675519943237305,307992
1024,16,64,2,5.104640007019043,310275
1024,16,64,2,5.103616237640381,313011
1024,16,32,4,5.297152042388916,315797
512,16,64,4,11.817983627319336,318584
512,64,32,4,11.468799591064451,321241
1024,16,64,4,6.02726411819458,324316
1024,8,64,2,5.249023914337158,326153
1024,16,256,2,7.19052791595459,328563
256,16,16,4,20.6561279296875,331657
512,16,128,2,11.782143592834473,334559
1024,8,64,2,5.2500481605529785,337071
1024,32,64,2,5.818367958068848,339479
1024,16,64,2,5.1025919914245605,342257
512,16,32,4,10.448896408081056,345438
512,16,64,2,10.152959823608398,349291
512,16,128,2,11.782143592834473,352131
1024,8,64,2,5.249023914337158,354340
1024,16,64,4,6.029312133789063,356682
1024,16,64,2,5.103616237640381,359906
1024,16,64,2,5.103616237640381,362319
512,16,32,4,10.448896408081056,365167
512,16,64,2,10.150912284851074,368536
1024,8,64,2,5.2500481605529785,370436
1024,4,128,2,6.114304065704346,372734
1024,4,128,2,6.114304065704346,374978
1024,32,64,4,7.513088226318359,377971
1024,8,1024,1,13.08569622039795,380614
512,16,32,4,10.448896408081056,382664
512,16,64,2,10.150912284851074,385683
512,16,64,2,10.149888038635254,388515
512,16,32,4,10.447872161865234,391145
1024,8,1024,1,13.088768005371094,393657
1024,256,256,2,30.922752380371094,398354
