IMAGES_CACHE_LCL,IMAGES_CACHE_PRV,FILTER_CACHE_LCL,FILTER_CACHE_PRV,OUT_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WG_4_OCL_DIM,WG_5_OCL_DIM,WG_6_OCL_DIM,WG_7_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,WI_4_OCL_DIM,WI_5_OCL_DIM,WI_6_OCL_DIM,WI_7_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,INPUT_SIZE_4,WG_4,GLB_4,WI_4,LCL_4,PRV_4,INPUT_SIZE_5,WG_5,GLB_5,WI_5,LCL_5,PRV_5,INPUT_SIZE_6,WG_6,GLB_6,WI_6,LCL_6,PRV_6,INPUT_SIZE_7,WG_7,GLB_7,WI_7,LCL_7,PRV_7,runtime,Valid,timestamp
1,1,1,1,0,4,2,6,5,1,3,0,5,0,2,4,1,6,3,16,8,1,1,2,1,64,2,2,4,2,2,112,4,14,1,2,1,112,16,1,7,1,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,11566080,True,2021
0,0,1,1,0,6,3,1,5,2,4,0,6,3,2,4,0,5,1,16,4,4,1,1,1,64,8,8,1,1,1,112,1,2,7,8,1,112,7,4,1,2,2,3,1,3,1,1,1,7,1,1,1,7,1,7,1,1,1,1,7,12014592,True,3797
0,0,1,1,1,6,0,2,3,1,4,5,5,3,0,2,4,1,6,16,1,1,1,2,8,64,1,1,4,2,8,112,1,16,1,7,1,112,1,2,56,1,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,1,7,214423552,True,8021
0,0,0,1,0,4,5,2,3,1,6,0,5,4,6,2,0,3,1,16,16,1,1,1,1,64,8,2,4,1,1,112,8,1,1,2,7,112,16,7,1,1,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,7,1,1,1,77280256,True,10066
1,1,1,1,0,4,2,6,5,1,3,0,5,0,2,6,1,4,3,16,8,1,1,2,1,64,2,2,4,2,2,112,4,14,1,2,1,112,16,1,7,1,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,11523072,True,11613
1,1,1,1,0,4,2,6,5,1,3,0,5,0,2,4,1,6,3,16,8,1,1,2,1,64,2,2,4,2,2,112,4,14,1,2,1,112,16,1,7,1,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,11516928,True,13093
1,0,1,1,0,0,3,6,5,2,1,4,5,0,2,4,1,6,3,16,8,1,1,2,1,64,2,2,4,2,2,112,4,14,1,2,1,112,16,1,7,1,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,7,1,1,1,11506688,True,14662
0,1,0,0,1,4,6,3,5,2,0,1,6,0,5,3,4,1,2,16,2,8,1,1,1,64,1,64,1,1,1,112,28,2,2,1,1,112,8,1,7,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,4544512,True,16125
0,0,0,1,1,5,6,4,3,0,1,2,6,2,0,1,4,3,5,16,1,2,2,2,2,64,8,8,1,1,1,112,112,1,1,1,1,112,14,2,4,1,1,3,1,1,1,3,1,7,1,1,1,7,1,7,1,7,1,1,1,4275200,True,17717
0,1,1,0,0,4,6,5,1,3,2,0,6,1,0,3,4,5,2,16,8,2,1,1,1,64,8,2,1,4,1,112,16,1,7,1,1,112,1,112,1,1,1,3,1,1,1,1,3,7,1,1,1,7,1,7,1,7,1,1,1,17036288,True,19395
