A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
0,1,0,1,0,1,0,2,1,2,0,1,1,1,1,1,1,1000,20,50,1,1,1,2048,1,4,1,2,256,3581952,True,1266
0,0,0,0,1,0,1,2,2,1,0,1,1,1,1,1,1,1000,40,5,5,1,1,2048,1,16,1,128,1,646144,True,2188
1,1,1,0,0,2,0,1,1,2,0,1,1,1,1,1,1,1000,200,5,1,1,1,2048,1,256,1,2,4,474112,True,2999
1,1,0,1,1,2,1,0,1,0,2,1,1,1,1,1,1,1000,40,1,25,1,1,2048,1,256,1,2,4,69632,True,3847
0,1,1,0,1,0,2,1,1,0,2,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,2048,1,1,1,235520,True,4767
0,0,1,1,1,2,1,0,2,1,0,1,1,1,1,1,1,1000,20,1,50,1,1,2048,1,2048,1,1,1,156672,True,5814
0,1,0,1,0,1,2,0,2,1,0,1,1,1,1,1,1,1000,8,1,1,25,5,2048,1,1024,1,2,1,12027904,True,6865
0,0,1,1,1,2,0,1,1,2,0,1,1,1,1,1,1,1000,125,1,1,4,2,2048,1,2,1,128,8,452608,True,7816
0,1,1,0,1,1,2,0,1,0,2,1,1,1,1,1,1,1000,100,5,1,1,2,2048,1,64,1,32,1,2022399,True,8961
1,0,0,0,0,0,2,1,0,1,2,1,1,1,1,1,1,1000,500,2,1,1,1,2048,1,512,1,4,1,149504,True,9870
0,0,0,1,1,1,2,0,0,1,2,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,2048,1,1,1,65536,True,10851
1,0,1,0,0,1,0,2,1,2,0,1,1,1,1,1,1,1000,2,5,20,1,5,2048,1,2048,1,1,1,9223372036854775807,False,11876
0,1,1,1,1,0,2,1,0,1,2,1,1,1,1,1,1,1000,5,50,1,2,2,2048,1,32,1,4,16,8368128,True,12748
1,1,0,1,1,1,0,2,2,1,0,1,1,1,1,1,1,1000,4,250,1,1,1,2048,1,1024,1,1,2,15506432,True,13970
0,0,1,0,1,1,2,0,0,2,1,1,1,1,1,1,1,1000,5,5,2,20,1,2048,1,16,1,4,32,5157888,True,14869
0,1,0,0,0,2,0,1,0,2,1,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,32,1,4,16,64512,True,15502
0,1,1,0,1,0,2,1,0,1,2,1,1,1,1,1,1,1000,50,2,5,2,1,2048,1,64,1,32,1,400384,True,16414
1,0,1,1,0,2,1,0,1,2,0,1,1,1,1,1,1,1000,40,1,25,1,1,2048,1,8,1,32,8,200704,True,17265
0,0,1,1,0,0,1,2,0,2,1,1,1,1,1,1,1,1000,20,1,5,5,2,2048,1,2,1,4,256,9223372036854775807,False,19212
1,0,0,0,1,2,1,0,2,0,1,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,512,1,1,4,88064,True,20230
0,1,0,1,0,0,1,2,0,1,2,1,1,1,1,1,1,1000,10,4,25,1,1,2048,1,256,1,8,1,434176,True,21339
1,1,1,1,0,0,2,1,2,0,1,1,1,1,1,1,1,1000,40,5,1,1,5,2048,1,4,1,32,16,5945344,True,22552
1,0,0,0,1,0,2,1,0,1,2,1,1,1,1,1,1,1000,8,5,1,5,5,2048,1,4,1,1,512,3834880,True,23545
1,1,0,0,1,1,2,0,1,0,2,1,1,1,1,1,1,1000,1,125,1,2,4,2048,1,8,1,16,16,29530112,True,24481
1,0,0,1,1,1,0,2,1,2,0,1,1,1,1,1,1,1000,10,2,50,1,1,2048,1,2048,1,1,1,267264,True,25281
1,0,0,0,1,1,2,0,2,0,1,1,1,1,1,1,1,1000,10,10,10,1,1,2048,1,1,1,16,128,608256,True,26019
0,0,0,0,0,1,0,2,2,1,0,1,1,1,1,1,1,1000,1,125,1,2,4,2048,1,2048,1,1,1,32054272,True,27068
1,1,1,1,1,2,0,1,1,2,0,1,1,1,1,1,1,1000,125,1,1,2,4,2048,1,256,1,2,4,309248,True,28078
0,1,1,0,1,0,2,1,0,1,2,1,1,1,1,1,1,1000,8,1,25,1,5,2048,1,4,1,128,4,9223372036854775807,False,28622
1,1,0,1,0,1,0,2,1,0,2,1,1,1,1,1,1,1000,25,4,2,1,5,2048,1,4,1,64,8,1006592,True,29710
1,0,1,1,0,2,1,0,2,1,0,1,1,1,1,1,1,1000,5,100,2,1,1,2048,1,2,1,1,1024,9247744,True,30909
0,1,1,0,0,2,1,0,2,0,1,1,1,1,1,1,1,1000,125,8,1,1,1,2048,1,1024,1,1,2,1035264,True,32161
1,1,1,0,1,1,0,2,2,1,0,1,1,1,1,1,1,1000,125,2,2,1,2,2048,1,16,1,8,16,284672,True,33186
1,0,0,1,0,1,2,0,1,2,0,1,1,1,1,1,1,1000,50,10,2,1,1,2048,1,16,1,16,8,1077248,True,34245
0,0,0,0,0,0,1,2,0,2,1,1,1,1,1,1,1,1000,2,100,1,1,5,2048,1,2,1,128,8,16704512,True,35351
0,0,1,0,0,2,0,1,1,0,2,1,1,1,1,1,1,1000,500,1,2,1,1,2048,1,1,1,8,256,78848,True,36306
1,0,0,1,0,1,0,2,2,0,1,1,1,1,1,1,1,1000,50,1,10,1,2,2048,1,512,1,1,4,117760,True,37276
0,1,0,0,0,0,2,1,0,2,1,1,1,1,1,1,1,1000,2,10,10,5,1,2048,1,4,1,512,1,1825792,True,38159
1,1,1,1,0,2,0,1,2,1,0,1,1,1,1,1,1,1000,1,50,4,5,1,2048,1,256,1,8,1,12848128,True,38958
0,1,1,1,0,2,0,1,1,0,2,1,1,1,1,1,1,1000,20,1,5,1,10,2048,1,256,1,4,2,2581504,True,40050
0,1,1,0,0,0,1,2,1,2,0,1,1,1,1,1,1,1000,1,20,50,1,1,2048,1,1024,1,1,2,2099200,True,40958
0,0,1,0,0,0,1,2,0,2,1,1,1,1,1,1,1,1000,125,2,4,1,1,2048,1,256,1,1,8,182272,True,41974
0,0,0,1,0,2,0,1,1,2,0,1,1,1,1,1,1,1000,40,5,1,1,5,2048,1,64,1,2,16,1137664,True,43050
1,0,0,0,1,2,0,1,0,2,1,1,1,1,1,1,1,1000,2,1,125,1,4,2048,1,8,1,32,8,204800,True,44150
0,1,0,1,0,2,1,0,1,0,2,1,1,1,1,1,1,1000,50,1,2,1,10,2048,1,8,1,128,2,636928,True,44923
0,0,1,1,0,0,2,1,1,2,0,1,1,1,1,1,1,1000,100,2,5,1,1,2048,1,2048,1,1,1,252927,True,46100
0,1,1,0,0,2,0,1,1,0,2,1,1,1,1,1,1,1000,20,5,1,2,5,2048,1,8,1,1,256,8137727,True,47411
0,1,0,1,0,2,1,0,2,0,1,1,1,1,1,1,1,1000,10,5,2,10,1,2048,1,512,1,4,1,2056191,True,48433
1,0,1,1,1,2,1,0,1,2,0,1,1,1,1,1,1,1000,20,10,5,1,1,2048,1,32,1,32,2,1613824,True,49240
0,1,0,0,1,0,1,2,2,1,0,1,1,1,1,1,1,1000,5,20,1,5,2,2048,1,64,1,4,8,7275520,True,50394
1,1,1,0,0,0,1,2,2,0,1,1,1,1,1,1,1,1000,40,1,25,1,1,2048,1,32,1,8,8,225280,True,51409
1,1,1,1,0,1,2,0,2,0,1,1,1,1,1,1,1,1000,100,2,5,1,1,2048,1,512,1,2,2,338944,True,52519
0,0,1,1,0,0,2,1,1,2,0,1,1,1,1,1,1,1000,50,1,4,5,1,2048,1,1,1,8,256,9223372036854775807,False,53491
0,1,0,0,1,0,2,1,1,2,0,1,1,1,1,1,1,1000,10,50,1,2,1,2048,1,256,1,4,2,3701760,True,54649
1,1,0,0,0,1,2,0,1,2,0,1,1,1,1,1,1,1000,100,5,2,1,1,2048,1,16,1,128,1,545792,True,55558
0,0,0,1,1,0,2,1,2,1,0,1,1,1,1,1,1,1000,4,2,5,25,1,2048,1,512,1,4,1,2800640,True,56704
1,1,1,0,1,1,2,0,0,1,2,1,1,1,1,1,1,1000,1,10,50,2,1,2048,1,4,1,1,512,9223372036854775807,False,57955
1,1,0,0,1,2,0,1,0,1,2,1,1,1,1,1,1,1000,25,4,2,5,1,2048,1,4,1,512,1,969728,True,58708
1,1,1,0,1,0,2,1,2,0,1,1,1,1,1,1,1,1000,5,50,1,2,2,2048,1,4,1,32,16,6617088,True,59617
0,0,1,1,0,0,2,1,2,0,1,1,1,1,1,1,1,1000,25,2,1,4,5,2048,1,2,1,16,64,9223372036854775807,False,60346
1,1,1,1,0,0,1,2,0,1,2,1,1,1,1,1,1,1000,50,4,5,1,1,2048,1,16,1,2,64,1454080,True,61313
0,1,0,0,1,2,0,1,0,2,1,1,1,1,1,1,1,1000,2,125,1,4,1,2048,1,128,1,8,2,14679040,True,62395
1,0,0,0,0,2,0,1,2,1,0,1,1,1,1,1,1,1000,200,5,1,1,1,2048,1,64,1,2,16,535552,True,63280
1,1,0,1,1,0,1,2,2,1,0,1,1,1,1,1,1,1000,1,250,1,1,4,2048,1,32,1,1,64,40229888,True,64721
0,0,1,1,0,1,0,2,1,0,2,1,1,1,1,1,1,1000,5,50,2,2,1,2048,1,1,1,32,64,2929664,True,65763
0,1,0,1,1,1,0,2,1,2,0,1,1,1,1,1,1,1000,1,20,10,5,1,2048,1,1,1,128,16,3134464,True,66566
0,0,1,0,0,0,1,2,0,1,2,1,1,1,1,1,1,1000,500,2,1,1,1,2048,1,512,1,1,4,223232,True,67310
0,0,1,0,1,1,2,0,2,0,1,1,1,1,1,1,1,1000,40,25,1,1,1,2048,1,512,1,4,1,1915904,True,68195
