A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
1,1,1,0,0,0,2,1,1,2,0,16,2,2,2,2,1,1000,10,1,5,10,2,2048,1,16,1,128,1,9223372036854775807,False,2731
0,1,1,1,1,0,2,1,1,2,0,16,1,1,16,1,1,1000,5,1,2,1,100,2048,1,2,1,1024,1,9223372036854775807,False,3687
0,0,1,0,0,1,2,0,1,0,2,16,4,1,2,1,2,1000,2,25,1,10,2,2048,1,1,1,32,64,9223372036854775807,False,4389
1,1,0,0,0,2,0,1,2,1,0,16,16,1,1,1,1,1000,2,1,5,25,4,2048,1,4,1,64,8,10490880,True,5316
1,0,0,0,1,2,0,1,2,1,0,16,2,8,1,1,1,1000,1,20,10,1,5,2048,1,1,1,128,16,28320768,True,6215
1,1,1,0,0,0,2,1,1,0,2,16,2,1,1,1,8,1000,1,2,10,1,50,2048,1,16,1,2,64,9223372036854775807,False,7381
0,0,0,0,0,1,0,2,0,2,1,16,1,1,2,8,1,1000,2,125,2,1,2,2048,1,4,1,16,32,135112704,True,9196
0,1,0,0,0,1,0,2,2,0,1,16,1,8,1,2,1,1000,5,1,40,1,5,2048,1,16,1,4,32,6836224,True,10109
0,1,0,1,1,1,2,0,0,1,2,16,1,2,2,4,1,1000,1,1,50,20,1,2048,1,16,1,8,16,5069824,True,10860
0,0,1,0,1,1,0,2,0,1,2,16,4,1,1,2,2,1000,4,10,5,1,5,2048,1,32,1,4,16,11333632,True,11676
1,0,0,0,1,0,1,2,2,0,1,16,1,1,2,4,2,1000,25,8,1,1,5,2048,1,256,1,8,1,5488640,True,12399
1,1,0,0,1,0,2,1,0,2,1,16,4,1,1,2,2,1000,10,25,1,2,2,2048,1,1,1,128,16,4260864,True,13071
1,1,0,1,1,2,0,1,1,2,0,16,4,1,4,1,1,1000,100,5,1,1,2,2048,1,16,1,4,32,672768,True,13669
