A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
1,1,1,1,0,0,2,1,1,2,0,16,1,1,1,1,16,1000,100,10,1,1,1,2048,1,32,1,16,4,4550656,True,925
1,0,0,1,0,1,2,0,0,1,2,16,2,2,1,2,2,1000,1,5,2,2,50,2048,1,4,1,512,1,195646464,True,3316
0,1,1,0,0,1,0,2,0,1,2,16,1,4,2,1,2,1000,2,1,2,10,25,2048,1,1024,1,1,2,236069888,True,6159
0,0,0,1,1,2,0,1,0,2,1,16,1,1,8,1,2,1000,2,125,1,1,4,2048,1,8,1,64,4,26985472,True,7383
0,0,1,1,0,2,0,1,2,0,1,16,1,2,1,4,2,1000,2,1,5,10,10,2048,1,2,1,64,16,9223372036854775807,False,8541
0,1,1,0,0,1,0,2,1,0,2,16,2,4,1,2,1,1000,25,1,20,2,1,2048,1,8,1,32,8,925696,True,9237
0,0,0,1,1,2,0,1,0,2,1,16,2,2,1,2,2,1000,1,250,1,1,4,2048,1,8,1,256,1,204555264,True,11635
1,1,0,1,0,1,0,2,2,0,1,16,1,4,1,4,1,1000,10,5,1,10,2,2048,1,8,1,1,256,122464256,True,13695
0,1,1,0,0,1,0,2,1,0,2,16,2,4,1,2,1,1000,25,10,1,4,1,2048,1,8,1,32,8,8078336,True,14339
0,1,1,0,0,1,0,2,1,0,2,16,2,4,1,2,1,1000,25,1,10,4,1,2048,1,8,1,32,8,2550784,True,14935
0,1,1,0,0,1,0,2,1,0,2,16,2,1,2,4,1,1000,25,2,10,2,1,2048,1,8,1,32,8,544768,True,15714
0,1,1,1,0,1,0,2,1,0,2,16,2,4,1,2,1,1000,5,1,50,2,2,2048,1,8,1,32,8,9223372036854775807,False,16457
0,1,1,1,0,1,0,2,1,0,2,16,2,1,2,4,1,1000,25,2,10,2,1,2048,1,8,1,32,8,545792,True,17483
0,1,1,0,0,1,0,2,1,0,2,16,2,1,2,4,1,1000,25,2,10,2,1,2048,1,8,1,32,8,544768,True,18514
0,1,0,0,0,1,0,2,1,2,0,16,2,1,2,4,1,1000,25,2,2,10,1,2048,1,8,1,32,8,948224,True,19794
1,1,1,0,0,1,0,2,1,2,0,16,2,1,2,4,1,1000,25,5,8,1,1,2048,1,8,1,32,8,598016,True,20853
1,0,0,0,0,0,2,1,1,0,2,16,2,1,1,8,1,1000,25,20,1,2,1,2048,1,1,1,64,32,9223372036854775807,False,21646
0,0,0,1,1,0,2,1,2,0,1,16,2,8,1,1,1,1000,500,1,1,2,1,2048,1,4,1,256,2,924672,True,22742
