A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
0,1,0,1,1,2,0,1,0,1,2,16,16,1,1,1,1,1000,4,5,10,5,1,2048,1,8,1,64,4,1065984,True,973
0,1,0,1,1,1,2,0,1,0,2,16,2,8,1,1,1,1000,8,25,5,1,1,2048,1,64,1,1,32,15636480,True,2030
1,0,1,1,1,0,1,2,1,0,2,16,16,1,1,1,1,1000,10,5,2,10,1,2048,1,256,1,1,8,2123776,True,3122
1,0,1,1,1,1,2,0,2,0,1,16,8,1,1,1,2,1000,2,250,2,1,1,2048,1,2,1,4,256,37216256,True,4479
0,0,0,1,1,2,0,1,0,1,2,16,16,1,1,1,1,1000,4,10,5,5,1,2048,1,32,1,32,2,2300928,True,5375
0,1,0,1,1,2,0,1,0,1,2,16,16,1,1,1,1,1000,4,5,10,5,1,2048,1,8,1,64,4,1063936,True,6478
0,0,1,1,1,2,1,0,0,1,2,16,16,1,1,1,1,1000,200,5,1,1,1,2048,1,256,1,8,1,1252352,True,7235
0,1,0,1,1,2,0,1,0,2,1,16,16,1,1,1,1,1000,4,5,10,5,1,2048,1,8,1,16,16,1686528,True,8611
0,0,1,1,1,1,0,2,2,0,1,16,1,2,4,1,2,1000,20,1,10,1,5,2048,1,16,1,32,4,564224,True,9640
1,0,0,1,0,0,1,2,2,1,0,16,8,2,1,1,1,1000,1,1000,1,1,1,2048,1,64,1,1,32,178928640,True,12105
1,0,1,1,1,2,0,1,2,1,0,16,8,2,1,1,1,1000,500,1,2,1,1,2048,1,1,1,64,32,1212416,True,13109
1,0,1,0,0,1,0,2,2,1,0,16,1,8,1,2,1,1000,4,250,1,1,1,2048,1,1024,1,1,2,431668224,True,17873
1,0,1,1,1,1,0,2,2,0,1,16,1,2,4,1,2,1000,20,1,10,1,5,2048,1,16,1,2,64,631808,True,19734
0,0,1,1,1,1,0,2,2,0,1,16,1,2,4,1,2,1000,20,1,10,1,5,2048,1,16,1,32,4,565248,True,20931
0,0,1,1,1,1,0,2,2,0,1,16,1,2,4,1,2,1000,20,1,10,1,5,2048,1,16,1,32,4,566272,True,22011
0,0,1,1,1,1,0,2,2,0,1,16,1,2,1,2,4,1000,20,1,10,1,5,2048,1,16,1,32,4,3098624,True,23235
1,0,1,0,1,1,0,2,2,1,0,16,8,1,1,1,2,1000,50,2,10,1,1,2048,1,1024,1,1,2,303104,True,24381
1,0,0,0,1,0,1,2,0,2,1,16,16,1,1,1,1,1000,10,4,1,25,1,2048,1,1024,1,2,1,4446208,True,25791
0,0,1,1,1,2,0,1,1,2,0,16,2,1,2,1,4,1000,25,1,5,1,8,2048,1,2048,1,1,1,351232,True,26890
1,0,1,1,1,0,2,1,1,2,0,16,16,1,1,1,1,1000,125,4,2,1,1,2048,1,4,1,256,2,544768,True,28121
1,0,1,1,1,1,0,2,0,2,1,16,4,1,4,1,1,1000,25,10,2,1,2,2048,1,8,1,16,16,1160192,True,29096
1,0,0,0,0,0,2,1,0,2,1,16,1,16,1,1,1,1000,125,4,2,1,1,2048,1,2048,1,1,1,8195072,True,29927
1,0,1,1,1,1,0,2,2,1,0,16,8,1,2,1,1,1000,25,5,1,2,4,2048,1,1,1,1,2048,9223372036854775807,False,30796
1,0,1,0,1,1,0,2,2,0,1,16,8,2,1,1,1,1000,2,100,5,1,1,2048,1,1024,1,2,1,30187520,True,32109
1,1,1,0,0,1,2,0,2,0,1,16,1,4,4,1,1,1000,250,1,1,4,1,2048,1,512,1,4,1,535552,True,33077
1,1,1,0,1,1,0,2,0,2,1,16,4,4,1,1,1,1000,20,50,1,1,1,2048,1,4,1,128,4,24925184,True,34377
0,0,1,0,1,0,2,1,1,2,0,16,4,1,1,2,2,1000,25,40,1,1,1,2048,1,32,1,2,32,5223424,True,35642
1,0,1,1,1,0,2,1,2,1,0,16,4,4,1,1,1,1000,4,10,5,5,1,2048,1,256,1,1,8,64752640,True,37465
0,1,1,1,0,2,1,0,1,0,2,16,2,1,8,1,1,1000,50,5,2,1,2,2048,1,1,1,256,8,276480,True,38636
0,0,1,1,1,1,2,0,2,1,0,16,8,1,1,1,2,1000,200,5,1,1,1,2048,1,2,1,4,256,2575360,True,39832
1,1,1,1,0,2,1,0,0,1,2,16,1,1,16,1,1,1000,10,10,10,1,1,2048,1,2048,1,1,1,2329600,True,40861
0,1,1,1,0,1,2,0,0,1,2,16,8,2,1,1,1,1000,100,10,1,1,1,2048,1,256,1,8,1,2657280,True,41984
1,1,0,1,0,2,0,1,2,1,0,16,1,4,4,1,1,1000,25,2,5,4,1,2048,1,2048,1,1,1,3702784,True,43136
1,0,0,0,0,0,1,2,2,1,0,16,2,2,4,1,1,1000,1000,1,1,1,1,2048,1,1,1,1,2048,764928,True,44101
1,1,1,0,1,2,1,0,2,0,1,16,1,4,1,4,1,1000,4,1,10,25,1,2048,1,1024,1,1,2,3396608,True,45215
1,0,1,0,0,1,0,2,1,2,0,16,16,1,1,1,1,1000,100,1,1,10,1,2048,1,2,1,16,64,4349952,True,46304
0,1,1,0,0,2,1,0,0,1,2,16,1,16,1,1,1,1000,25,20,1,1,2,2048,1,128,1,8,2,42520576,True,47482
1,0,0,1,1,0,1,2,2,1,0,16,8,1,2,1,1,1000,5,5,20,2,1,2048,1,64,1,2,16,573440,True,48504
0,1,1,0,1,2,1,0,2,1,0,16,2,1,8,1,1,1000,5,25,2,2,2,2048,1,256,1,2,4,2485248,True,49341
1,0,1,1,0,1,2,0,2,0,1,16,1,16,1,1,1,1000,20,50,1,1,1,2048,1,1,1,2048,1,89874432,True,51093
0,1,1,1,0,2,1,0,0,1,2,16,2,1,8,1,1,1000,50,5,2,1,2,2048,1,1,1,256,8,374784,True,52166
0,1,1,1,0,2,1,0,1,0,2,16,2,1,8,1,1,1000,50,5,2,1,2,2048,1,1,1,256,8,278528,True,53169
1,1,1,1,0,2,1,0,1,2,0,16,2,1,8,1,1,1000,50,5,2,2,1,2048,1,1,1,256,8,9223372036854775807,False,54071
1,1,1,1,0,2,1,0,1,0,2,16,2,1,8,1,1,1000,50,5,2,1,2,2048,1,1,1,2,1024,9223372036854775807,False,55199
0,1,1,1,0,2,1,0,1,0,2,16,2,1,8,1,1,1000,50,5,2,1,2,2048,1,1,1,256,8,274432,True,56154
0,1,1,1,0,2,1,0,1,0,2,16,2,1,8,1,1,1000,50,5,2,1,2,2048,1,2,1,128,8,314368,True,57286
0,1,1,1,0,2,1,0,1,0,2,16,2,1,8,1,1,1000,50,5,2,1,2,2048,1,2,1,128,8,314368,True,58277
0,1,1,1,0,2,1,0,1,0,2,16,2,1,8,1,1,1000,50,5,2,1,2,2048,1,1,1,128,16,424960,True,59377
0,1,1,0,0,2,1,0,1,0,2,16,2,1,8,1,1,1000,50,4,1,1,5,2048,1,4,1,128,4,1192960,True,60416
0,1,1,1,0,2,1,0,1,0,2,16,2,1,4,2,1,1000,50,5,2,1,2,2048,1,1,1,256,8,608256,True,61494
0,1,1,1,0,2,0,1,1,0,2,16,2,1,8,1,1,1000,50,5,2,1,2,2048,1,4,1,128,4,311296,True,62660
0,1,1,1,0,2,1,0,1,0,2,16,2,1,8,1,1,1000,50,5,2,1,2,2048,1,1,1,128,16,422912,True,63610
0,1,1,0,0,2,1,0,1,0,2,16,2,1,8,1,1,1000,50,5,2,1,2,2048,1,1,1,256,8,278528,True,64790
0,1,1,1,0,2,1,0,1,0,2,16,2,1,8,1,1,1000,50,5,2,1,2,2048,1,1,1,256,8,274432,True,65560
0,1,1,1,0,2,0,1,1,0,2,16,2,1,8,1,1,1000,50,10,1,1,2,2048,1,1,1,256,8,846848,True,66806
0,1,1,1,0,2,1,0,0,1,2,16,4,1,4,1,1,1000,50,5,2,1,2,2048,1,1,1,64,32,413696,True,68129
1,1,0,0,1,1,2,0,2,0,1,16,1,4,1,2,2,1000,2,1,2,2,125,2048,1,512,1,4,1,250647552,True,73491
1,1,1,0,0,0,2,1,1,0,2,16,1,8,1,1,2,1000,200,1,1,1,5,2048,1,16,1,32,4,20320256,True,75442
1,0,1,1,1,0,2,1,2,1,0,16,4,1,4,1,1,1000,10,1,50,2,1,2048,1,2,1,1024,1,9223372036854775807,False,76106
0,1,1,1,0,0,1,2,1,2,0,16,2,8,1,1,1,1000,1000,1,1,1,1,2048,1,256,1,4,2,1160192,True,77248
0,1,0,1,1,2,0,1,1,2,0,16,2,2,1,1,4,1000,4,250,1,1,1,2048,1,8,1,4,64,98734080,True,79461
1,1,0,1,1,2,0,1,1,0,2,16,1,1,4,2,2,1000,10,5,2,10,1,2048,1,2048,1,1,1,2526208,True,80698
0,0,1,1,1,1,0,2,0,1,2,16,4,2,2,1,1,1000,20,1,50,1,1,2048,1,16,1,128,1,279552,True,81583
1,0,1,1,0,0,1,2,2,1,0,16,1,16,1,1,1,1000,1,1000,1,1,1,2048,1,32,1,64,1,3402133504,True,109762
