tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
32,1,4,4,128,64,4,1,4,256,18.070528030395508,0
16,64,64,16,32,4,64,4,64,16,2147483648.0,11431
4,4,8,8,32,128,1,8,2,32,291.44677734375,13279
16,16,32,32,256,2,8,1,16,16,78.80908966064453,20915
32,16,128,16,32,4,128,4,1024,64,195.420166015625,25628
32,64,128,16,64,2,4,8,128,128,2147483648.0,37733
4,16,64,4,4,2,1,32,32,512,5.583871841430664,40652
16,1,128,4,16,4,128,8,128,8,3911.2109375,47197
8,32,256,128,8,32,32,2,512,512,227.04025268554688,52081
32,4,64,8,128,4,32,2,1024,4,69.74976348876953,62471
32,128,128,128,32,16,64,16,128,512,2147483648.0,76315
8,8,8,4,8,1,1,2,8,16,229.8419189453125,77657
16,2,8,4,512,2,4,1,512,1,1073.7203369140625,86172
32,1,4,16,512,4,2,2,1024,8,717.6089477539062,91467
8,8,64,8,64,4,32,4,128,16,51.89324951171875,93388
4,256,256,512,4,16,8,4,64,1024,753.2677001953125,99857
8,64,512,256,8,1,32,16,256,512,295.151611328125,102884
32,32,64,16,32,64,4,16,1024,1024,106.84210968017578,107724
8,2,16,8,8,256,1,1,4,8,382.9135437011719,110120
4,128,256,32,32,4,4,4,4,128,2147483648.0,121581
4,4,8,8,128,1,64,4,256,256,110.43840026855467,122962
4,32,32,4,128,2,1,16,256,512,2147483648.0,137228
128,1,8,8,128,16,8,128,128,512,84.80665588378906,138999
8,4,4,64,16,64,1,1,256,64,11.157504081726074,141208
32,1,64,4,64,16,4,64,64,64,10.003456115722656,143294
8,8,64,512,16,16,64,2,128,512,35.04742431640625,145406
4,1,32,128,8,32,2,4,128,8,7.194623947143555,147640
8,4,8,512,16,128,1,128,2,512,263.05535888671875,149409
128,4,32,64,128,16,8,2,256,64,97.0813446044922,158483
