tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
32,2,4,8,512,2,2,64,32,128,510.7281799316406,0
4,16,256,128,8,4,64,1,256,2,312.4613037109375,7715
4,64,64,128,4,4,2,32,1024,1024,22.796287536621094,10860
32,1,64,1024,32,64,8,2,8,4,3068.580810546875,19141
4,2,128,32,64,4,128,2,1024,2,135.0399932861328,22318
4,1,4,8,4,16,2,8,1024,16,10.753024101257324,24419
8,2,32,32,16,1,8,4,8,8,1117.54443359375,26822
64,2,16,128,256,16,2,16,256,128,9.705471992492676,30078
8,1,32,4,8,2,8,1,64,2,737.122314453125,33377
64,8,32,256,64,64,4,4,4,4,5389.73193359375,41421
8,8,128,16,32,1,4,8,32,64,3.9639039039611816,43308
4,8,64,16,64,1,64,8,128,1024,147.5194854736328,44599
4,512,1024,256,4,1,4,128,16,512,2147483648.0,57309
4,1,512,512,4,8,1,8,4,16,150.69491577148438,60989
8,1,8,128,16,64,2,256,2,256,891.662353515625,62912
16,2,256,256,32,4,256,1,512,1,2147483648.0,78231
32,8,8,16,256,2,64,4,256,8,632.9467163085938,80973
4,4,64,4,4,2,2,4,2,1024,380.27777099609375,82766
4,2,256,64,8,2,2,4,64,8,22.43071937561035,86558
128,1,4,64,128,16,2,1,2,2,3041.04248046875,94324
8,8,32,16,64,8,16,1,32,1,459.2066650390625,96800
8,1,128,32,16,16,8,4,1024,4,17.087488174438477,103023
4,8,1024,16,4,2,16,32,512,128,19.38431930541992,105735
8,32,1024,512,8,2,8,1,32,256,2147483648.0,124044
4,256,256,128,8,8,1,128,16,128,2147483648.0,136544
4,16,256,128,4,2,8,2,8,128,888.3804321289062,140434
8,128,256,256,16,8,1,4,1,16,2147483648.0,152652
16,1,256,16,16,16,2,1,256,8,2147483648.0,169433
4,128,512,32,4,16,1,16,32,128,91.00287628173828,173756
4,8,16,8,4,16,16,8,512,32,24.31385612487793,174807
4,8,64,256,32,32,1,1,4,16,2147483648.0,187371
8,8,64,4,16,2,4,4,8,16,223.246337890625,189000
64,2,4,4,128,16,256,1,256,1024,33.21651077270508,191182
8,8,128,512,32,4,8,8,8,128,58.44684982299805,192865
4,32,512,128,4,1,32,16,64,32,305.18682861328125,194728
8,8,16,128,8,8,4,1,1024,1,48.954368591308594,196562
4,1,16,16,8,1,16,64,16,128,3484.3330078125,201125
4,4,64,64,4,1,4,2,8,16,274.239501953125,202863
16,64,128,16,64,4,2,16,8,512,2147483648.0,214969
4,1024,1024,128,8,1,32,1,128,4,2147483648.0,232269
64,64,128,512,64,8,32,1,32,32,2147483648.0,249716
