tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
8,256,1024,128,8,1,256,1,512,1,2147483648.0,0
8,8,8,8,8,8,2,32,4,1024,59.593727111816406,11770
4,256,256,16,8,8,8,4,32,64,2147483648.0,23407
16,16,16,256,32,16,4,2,256,1024,9.289728164672852,27280
32,32,32,8,64,64,4,64,8,512,2147483648.0,38567
8,2,8,8,16,128,512,1,1024,512,36.96332931518555,42905
64,64,64,32,128,8,2,1,1024,512,2147483648.0,56938
4,16,32,128,128,16,2,1,1024,512,2147483648.0,69453
4,32,64,128,8,16,2,16,2,512,51.85126495361328,74614
4,2,16,8,128,4,4,2,16,16,22.583295822143555,78792
4,8,8,256,16,128,2,256,512,256,22.27199935913086,82219
8,16,16,128,32,8,4,2,4,16,175.10195922851562,93680
8,16,16,256,16,16,4,2,256,512,6.451200008392334,95980
16,8,8,256,32,32,4,2,512,1024,4.701183795928955,98320
16,16,16,256,32,16,4,1,512,1024,10.057727813720703,103185
8,8,8,512,32,64,4,8,256,1024,2.618367910385132,105385
8,8,8,512,16,64,4,8,256,512,2.825216054916382,107415
8,4,8,512,32,64,4,8,256,256,1.8718719482421875,109125
8,4,4,256,16,64,2,8,256,1024,4.25267219543457,111452
8,8,16,512,32,32,4,8,256,1024,2.195456027984619,114044
8,8,16,512,32,32,4,8,256,256,2.288640022277832,116297
8,4,8,512,32,64,4,8,256,256,1.901568055152893,118381
8,4,8,512,32,64,2,4,256,128,3.791872024536133,120335
8,8,16,512,32,32,4,8,512,256,2.584575891494751,122377
8,4,8,512,32,64,4,8,256,256,1.8851840496063232,124097
8,2,8,512,32,64,4,2,256,16,6.875135898590088,126593
8,4,8,512,32,64,4,8,256,256,1.8769919872283936,128535
4,16,64,1024,16,16,2,8,256,1024,2.5907199382781982,131018
8,4,8,512,16,64,1,16,256,256,8.652799606323242,133527
16,4,8,512,32,64,4,2,512,128,2.919424057006836,135693
8,4,8,512,32,64,4,8,256,256,1.884160041809082,137923
8,8,16,512,16,32,4,4,256,128,1.7541120052337646,141080
4,4,16,1024,8,64,4,4,256,128,1.6240639686584473,143829
8,16,32,512,16,32,4,4,256,128,1.7418240308761597,146903
4,8,16,1024,4,64,4,4,512,128,3.6874239444732666,148756
8,8,16,512,16,32,4,4,256,128,1.7530879974365234,150686
4,4,16,512,8,64,4,4,256,64,1.8176000118255613,152837
4,4,16,1024,8,128,4,8,256,128,1.6168960332870483,154705
4,4,16,1024,8,64,2,8,256,512,2.0183041095733643,156915
4,4,16,1024,8,64,4,4,256,128,1.623039960861206,159368
4,4,16,512,8,64,4,4,256,64,1.8186240196228027,161472
4,4,16,1024,4,256,4,8,256,128,3.487744092941284,163566
4,4,8,1024,8,256,4,8,256,128,3.5379199981689453,165204
4,4,16,1024,8,128,8,4,256,64,2.668544054031372,167226
4,4,16,1024,8,128,4,8,256,128,1.6168960332870483,169039
4,4,16,1024,8,128,4,8,256,128,1.6168960332870483,170954
4,4,16,1024,8,128,4,4,256,128,1.6640000343322754,172963
4,4,8,1024,8,256,4,8,256,256,2.841599941253662,175090
4,2,4,1024,8,256,4,8,128,128,6.263807773590088,177663
4,4,16,1024,4,256,4,8,256,256,3.0300159454345703,179920
4,4,16,1024,4,128,4,8,256,128,3.0545918941497803,181913
8,8,16,1024,16,128,4,4,256,128,1.7623039484024048,183762
32,4,256,32,32,1,2,32,64,256,2.06335997581482,186385
4,16,64,128,32,16,32,2,512,16,7.168000221252441,188917
4,2,256,128,32,4,128,8,256,512,76.0606689453125,195171
32,2,4,4,512,8,16,64,32,1024,35.74067306518555,198674
4,4,16,1024,8,256,2,8,128,128,2.2067201137542725,201672
4,4,16,512,8,128,4,4,256,128,1.5902719497680664,203416
4,8,16,1024,8,128,4,8,256,128,2.156543970108032,206182
8,8,16,1024,8,128,4,8,256,128,3.5000319480896,208811
4,4,16,512,8,128,2,4,256,128,1.83296000957489,211013
