tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
4,128,256,32,4,1,1,1,4,512,982.793212890625,0
8,2,8,1024,32,128,1,1,1,2,3170.165771484375,5481
8,128,1024,4,8,1,1,1,1,1,2147483648.0,23526
64,1,8,32,64,16,1,1,128,2,207.76754760742188,27450
64,1,8,8,64,1,1,1,128,1,425.7423400878906,31679
16,1,128,64,16,8,1,1,128,2,2147483648.0,44695
8,1,4,32,8,32,1,1,128,2,69.52140808105469,45996
4,1,8,32,64,16,1,1,128,2,2147483648.0,57136
8,2,256,16,8,32,8,64,16,512,22.445056915283203,60274
16,64,64,1024,16,16,32,1,64,1,2147483648.0,71536
8,1,64,32,32,2,256,1,512,8,164.46566772460938,75395
4,8,256,4,16,4,1,4,256,32,8.20633602142334,87559
8,8,256,256,8,1,4,128,8,512,144.716796875,89401
8,2,1024,32,8,2,4,32,4,32,275.9649353027344,91764
4,16,64,64,8,16,32,1,64,32,92.86144256591795,94198
4,2,32,128,128,4,4,1,4,4,301.2833251953125,102591
4,8,256,4,16,4,1,1,256,32,2147483648.0,117142
4,8,256,4,16,4,16,4,256,32,31.41119956970215,120137
4,8,256,4,16,2,16,4,128,32,70.71846771240234,122824
4,256,256,4,16,4,1,4,32,32,2147483648.0,137131
16,16,32,4,16,2,16,8,256,256,18.86720085144043,140360
4,8,256,4,16,4,1,4,256,16,8.400896072387695,152501
4,16,256,4,16,2,1,8,256,64,11.2609281539917,157387
32,1,128,4,64,4,16,1,512,2,2147483648.0,172891
4,1,512,4,8,1,1,4,16,1024,143.05690002441406,182689
4,8,256,4,8,4,1,4,256,32,44.54502487182617,187154
4,16,256,4,16,4,1,4,256,32,36.23628616333008,197143
4,256,256,4,8,4,1,4,256,32,2147483648.0,209498
4,2,256,16,16,2,2,8,16,256,19.338239669799805,213338
8,16,128,256,32,2,256,2,1024,32,171.18515014648438,218092
16,64,128,4,32,16,2,8,32,8,2147483648.0,229318
4,2,256,128,8,32,1,128,4,512,15.356927871704102,231815
4,1,16,8,512,4,1024,1,1024,1,697.2374877929688,233838
4,256,256,4,16,4,1,4,256,32,2147483648.0,248159
4,2,16,4,128,32,1,2,256,8,2147483648.0,259836
4,8,256,4,16,2,1,1,256,32,2147483648.0,274390
8,2,32,16,128,16,64,4,256,8,44.21939086914063,276024
4,8,256,4,16,4,1,8,256,64,16.867328643798828,281177
4,16,256,4,16,2,2,4,256,32,17.164287567138672,286097
4,8,256,4,16,8,1,4,256,32,2147483648.0,297538
4,4,512,4,4,4,4,256,1024,1024,2.4330239295959477,299394
64,1,32,4,64,64,1,2,1,512,263.70458984375,309221
64,2,8,4,512,1,1,4,2,8,2147483648.0,320566
8,2,256,8,8,8,16,64,16,1024,92.51634979248048,321857
4,4,1024,4,4,2,1,1024,1024,1024,2.3889920711517334,324148
4,8,512,4,4,2,4,256,1024,1024,3.250175952911377,326651
4,8,1024,4,4,2,4,256,1024,1024,3.027967929840088,329299
