tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
512,64,128,8,13.826047897338867,0
512,4,1,2,107.94086456298828,1551
4,16,1,4,479.6958618164063,3866
64,512,1,512,3.95468807220459,6374
128,256,2,128,3.816447973251343,9600
1024,128,4,64,7.192575931549072,12866
256,512,1,512,8.221695899963379,15842
4,512,2,1,18.893823623657227,19345
128,1024,16,8,1.2625919580459597,22340
4,256,4,8,35.61676788330078,27301
256,128,4,128,7.205887794494629,30551
1024,8,128,8,105.33478546142578,32349
1024,128,256,1,6.456319808959961,35534
64,32,8,4,15.81056022644043,38720
32,8,32,8,195.093505859375,40823
32,64,8,64,27.72275161743164,45192
128,16,16,1,29.36934471130371,49040
64,1024,2,4,2.125823974609375,51454
4,2,4,2,3868.67919921875,57228
64,8,2,2,55.43116760253906,63204
4,4,2,1,1763.1334228515625,66551
128,32,16,8,24.72550392150879,70514
2,1024,2,4,21.0380802154541,73725
1024,1024,16,32,1.2912640571594238,76944
2,256,1,1,65.70086669921875,83056
2,1024,1,64,33.35987091064453,87914
64,256,1,32,3.323904037475586,90749
4,64,2,8,132.70016479492188,92431
64,128,4,128,7.193600177764893,95906
256,128,4,2,4.680704116821289,98915
1024,1024,64,2,1.2083200216293335,101536
512,2,16,1,229.0186309814453,103263
1024,64,1,4,9.416704177856444,106099
16,1,1,1,1616.3072509765625,109623
1024,32,512,2,23.962623596191406,113456
128,1024,2,256,3.616767883300781,116307
512,1024,4,64,1.6343040466308594,119154
64,32,2,2,15.224831581115724,122953
64,1024,8,1,1.9834879636764529,125301
1024,512,16,4,2.0541439056396484,128094
256,8,4,4,59.06943893432617,134267
512,128,8,32,6.98367977142334,137021
1024,16,64,8,51.7468147277832,142057
16,512,16,16,7.1536641120910645,145092
256,16,1,4,29.310976028442383,149321
512,4,1,2,107.82003021240234,151021
512,32,64,1,23.373823165893555,154867
32,512,1,32,3.836927890777588,157766
512,256,4,128,4.381696224212647,161069
8,2,8,2,1944.0086669921875,165037
1024,128,16,8,6.722559928894043,168553
4,16,1,16,525.7677001953125,170790
8,1024,8,32,7.802879810333252,174001
1024,256,2,128,4.245503902435303,177036
1024,2,4,2,229.1742706298828,178815
32,16,4,1,55.69740676879883,184445
512,4,32,1,118.5054702758789,186090
4,16,4,1,468.4738464355469,188281
16,1024,4,256,4.806655883789063,191183
1024,16,128,4,49.41516876220703,196556
128,1024,4,16,1.183743953704834,199018
256,128,1,64,8.5032958984375,202000
1024,128,8,1,4.785151958465576,204503
64,128,8,128,7.899136066436768,207266
1,256,1,64,247.4444732666016,209249
128,1024,1,512,9.21190357208252,212150
256,512,1,2,6.437888145446777,215025
4,512,1,128,31.276031494140625,219357
1024,256,16,64,4.05299186706543,222140
512,64,64,2,12.402688026428224,225535
128,8,2,8,61.26694488525391,231607
1024,512,32,32,2.0541439056396484,234250
1024,64,512,1,12.294143676757812,237572
2,16,2,16,1129.4996337890625,240307
1024,128,1,32,6.628352165222168,243178
256,512,64,2,2.041856050491333,245890
32,256,32,2,6.302720069885254,249270
256,1,16,1,444.5880432128906,251369
256,1,4,1,312.1745910644531,253410
128,128,4,32,6.466559886932373,256219
512,1024,2,4,2.288640022277832,259123
16,256,8,1,8.773632049560547,261791
128,4,16,1,116.28749084472656,263448
64,64,1,32,10.198016166687012,266980
512,128,2,32,6.810624122619629,270400
1024,256,4,32,3.561471939086914,273255
8,128,8,64,57.5365104675293,278911
4,128,4,64,111.43679809570312,280851
32,16,16,1,59.177982330322266,286053
64,16,1,8,30.222335815429688,289893
16,32,1,32,77.49427032470703,296311
16,512,1,512,15.660032272338867,299553
8,256,2,1,17.22265625,303593
32,512,1,128,5.389311790466309,306744
32,1024,4,32,2.1370880603790283,309646
256,1024,2,2,3.555327892303467,312619
512,64,8,16,12.813311576843262,316094
1024,1,32,1,450.830322265625,318109
1024,4,32,2,163.3955841064453,320115
1024,16,128,8,53.529598236083984,325579
64,16,16,16,50.04595184326172,330944
128,128,8,64,7.016448020935059,333541
16,2,1,2,888.65380859375,335976
128,256,2,128,3.814399957656861,338824
16,1024,1,16,3.2020480632781982,341286
512,1024,1,1,10.657792091369627,344432
64,512,2,8,1.7070080041885376,347562
128,8,32,1,59.582462310791016,353055
32,64,2,4,15.67129611968994,356719
512,1024,2,128,6.166528224945068,360067
64,64,64,2,12.077055931091309,363104
1024,1024,1,1,10.875904083251951,366380
16,256,2,64,14.045184135437012,369985
16,512,8,128,8.41318416595459,373480
4,512,4,4,18.95321655273437,377127
16,8,16,4,379.58245849609375,379393
128,512,1,32,8.979455947875977,382510
1024,64,16,64,15.136768341064451,385567
4,512,1,32,21.326847076416016,389076
8,16,1,1,217.0347595214844,390671
16,1,4,1,1649.939453125,393902
512,32,128,2,23.8786563873291,397362
4,64,2,16,140.50201416015625,398924
16,256,2,32,13.530112266540527,402238
8,128,4,1,30.80191993713379,406334
128,512,16,4,2.075648069381714,409122
2,1024,2,4,21.022720336914062,413191
256,128,1,2,9.219072341918944,416616
1,128,1,64,487.99847412109375,418961
256,256,1,128,7.836671829223633,422371
16,128,8,16,25.9368953704834,426204
128,128,32,32,7.282688140869141,429230
512,256,256,1,3.3996798992156982,432128
512,128,8,2,4.452352046966553,435349
128,512,1,4,3.842047929763794,438395
512,32,4,2,15.202303886413574,442209
1024,256,2,256,7.890944004058838,444959
256,2,16,2,242.63372802734372,446536
64,256,1,256,4.743167877197266,449262
4,32,1,32,304.79461669921875,451319
512,256,16,2,2.5118720531463623,454047
1024,1,1024,1,611.9342041015625,456435
64,64,1,2,8.761343955993652,459202
256,256,8,2,2.5661439895629883,461680
64,1024,2,128,2.520064115524292,464533
16,32,2,4,59.56505584716797,470154
64,64,64,1,11.726847648620604,473604
8,1024,4,8,5.545983791351318,476727
1024,512,1,16,11.834367752075195,479914
1024,256,8,8,3.465215921401977,482551
128,64,1,4,8.357888221740723,485312
1024,256,1,1,12.16819190979004,488813
4,8,1,4,924.2040405273438,491368
1024,16,128,8,53.5285758972168,496942
16,32,1,8,60.73548889160156,502583
512,512,2,4,3.1139841079711914,505680
16,1024,8,4,2.835455894470215,509044
1024,512,64,8,2.0797441005706787,511725
8,64,4,4,65.53292846679688,518013
4,4,2,4,1884.230712890625,521808
256,512,2,4,2.91430401802063,524683
1024,1024,64,1,1.2195839881896973,527631
16,32,4,1,56.55449676513672,533068
1024,512,8,32,2.2056961059570312,535483
512,2,32,1,236.0668182373047,537638
128,8,4,2,56.56166458129883,542773
32,1024,32,4,1.9896320104599,545493
32,64,32,4,24.61696052551269,549191
64,512,32,32,2.071552038192749,552092
2,16,2,1,934.8065185546876,554749
256,1024,1,4,3.6730880737304688,557466
1024,32,8,16,25.30406379699707,561648
16,256,8,8,12.925951957702637,565142
64,8,32,8,97.1673583984375,566774
64,8,32,4,93.27410888671876,568875
512,1,2,1,312.2524108886719,570827
128,64,4,4,8.184831619262695,574211
4,16,2,16,549.243896484375,576522
256,512,1,64,5.954559803009033,579093
16,1,4,1,1649.99267578125,582319
64,128,2,16,4.95308780670166,585120
64,512,64,1,1.9056639671325684,587912
512,512,256,4,3.3955841064453125,590885
32,16,16,4,95.07020568847656,592651
64,512,4,64,2.0480000972747803,596063
1024,256,2,16,2.671616077423096,599076
8,512,4,8,10.044416427612305,602756
256,512,128,1,1.985535979270935,605420
512,64,1,8,8.497152328491211,608660
1024,2,16,2,242.6490936279297,610919
64,256,1,4,4.830207824707031,613344
1024,1024,1,256,10.83289623260498,616498
4,64,2,1,120.1418228149414,618085
256,32,32,1,15.51257610321045,621692
512,32,2,1,17.561599731445312,625418
32,32,8,2,30.051328659057617,629664
512,4,16,4,187.2568359375,631763
512,4,64,2,181.8603515625,633600
256,256,8,64,3.664896011352539,636527
512,1024,128,8,1.9251199960708616,639041
64,1,8,1,365.2034606933594,640889
64,1024,2,4,2.1237759590148926,643467
512,1024,8,16,1.1550719738006592,645747
256,1024,8,64,1.2328959703445437,648555
4,256,4,32,54.91302490234375,654286
128,256,4,256,4.413440227508545,656873
128,2,32,1,231.0543365478516,659003
64,512,2,512,3.837951898574829,661773
1024,256,1,128,5.747712135314941,664913
16,4,2,1,427.99310302734375,666761
32,8,1,8,119.27449798583984,668391
128,1024,1,128,8.848383903503418,671413
64,16,1,2,29.11846351623535,675617
256,128,2,16,4.989952087402344,677905
128,8,16,8,96.2324447631836,679326
256,8,32,8,97.17759704589844,681057
1024,128,8,64,7.824384212493896,684489
64,64,2,2,8.19814395904541,687517
512,64,8,1,8.285183906555176,690383
32,32,1,2,29.612031936645508,694322
16,4,8,1,445.7912292480469,696455
512,8,2,8,62.76505661010742,702153
32,64,8,32,25.93280029296875,705984
128,32,64,16,27.58758354187012,709934
512,1024,8,1,2.4678399562835693,712976
16,256,1,32,11.23532772064209,716611
128,4,8,1,102.4163818359375,718137
256,256,8,16,3.719167947769165,721087
4,64,4,8,135.82643127441406,722913
64,256,1,1,10.855423927307127,725815
1024,1,1024,1,616.6456298828125,727868
1024,128,2,64,7.169023990631104,730702
256,256,64,8,3.8932480812072754,733744
128,256,4,64,3.561471939086914,736593
256,4,128,4,196.2577972412109,738411
32,32,2,32,52.86502456665039,743429
32,32,8,1,29.9182071685791,748099
4,8,1,2,910.9974975585938,750906
4,512,1,2,18.80575942993164,754373
32,32,8,16,48.87859344482422,759839
128,16,128,4,49.23494338989258,765318
8,256,4,32,27.31007957458496,769289
16,16,4,2,117.32275390625,770993
512,8,1,2,55.25503921508789,776192
2,256,2,8,70.49830627441406,782583
4,64,4,4,131.96595764160156,784637
512,128,2,8,4.542463779449463,787371
256,1024,2,2,3.555327892303467,790056
512,16,2,16,36.36735916137695,794416
64,32,4,32,24.88115119934082,798344
1024,128,16,32,7.79468822479248,801163
8,128,4,16,51.57683181762695,806145
32,512,16,8,3.64851188659668,808819
1024,2,128,2,359.72711181640625,811157
128,256,8,1,2.8426239490509038,813897
512,64,512,2,12.14566421508789,817489
1024,2,16,1,231.6472320556641,819140
1024,64,4,2,8.23193645477295,822356
8,32,4,16,196.55987548828125,824186
32,4,16,1,231.03077697753903,825886
512,512,1,1,11.084799766540527,828892
512,4,64,2,182.0753936767578,830524
1024,512,16,64,2.1780478954315186,833479
64,16,2,16,34.04185485839844,837524
