tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
8,16,8,8,390.6252746582031,0
1024,1,128,1,611.7232666015625,2182
64,1024,8,32,1.1683839559555054,4827
512,128,256,4,6.58022403717041,7414
1024,16,512,2,47.49824142456055,12254
1024,1024,1024,1,4.626431941986084,15255
64,128,16,32,7.089151859283447,17920
64,128,64,2,6.196224212646484,20629
256,256,2,128,4.2485761642456055,23662
256,1,16,1,445.0191345214844,26043
8,128,8,64,57.56415939331055,32009
64,512,4,256,2.3152639865875244,34587
16,128,4,128,29.592575073242188,38666
4,1024,4,64,15.89247989654541,42192
512,4,16,4,187.5937347412109,44032
256,256,256,2,3.560447931289673,47011
128,64,2,32,12.96076774597168,50378
256,256,16,1,2.580480098724365,52909
512,64,256,4,12.844032287597656,56106
1024,128,256,1,6.451200008392334,59052
1024,32,1024,1,22.022144317626957,63068
128,256,4,64,3.5635199546813965,66288
128,2,128,2,359.7199401855469,68426
32,512,32,1,2.4821760654449463,71027
128,8,128,8,105.32659149169922,72769
256,2,256,2,374.1767578125,74742
1024,8,1024,1,80.1628189086914,81143
512,2,512,1,318.56231689453125,83159
1024,128,32,2,6.411263942718506,85964
64,1024,16,64,1.2072960138320925,88503
128,32,16,2,15.763456344604492,92021
16,512,2,64,7.327744007110596,94973
256,32,8,32,25.41056060791016,98867
128,1024,16,8,1.2625919580459597,101141
256,8,128,8,105.3460464477539,103046
1024,128,64,16,7.285759925842285,106252
64,1024,1,1024,4.001791954040527,109418
1024,512,32,32,2.052095890045166,112393
256,32,256,2,24.27494430541992,116231
256,1024,2,512,1.938431978225708,118908
1024,256,1024,1,5.938176155090332,121643
128,16,128,4,49.27692794799805,126972
1024,512,512,2,4.672512054443359,129892
128,64,8,64,13.67961597442627,133096
128,128,128,2,6.202367782592773,135793
512,64,128,4,12.831744194030762,138905
1024,4,256,2,187.10630798339844,140844
512,1024,1,512,10.343423843383787,144077
1024,32,32,8,24.622079849243164,147520
128,2,2,2,214.17062377929688,149256
512,128,128,4,7.3758721351623535,152128
16,2,1,2,888.2329711914062,154507
512,1024,256,2,1.9343359470367432,157228
1024,64,256,1,11.981823921203612,160642
64,32,32,1,15.229951858520508,164223
1024,4,512,1,159.37228393554688,166304
1024,32,4,8,16.537599563598633,170150
1024,32,1024,1,22.021120071411133,174040
128,32,64,2,23.657472610473636,177540
1024,256,512,2,6.1675519943237305,180327
512,16,512,2,47.38355255126953,185755
512,64,32,32,14.340096473693848,189433
64,8,16,2,62.03801727294922,195377
512,4,256,2,186.93836975097656,197434
512,64,2,64,14.045184135437012,200469
32,32,4,1,28.909568786621094,204403
512,8,64,2,91.5937271118164,206029
2,512,2,512,122.7151336669922,207706
4,128,4,16,104.49305725097656,209245
128,512,64,16,2.0643839836120605,211750
128,128,16,32,7.073791980743408,215097
256,128,8,2,4.4165120124816895,218305
1024,1024,4,128,1.3824000358581543,221405
64,128,32,16,6.872064113616943,224710
256,32,32,1,15.430656433105469,227918
32,256,4,16,6.715392112731934,230872
1024,1024,2,1,6.266880035400391,233759
64,256,4,32,3.530751943588257,236279
1024,64,128,4,12.87168025970459,239420
512,16,128,8,52.89267349243164,245124
32,64,8,4,16.150527954101562,248473
512,512,512,2,4.6735358238220215,251655
16,1024,8,2,2.841599941253662,254351
64,4,16,2,121.53446197509766,256085
512,512,128,2,2.086911916732788,258910
8,256,2,1,17.2359676361084,262603
1024,1024,512,1,1.9159040451049805,265461
512,256,128,4,3.753983974456787,268532
1024,64,512,1,12.297216415405272,271409
512,4,256,4,196.2496032714844,273078
1024,256,1024,1,5.941247940063477,276523
1024,16,256,1,41.86726379394531,281148
1024,4,1024,1,159.8074951171875,282788
16,16,4,4,122.355712890625,284836
512,1,512,1,612.9100952148438,287085
32,64,2,64,28.08729553222656,290977
512,512,8,128,2.190335988998413,293684
1024,512,1024,1,4.6141438484191895,296982
128,256,128,4,3.441663980484009,299693
512,128,16,64,7.737343788146973,302643
256,64,1,32,11.121664047241213,305767
1024,64,1024,1,11.179007530212402,308685
1024,256,128,1,3.6433920860290527,311502
16,512,1,32,6.832128047943115,314488
32,1024,1,512,3.9383039474487305,316941
16,1024,4,256,4.809728145599365,319664
512,64,256,1,12.081151962280272,322647
2,256,1,64,121.69522857666016,324179
512,2,128,2,359.7608947753906,326258
512,16,128,4,50.0766716003418,331326
128,512,64,16,2.0654079914093018,333822
4,512,1,128,31.98464012145996,337900
16,256,16,16,13.77791976928711,341270
256,512,64,2,2.056191921234131,343804
4,2,4,1,3655.39111328125,349256
1024,1024,4,256,1.269760012626648,352328
64,1024,8,1,1.985535979270935,354804
1024,1024,1024,1,4.629504203796387,357551
256,8,2,8,61.15020751953125,363886
32,16,32,4,94.02777862548828,365999
256,256,8,64,3.66592001914978,368907
1024,16,1024,1,41.75872039794922,373793
4,32,2,16,282.1877746582031,375491
512,2,128,1,308.0417175292969,377505
128,16,2,8,30.851072311401367,381447
512,8,32,4,95.38457489013672,383206
32,1024,2,32,2.225152015686035,385662
1024,2,256,1,308.16973876953125,387511
512,4,512,1,159.8566436767578,389322
16,128,16,1,16.665599822998047,393060
1024,32,512,2,24.02406311035156,397066
128,64,32,8,12.708864212036133,399859
64,512,16,64,2.1913599967956543,402193
1024,8,512,1,83.14265441894531,408740
1024,32,16,4,24.53811264038086,412522
512,32,32,1,16.764928817749023,415745
64,32,32,4,24.402944564819336,419829
256,32,64,8,26.020864486694336,423987
512,256,8,128,4.121600151062012,426888
8,128,2,128,58.477569580078125,432918
16,1024,1,1024,15.805439949035645,435963
256,16,256,1,42.16320037841797,440774
16,1024,16,32,4.0663042068481445,443810
1024,256,1024,1,5.941247940063477,446666
1,256,1,16,152.9302978515625,448373
512,256,16,2,2.515968084335327,451587
64,512,32,16,1.938431978225708,454244
32,128,4,8,8.979455947875977,457258
512,128,512,2,6.29145622253418,459789
256,64,64,1,11.873279571533203,463077
512,1024,64,16,1.1274240016937256,465681
16,4,8,4,498.0746154785156,467638
32,8,8,8,190.7578887939453,469857
1024,32,128,4,25.019392013549805,473893
256,128,128,8,7.090176105499268,476920
