tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
8,1024,4,4,5.56441593170166,0
64,2,64,2,354.8887023925781,20733
64,64,4,1,8.162303924560547,23509
512,1024,128,2,1.218559980392456,25996
128,16,64,1,42.35161590576172,30551
16,512,8,4,4.921343803405762,33059
512,2,8,1,188.4805145263672,35009
256,1,8,1,364.3432922363281,36844
64,512,32,16,1.9374079704284668,39292
32,64,2,64,27.72480010986328,42849
1024,512,1,2,6.547455787658691,45344
256,32,1,16,18.37055969238281,48666
128,64,8,8,12.146688461303713,51420
128,1024,8,2,1.4888960123062134,54133
256,512,128,2,2.0101120471954346,56577
512,1024,128,4,1.9097599983215328,58836
512,1024,1,256,10.876928329467772,61730
1024,1,512,1,610.1698608398438,63735
64,4,4,4,117.18041229248048,72177
256,512,4,64,2.3603200912475586,74381
128,512,2,16,2.008064031600952,76711
512,512,128,1,2.060287952423096,79172
512,512,128,2,2.076672077178955,81441
512,512,32,2,2.02239990234375,83855
16,1024,1,2,7.007232189178467,86519
256,1024,16,2,0.974847972393036,88545
1024,1024,128,2,1.2441600561141968,90721
1024,1024,128,2,1.2421120405197144,93031
256,1024,16,1,1.5022079944610596,95496
256,128,16,2,4.692992210388184,98057
512,512,16,2,1.4940160512924194,100416
256,4,16,2,123.96236419677734,102083
256,64,16,2,8.545280456542969,104673
256,1024,16,2,0.974847972393036,106870
256,1024,32,2,1.1796480417251587,109088
128,1024,16,2,0.9308159947395324,111407
128,1024,16,4,1.1909120082855225,113844
32,32,1,2,29.6048641204834,117944
32,1024,1,2,6.036479949951172,120465
128,64,16,2,8.347647666931152,122973
128,1024,16,4,1.1909120082855225,125199
128,1024,16,4,1.1909120082855225,127397
128,1024,16,1,1.4755840301513672,129920
64,1024,4,2,2.0090880393981934,132661
32,1024,16,2,1.5411200523376465,135291
128,4,16,2,123.29267120361328,136944
128,1024,16,2,0.9308159947395324,139263
128,1024,16,32,1.277951955795288,141541
32,1024,2,4,2.743295907974243,143869
32,1024,1,2,6.0344319343566895,146416
128,256,16,2,2.5712640285491943,148823
128,256,16,32,3.6925439834594727,151431
256,32,2,1,16.788480758666992,154600
8,512,4,2,9.567232131958008,157482
16,1024,16,16,3.8297600746154794,159726
64,128,8,64,7.059455871582031,162212
128,1024,16,2,0.9318400025367736,164370
128,1024,16,2,0.9308159947395324,166442
128,1024,16,1,1.4766080379486084,168718
128,1024,32,2,1.1663360595703125,170845
128,1024,16,2,0.9308159947395324,172980
128,1024,16,2,0.9308159947395324,175065
64,1024,4,2,2.0090880393981934,177437
128,32,16,2,15.80031967163086,180649
16,1024,8,8,3.824640035629273,183128
512,64,4,8,8.69273567199707,185881
1024,1,64,1,609.4039306640625,187924
512,256,1,128,4.692992210388184,190261
256,512,4,8,1.4735360145568848,192491
1024,256,16,2,2.529279947280884,195073
1024,1024,16,2,1.0393600463867188,197469
128,512,16,64,2.189311981201172,200114
1024,256,4,16,3.487744092941284,202713
128,1024,16,2,0.9318400025367736,205173
128,1024,32,2,1.1663360595703125,207709
32,1024,8,2,1.603584051132202,210181
1024,512,1,32,10.368000030517578,213123
128,4,16,2,123.26502227783205,215001
128,1024,16,8,1.2554240226745603,217242
128,1024,16,2,0.9308159947395324,219463
32,512,8,4,2.60915207862854,221694
1024,1024,2,128,5.746687889099121,224314
256,128,8,16,6.649856090545654,226938
16,512,1,512,15.660032272338867,230080
1024,256,1,4,5.8664960861206055,232688
64,1024,16,2,0.8960000276565552,235227
128,8,16,2,62.00627136230469,240774
128,1024,16,16,1.277951955795288,243036
128,1024,16,4,1.1898880004882812,245439
64,1024,16,2,0.8970239758491516,247914
16,1024,2,2,4.860928058624268,250456
64,256,16,2,2.4637439250946045,252735
256,1024,16,1,1.5052800178527832,254944
64,1024,16,2,0.8970239758491516,257188
64,1024,16,2,0.8970239758491516,259636
256,2,16,2,242.25689697265625,261383
8,1024,4,2,5.486591815948486,263899
64,1024,16,2,0.8970239758491516,266133
64,1024,16,1,1.398784041404724,268472
512,1024,16,2,0.993279993534088,270732
16,1024,1,4,5.154816150665283,273356
64,4,16,2,121.23442840576172,275047
64,1024,16,1,1.398784041404724,277267
64,1024,16,2,0.8970239758491516,279904
64,1024,16,1,1.399808049201965,282354
512,1024,16,2,0.9922559857368468,285013
64,256,16,8,3.531775951385498,287550
64,1024,16,4,1.146880030632019,289865
32,1024,4,8,1.5503360033035278,292472
64,1024,16,4,1.1458560228347778,294993
64,1024,16,2,0.8970239758491516,297445
32,1024,16,2,1.5411200523376465,300144
512,1024,16,2,0.993279993534088,302651
16,1024,16,2,2.770944118499756,305098
64,1024,16,2,0.8960000276565552,307555
64,256,16,2,2.4637439250946045,310210
256,512,16,32,2.224128007888794,312678
512,64,64,8,13.148159980773926,315781
64,8,2,8,61.27308654785156,321135
64,1024,2,8,2.632704019546509,323722
128,512,8,16,2.062335968017578,326140
16,1024,1,2,7.008255958557129,328910
64,1024,16,64,1.206272006034851,331012
16,64,1,2,30.228479385375977,334786
256,1024,128,1,1.1847679615020752,337034
64,1024,16,2,0.8960000276565552,339291
64,1024,16,4,1.1458560228347778,341704
128,1024,32,2,1.1673599481582642,343811
1024,512,2,64,2.871295928955078,346172
64,512,16,2,1.435647964477539,348574
64,32,16,2,15.713279724121094,351426
64,1024,16,1,1.397760033607483,353820
64,512,4,8,1.4315520524978638,356268
128,32,8,16,24.572927474975582,359846
1024,16,32,4,47.12140655517578,364747
1,512,1,32,90.07513427734376,366209
64,512,2,4,2.646015882492065,368553
64,1024,16,2,0.8960000276565552,370831
1024,1024,16,2,1.0383360385894775,373315
512,1024,16,2,0.993279993534088,375889
128,512,4,16,1.9619840383529663,378150
64,1024,16,2,0.8960000276565552,380482
128,512,16,4,2.0684800148010254,382914
128,1024,8,2,1.4899200201034546,385270
64,512,16,4,1.9353599548339844,387646
32,512,32,16,3.6771841049194336,390113
256,1024,128,2,1.1857919692993164,392505
64,16,16,2,31.15212821960449,396472
512,512,128,2,2.0684800148010254,398905
512,8,256,1,82.37055969238281,405277
64,512,8,8,1.9281920194625852,407759
16,64,4,1,29.450239181518555,411641
64,512,4,4,1.4766080379486084,413908
64,1024,16,2,0.8960000276565552,416114
64,1024,32,2,1.1335680484771729,418230
32,1024,16,2,1.5400960445404053,420354
64,1024,16,1,1.398784041404724,422518
128,1024,16,2,0.9318400025367736,424737
64,64,16,2,8.514559745788574,427324
64,1024,16,2,0.8960000276565552,429862
64,512,4,8,1.4315520524978638,432536
256,1024,16,2,0.9779199957847596,434938
128,1024,8,2,1.4878720045089722,437159
256,2,128,2,358.8546447753906,439072
64,512,2,8,1.7049599885940552,441389
64,512,16,2,1.435647964477539,443517
