tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
512,256,4,128,4.387839794158936,0
256,64,1,8,8.499199867248535,3153
1024,512,512,2,4.671487808227539,6406
256,16,256,4,49.28819274902344,11819
256,512,2,256,3.947520017623901,14839
512,128,4,64,7.202816009521484,18295
256,256,4,128,3.7406721115112314,20993
512,512,4,128,2.357248067855835,23563
512,512,2,256,4.064256191253662,26008
256,512,4,128,2.298880100250244,28882
512,256,8,64,4.041728019714356,31710
512,256,4,128,4.389887809753418,34191
256,256,4,64,3.7560319900512695,37135
512,256,8,64,4.041728019714356,39694
128,256,4,128,3.7365760803222656,42294
512,256,8,64,4.041728019714356,45362
1024,128,8,16,6.767615795135498,48733
64,256,2,16,2.702336072921753,51659
1024,128,1024,1,11.141119956970217,54454
32,1024,2,64,2.445312023162842,56951
256,256,4,128,3.7406721115112314,60048
256,256,4,32,3.865600109100342,63298
256,512,4,128,2.297856092453003,66015
128,512,2,256,2.268160104751587,68683
64,512,1,256,5.446656227111816,71576
128,256,2,128,3.8113279342651367,74314
64,512,2,256,2.257920026779175,77057
128,256,2,128,3.812351942062378,80134
64,256,2,128,3.8092799186706543,83346
64,512,2,256,2.257920026779175,86529
64,512,2,256,2.2568960189819336,89682
64,512,2,512,3.8389759063720703,92774
128,256,4,128,3.737600088119507,95819
64,512,2,256,2.257920026779175,99208
128,512,2,256,2.268160104751587,102290
64,512,2,256,2.2568960189819336,105419
64,512,2,256,2.2568960189819336,108661
64,512,2,512,3.8389759063720703,111773
128,256,4,128,3.7365760803222656,114779
64,512,2,256,2.257920026779175,118018
128,128,16,32,7.073791980743408,121326
16,512,2,512,15.392767906188965,124717
64,512,2,512,3.8389759063720703,127417
128,256,4,128,3.7365760803222656,130455
64,512,2,256,2.2568960189819336,133803
64,256,2,256,4.207615852355957,136883
64,64,1,32,10.196991920471191,139904
512,1,256,1,611.262451171875,141884
128,512,2,256,2.268160104751587,144958
64,256,2,128,3.8092799186706543,147796
128,256,2,256,4.207615852355957,150871
256,512,2,256,3.947520017623901,154073
64,512,1,512,3.924992084503174,157109
64,512,2,256,2.2568960189819336,160090
64,256,2,256,4.206592082977295,162842
64,256,2,128,3.8051838874816895,165790
512,32,64,4,24.651775360107425,169730
128,4,32,4,186.6721343994141,171380
512,128,64,8,6.772736072540283,174282
1024,256,64,8,3.824640035629273,177708
64,1024,1,512,7.740416049957275,180691
64,512,1,512,3.926016092300415,183767
64,512,1,512,3.924992084503174,186962
64,512,1,512,3.9239680767059326,189788
1024,512,2,256,3.975167989730835,192714
64,256,2,256,4.207615852355957,195472
512,8,256,4,98.24050903320312,197548
4,512,2,16,19.67411231994629,200864
128,128,2,32,7.027711868286133,204060
128,512,2,256,2.268160104751587,206850
64,512,2,512,3.842047929763794,210195
64,256,2,128,3.808255910873413,213708
128,512,4,128,2.3500800132751465,216682
64,512,1,512,3.927040100097656,220066
64,512,2,256,2.2568960189819336,223440
64,256,2,128,3.8092799186706543,226696
64,256,2,256,4.207615852355957,229519
64,512,2,512,3.8410239219665527,232501
128,256,4,128,3.7365760803222656,235532
64,256,2,128,3.8092799186706543,238051
256,1024,1,1024,3.986432075500488,240754
512,512,512,2,4.671487808227539,243710
256,4,32,1,118.24230194091795,245484
1024,16,1024,1,41.35424041748047,250386
512,32,256,4,25.622528076171875,254938
64,64,2,16,8.904704093933105,257939
1024,512,1,512,8.064000129699707,261230
64,32,2,4,15.362048149108888,264765
64,512,1,256,5.410816192626953,267770
64,512,2,512,3.839999914169312,271025
64,512,2,512,3.839999914169312,274032
64,512,1,512,3.9280641078948975,277032
256,512,1,256,9.020416259765623,280190
64,512,2,256,2.2568960189819336,282645
64,1024,1,1024,3.986432075500488,285543
64,256,2,256,4.207615852355957,288644
128,1024,2,256,3.5932159423828125,291837
128,256,2,32,3.743743896484375,294917
64,256,2,64,3.7068800926208496,297892
32,512,4,32,3.748863935470581,300631
256,512,2,256,3.9444479942321777,303261
64,256,2,256,4.207615852355957,306253
64,512,2,512,3.843071937561035,308679
64,512,2,512,3.842047929763794,311662
1024,4,1024,1,159.710205078125,313727
1024,512,512,2,4.6684160232543945,316658
512,8,1,4,57.583614349365234,322454
512,128,256,4,6.578176021575928,325653
32,512,2,256,4.539391994476318,328694
64,128,2,64,6.863872051239014,331851
128,128,4,64,6.7491841316223145,334891
64,512,2,256,2.257920026779175,337695
64,256,1,256,4.575232028961182,340786
64,512,1,512,3.930111885070801,343884
64,512,2,512,3.8410239219665527,347000
64,512,2,256,2.257920026779175,349926
1024,512,2,256,3.976191997528076,352994
64,512,2,256,2.257920026779175,356064
16,512,2,512,15.39072036743164,359529
64,512,2,256,2.257920026779175,362244
1024,1024,512,2,3.9290881156921382,365704
512,256,4,256,4.415487766265869,368851
1024,256,512,1,3.398655891418457,371417
1024,256,512,1,3.3966081142425537,374338
64,512,4,32,1.9752960205078125,377668
512,512,2,256,4.060160160064697,380045
64,1024,2,256,2.780159950256348,382529
1024,512,2,256,3.9792640209198,385087
32,1024,4,256,2.450432062149048,387720
16,512,2,32,7.417856216430664,391211
16,512,4,64,7.371776103973389,394478
16,256,4,32,13.453311920166016,397893
64,512,4,128,2.0039680004119877,400516
16,256,4,32,13.45740795135498,404080
64,512,8,32,1.9988479614257808,406712
16,512,2,64,7.313407897949219,409853
128,1024,8,128,1.20524799823761,412644
64,512,4,32,1.9752960205078125,414875
1024,512,1,128,7.997439861297607,418067
64,256,4,4,2.4678399562835693,420904
128,1024,16,64,1.2072960138320925,423746
128,1024,8,64,1.218559980392456,426114
128,1024,4,256,1.269760012626648,428798
32,1024,4,128,2.159615993499756,431360
64,256,16,32,3.7027840614318848,434151
1024,1024,16,64,1.2042239904403689,436628
64,1,64,1,611.1631469726562,438748
16,1024,2,128,4.156415939331055,441552
128,1024,2,256,3.6177918910980233,444974
256,2,128,2,359.6738586425781,447153
128,512,16,8,2.06335997581482,450072
1024,1024,16,32,1.2963839769363403,453193
64,1024,4,128,1.3332480192184448,455472
64,1024,4,256,1.269760012626648,457764
128,1024,8,128,1.206272006034851,460199
128,1024,4,256,1.269760012626648,462996
128,1024,8,128,1.206272006034851,465790
1024,1,1024,1,614.9314575195312,468017
1024,16,1024,1,41.35935974121094,472281
1024,512,1024,1,4.61516809463501,474770
128,1024,4,256,1.2687360048294067,477291
512,16,4,1,28.15180778503418,481328
256,128,256,4,6.585343837738037,484224
1024,64,64,4,13.278207778930664,487408
128,1024,8,128,1.20524799823761,490362
64,1024,4,256,1.269760012626648,493366
64,1024,4,256,1.2707840204238892,496330
64,1024,4,256,1.2707840204238892,498673
128,1024,8,128,1.206272006034851,501375
64,16,2,16,33.96710586547852,505883
1024,128,1024,1,11.12985610961914,509299
32,512,2,4,2.777087926864624,512068
128,1024,8,128,1.206272006034851,514583
128,32,64,4,25.12179183959961,519042
64,16,32,16,50.990081787109375,524785
1024,128,128,4,7.101439952850342,527972
64,1024,8,128,1.20524799823761,530513
1024,1024,64,8,1.1663360595703125,533592
512,512,256,1,1.9722239971160889,536577
1024,4,512,2,187.18719482421875,538491
1024,16,1024,1,41.364479064941406,543413
512,4,128,4,196.29055786132807,545439
1024,512,512,1,2.021375894546509,547884
512,512,1,512,8.062975883483887,550632
128,1024,8,128,1.206272006034851,553439
256,64,256,1,11.729920387268066,556526
1024,2,512,2,374.1706237792969,558552
1024,256,4,256,4.415487766265869,561705
128,1024,8,128,1.20524799823761,564382
128,1024,8,128,1.20524799823761,566736
128,1024,8,128,1.206272006034851,569621
64,1024,4,256,1.2707840204238892,572590
128,256,2,4,3.1784958839416504,575148
1024,256,1024,1,5.93612813949585,577970
1024,512,16,64,2.1770238876342773,580619
64,1024,64,8,1.1673599481582642,583302
64,1024,8,128,1.20524799823761,586083
16,256,2,128,14.925824165344238,589995
1024,4,64,4,191.4327087402344,591688
128,16,16,8,49.11001586914063,596934
128,1024,8,128,1.206272006034851,599724
16,1024,16,64,4.435967922210693,602862
1024,1,1024,1,612.7708129882812,605258
1024,16,16,2,31.707136154174805,609691
128,1024,8,128,1.206272006034851,612442
128,1024,8,128,1.20524799823761,614989
128,1024,8,128,1.206272006034851,617790
128,1024,8,128,1.20524799823761,620492
1024,512,1024,1,4.613120079040527,623124
512,256,32,32,3.837951898574829,626540
256,4,256,2,187.26296997070312,628157
256,512,8,16,1.9896320104599,631123
128,1024,8,128,1.20524799823761,633734
64,256,2,16,2.704384088516236,636365
512,512,16,32,2.274303913116455,639055
512,512,256,2,2.012160062789917,641729
128,1024,8,128,1.206272006034851,644564
1024,4,512,2,187.26194763183597,646385
1024,16,32,16,50.990081787109375,652221
256,1024,64,8,1.1632640361785889,654836
1024,256,64,8,3.808255910873413,657158
512,512,256,1,1.9671039581298828,660139
1024,4,256,1,164.85784912109375,662421
1024,16,1024,1,41.36857604980469,667614
1024,1,1024,1,612.0980224609375,670049
64,1024,1,16,4.95308780670166,673077
512,1024,1,64,11.192319869995115,676701
512,128,256,4,6.578176021575928,679855
64,1024,64,8,1.1673599481582642,682694
64,1024,4,16,1.1622400283813477,685649
128,256,2,4,3.175424098968506,688527
1024,512,512,2,4.670464038848877,691145
64,1024,16,64,1.2083200216293335,693820
1024,512,64,8,2.0828158855438232,696227
8,1024,2,128,8.330240249633789,699775
1024,1,256,1,611.44677734375,702251
1024,256,1024,1,5.935103893280029,705804
128,1024,16,4,1.193984031677246,709125
1024,1,1024,1,612.9407958984375,711478
64,16,16,2,31.115264892578125,715512
8,1024,2,32,7.919616222381592,718825
64,1024,32,8,1.149952054023743,721280
256,32,256,4,25.32863998413086,725279
16,512,8,16,6.907904148101807,728306
1024,128,1024,1,11.132927894592283,731826
1024,128,512,2,6.220799922943115,735074
256,64,16,64,15.151103973388672,738690
64,32,64,4,24.775680541992188,742357
256,16,32,16,50.98803329467773,747595
256,1024,64,16,1.1274240016937256,749981
512,512,4,1,3.875839948654175,753142
512,512,256,4,3.3955841064453125,756288
64,4,32,1,116.94182586669922,758343
1024,16,1024,1,41.36959838867188,763358
1024,1,1024,1,612.31103515625,765602
1024,512,512,1,2.020351886749268,768204
512,512,1,512,8.074239730834961,771516
512,64,256,2,12.280832290649414,774926
1024,1024,8,128,1.206272006034851,777440
1024,1024,1024,1,4.625408172607422,780280
128,256,1,4,5.158912181854248,783221
1024,8,512,1,83.23174285888672,790723
1024,1024,128,8,1.930240035057068,793420
256,1024,1,256,12.321791648864746,796261
16,1024,2,128,4.155392169952393,798992
128,4,64,4,191.4931182861328,800897
1,512,1,64,128.69529724121094,803081
16,1024,16,4,3.807231903076172,805596
1024,1,1024,1,614.6907958984375,807635
512,16,512,1,41.35014343261719,812407
1024,512,1024,1,4.612095832824707,815136
64,512,32,8,1.9834879636764529,817504
256,16,16,16,50.10841751098633,822624
256,512,8,16,1.9937280416488647,825179
64,512,2,64,2.209791898727417,827956
16,128,16,2,16.517120361328125,831781
512,1024,256,2,1.931264042854309,834121
512,2,64,2,355.4539489746094,836495
64,128,2,128,7.213056087493896,839499
256,1024,64,2,1.206272006034851,842633
1024,16,64,8,51.771392822265625,848171
512,512,256,2,2.007040023803711,851138
1024,4,32,1,117.2889633178711,853059
128,64,64,8,13.385727882385254,856709
1024,1024,1024,1,4.626431941986084,859547
1024,16,512,1,42.01676940917969,864204
1024,2,1024,1,307.1508483886719,866143
1024,64,256,4,12.828672409057615,869741
64,1024,64,16,1.1356159448623655,872549
256,1024,256,2,1.9148800373077397,875420
32,256,2,4,4.655104160308838,878371
256,512,1,8,6.080512046813965,881549
128,1024,8,128,1.206272006034851,884520
128,1024,8,128,1.206272006034851,887539
128,1024,8,128,1.206272006034851,890595
128,1024,8,128,1.20524799823761,893311
1024,1024,16,8,1.2257280349731443,896039
256,32,64,2,23.56121635437012,899920
64,1024,16,16,1.159168004989624,902681
128,4,64,4,191.42962646484372,904255
16,512,16,8,6.854656219482422,907201
64,1024,2,8,2.7740159034729004,910299
1024,1,1024,1,612.8916625976562,912712
64,1024,16,64,1.2093440294265747,915197
128,1024,8,128,1.20524799823761,918375
1024,1024,1024,1,4.624383926391602,921504
64,1024,32,8,1.1509759426116943,924203
256,64,256,4,12.97920036315918,927518
128,1024,8,128,1.20524799823761,929881
128,512,1,32,8.9999361038208,933127
4,512,2,64,29.709312438964844,937049
512,256,16,4,3.4897921085357666,939952
128,1024,8,128,1.20524799823761,942964
128,1024,32,8,1.2410880327224731,946287
512,16,64,2,46.110721588134766,951641
1024,512,2,512,3.839999914169312,954883
128,1024,8,128,1.206272006034851,957840
