tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
256,128,32,1,22.51775932312012,True,0
512,64,128,8,24.73574447631836,True,3524
128,32,1,16,31.485952377319336,True,7537
1024,128,64,2,16.80588722229004,True,10492
4,512,1,256,1192.6180419921875,True,12925
256,1024,4,128,125.6263656616211,True,21889
64,32,64,1,80.7741470336914,True,28862
32,256,8,2,135.87660217285156,True,37778
1024,1024,8,32,118.89561462402344,True,46520
2,1,1,1,1689.6143798828125,True,49276
16,1024,1,1024,777.2252197265625,True,51455
256,1024,4,2,449.2185668945313,True,53203
512,1,1,1,9.068544387817385,True,55054
64,32,2,2,68.43596649169922,True,60946
512,128,2,16,17.325056076049805,True,63830
512,16,2,2,17.318912506103516,True,66847
8,64,8,8,562.619384765625,True,68465
128,1024,4,32,136.953857421875,True,77738
2,32,2,8,1689.0399169921875,True,80381
64,32,8,1,63.01593780517578,True,85657
2,64,2,2,1687.688232421875,True,88248
256,512,128,4,77.48095703125,True,94949
64,64,16,1,63.065086364746094,True,100865
1024,4,128,2,6.112256050109863,True,102693
256,32,16,4,20.0581111907959,True,105413
32,1,4,1,128.67584228515625,True,114529
256,64,128,8,49.45817565917969,True,119551
1024,64,32,32,12.55014419555664,True,121697
1024,512,512,1,65.89234924316406,True,127630
256,256,2,16,34.87539291381836,True,131785
8,8,4,2,468.0232849121094,True,133807
512,16,1,16,9.069567680358888,True,136302
4,128,1,1,1044.5465087890625,True,138483
2,128,1,4,1687.36865234375,True,141210
256,512,128,2,68.02432250976562,True,146922
2,8,1,2,1688.5616455078125,True,149495
32,64,2,16,126.17727661132812,True,158673
16,8,2,8,252.42214965820312,True,174116
64,16,4,1,63.0118408203125,True,179782
8,512,2,32,560.884765625,True,181478
128,1024,8,2,234.6967010498047,True,195849
256,512,256,1,68.88345336914062,True,201683
16,512,8,4,255.15213012695312,True,217128
16,1024,2,8,356.7359924316406,True,238173
1024,2,2,1,5.6248321533203125,True,240765
512,32,1,16,11.193344116210938,True,242965
64,64,1,4,89.3276138305664,True,249908
64,1024,4,16,149.35757446289062,True,259842
2,2,2,1,1689.6337890625,True,262487
512,512,2,256,63.01491165161133,True,267542
512,256,128,1,34.64704132080078,True,271226
1024,1024,2,256,117.90541076660156,True,279795
16,512,4,256,778.5595092773438,True,281488
512,64,16,2,11.291647911071776,True,283913
8,32,2,4,466.8917846679688,True,285416
64,1024,32,4,151.9974365234375,True,294917
4,32,1,1,877.322265625,True,296682
512,512,4,1,446.98931884765625,True,297993
64,128,8,16,79.11014556884766,True,303951
128,128,1,4,127.31494140625,True,312940
1024,32,2,1,56.91084671020508,True,317940
32,16,1,1,136.51455688476562,True,328111
32,1024,2,8,278.2023620605469,True,344908
256,2,4,2,16.128000259399414,True,347434
32,128,32,32,394.0351867675781,True,370341
32,2,32,1,126.38003540039062,True,379285
128,32,16,4,39.8100471496582,True,383647
32,128,4,8,126.17625427246094,True,392448
64,16,16,8,83.25631713867188,True,398447
128,512,128,4,104.85862731933594,True,406322
16,512,1,8,356.3222961425781,True,426849
4,32,2,8,876.3914184570312,True,429217
8,512,4,16,560.9840698242188,True,430827
64,64,1,8,68.30284881591797,True,436913
128,512,1,1,1784.9149169921875,True,439722
32,128,16,16,186.7130889892578,True,451878
16,1024,2,4,553.2272338867188,True,453818
8,32,4,8,468.0181884765625,True,455490
64,128,16,32,120.46336364746094,True,464346
512,512,64,2,62.53875350952149,True,469940
32,256,2,4,178.3910369873047,True,481640
64,512,2,4,254.3554534912109,True,497652
128,128,2,64,40.26777648925781,True,502583
16,32,1,32,252.4354553222656,True,518693
32,512,16,4,159.89248657226562,True,529619
512,1024,32,2,123.06227111816406,True,538658
16,256,2,4,270.7517395019531,True,555319
8,256,1,128,563.1549682617188,True,557487
