tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
1,512,1,32,3321.196533203125,True,0
1024,1024,1,64,119.57145690917967,True,8583
1024,1024,1024,1,129.07008361816406,True,17194
64,32,32,16,123.94802856445312,True,25155
16,8,8,1,252.39552307128903,True,40097
512,1024,1,2,1775.96923828125,True,134147
1024,64,4,64,10.744832038879396,True,136267
8,1024,1,1024,1522.1083984375,True,139159
1024,256,16,32,31.82080078125,True,142488
16,256,8,8,315.61932373046875,True,160718
256,4,256,2,29.18809509277344,True,163979
1024,8,128,1,5.104640007019043,True,165758
512,256,4,16,34.22515106201172,True,169482
8,128,4,8,470.8290710449219,True,195722
512,256,512,2,48.4505615234375,True,199693
64,256,8,4,68.50969696044922,True,205290
8,32,4,2,470.8280334472656,True,231372
64,1024,4,32,149.0821075439453,True,240953
512,32,512,2,23.848960876464844,True,243971
256,128,256,4,47.656959533691406,True,248211
128,8,128,1,40.448001861572266,True,252275
1024,512,512,2,63.783935546875,True,257002
64,128,32,8,93.72057342529295,True,263482
128,1,128,1,42.39052963256836,True,267281
1024,128,128,2,16.963584899902344,True,270015
128,128,8,8,39.64313507080078,True,273967
8,256,4,128,884.5444946289062,True,276260
16,32,4,16,315.715576171875,True,294289
1024,1024,1024,1,129.01171875,True,302937
64,32,32,4,81.19500732421875,True,308923
32,1024,1,512,237.69906616210935,True,323092
1024,2,512,2,11.997183799743652,True,325518
512,32,128,2,11.73196792602539,True,327918
64,128,4,16,79.01798248291016,True,333655
64,1,4,1,63.25862503051758,True,338455
16,4,8,2,252.4375,True,353235
512,256,256,4,48.328704833984375,True,357458
1024,2,1024,1,13.333503723144531,True,360160
128,512,64,1,75.66130828857422,True,365928
64,512,16,64,196.1902008056641,True,378012
1024,1024,512,1,159.3763885498047,True,387979
1024,16,64,16,12.694527626037598,True,390152
1024,1,1024,1,13.526016235351562,True,392341
256,4,8,2,16.19148826599121,True,394721
1024,1024,1024,1,129.04652404785156,True,403082
256,32,64,1,20.24038314819336,True,406527
32,256,32,16,240.2703399658203,True,420627
512,32,32,4,10.15500831604004,True,422780
1024,8,1024,1,13.084671974182127,True,424819
8,32,4,1,470.2310485839844,True,450693
64,128,16,16,93.27718353271484,True,457770
1024,2,1024,1,13.332480430603027,True,460024
64,16,32,1,63.22175979614258,True,464695
1024,32,1,8,15.968255996704102,True,466911
16,16,4,8,252.39654541015625,True,481693
1024,512,2,512,60.62080001831055,True,486398
256,8,256,4,47.85663986206055,True,490559
1024,8,256,1,5.741568088531494,True,492614
2,1024,2,16,1687.372802734375,True,495320
512,256,128,2,34.04800033569336,True,498494
1024,1024,1024,1,129.59539794921875,True,506870
1024,8,256,4,12.010496139526367,True,509162
1024,1024,1024,1,129.5257568359375,True,517601
16,8,2,2,252.3842620849609,True,532309
128,8,64,4,48.266239166259766,True,536193
4,512,2,2,1044.9541015625,True,538235
256,512,2,512,96.77926635742188,True,544888
64,128,8,2,68.45849609375,True,550115
4,64,4,32,985.6798706054688,True,552151
1024,64,128,4,13.328384399414062,True,554484
32,512,1,512,237.89773559570312,True,568342
512,64,16,64,25.189376831054688,True,571571
1024,256,1024,1,37.4015998840332,True,574836
1024,16,512,1,7.054336071014404,True,576536
32,128,16,4,157.95301818847656,True,586195
16,512,8,8,315.69305419921875,True,604439
64,8,1,2,62.98624038696289,True,609253
64,16,16,8,83.23072052001953,True,615373
8,64,2,64,563.2788696289062,True,617127
1024,64,2,16,8.69375991821289,True,619107
512,1,512,1,15.126527786254885,True,621245
512,32,512,2,23.836671829223636,True,623972
256,64,16,64,50.3265266418457,True,628384
256,256,64,8,52.64998245239258,True,632898
32,2,4,2,126.22233581542967,True,640971
256,512,256,2,76.34226989746094,True,646836
4,256,2,8,874.6004638671875,True,648814
1024,256,16,32,31.698944091796875,True,651831
16,512,2,512,778.0628662109375,True,653566
256,4,32,2,21.00121688842773,True,656315
512,8,512,2,23.91859245300293,True,659231
64,128,8,32,93.14508819580078,True,665784
