tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
1024,8,512,1,7.151616096496582,True,0
128,512,8,32,85.3391342163086,True,6735
256,1,256,1,24.050687789916992,True,10205
1024,256,16,32,31.35590362548828,True,14426
512,8,2,8,7.961599826812744,True,17191
512,256,4,8,32.44851303100586,True,21003
1,1024,1,1024,2147483648.0,False,31504
1024,32,16,16,7.288832187652588,True,33327
128,512,4,128,105.10438537597656,True,41458
128,512,8,64,106.09766387939452,True,49004
1024,1024,8,1,446.5264587402344,True,50385
512,1024,1,16,228.9285125732422,True,64886
4,32,4,1,874.9496459960938,True,67093
32,2,1,2,126.1998062133789,True,75769
16,16,16,4,317.20037841796875,True,94555
1,16,1,2,3317.54296875,True,98944
1024,512,2,8,114.71155548095705,True,107737
1024,64,8,32,10.738688468933104,True,110278
128,512,4,64,85.47634887695312,True,117512
512,512,64,2,62.94937515258789,True,123269
1,256,1,256,4362.7763671875,True,128683
128,256,64,1,43.48825454711914,True,133292
16,256,1,1,1018.14990234375,True,135668
32,2,16,1,126.2561264038086,True,144424
256,256,4,2,116.31206512451172,True,152244
1,128,1,1,3319.03271484375,True,156542
32,32,32,4,161.32403564453125,True,167363
64,512,32,1,89.58258819580078,True,174089
32,1024,32,1,181.54905700683597,True,185844
16,1024,16,1,357.612548828125,True,207064
4,16,4,1,875.673583984375,True,208905
256,32,2,8,17.225727081298828,True,211483
8,16,2,16,468.2158203125,True,212909
2,2,1,2,1689.1300048828125,True,215545
2,256,2,8,1687.6768798828125,True,218182
2,4,2,2,1689.1207275390625,True,221142
32,256,32,1,126.95449829101562,True,229856
32,64,8,1,126.21004486083984,True,238296
128,8,32,4,42.05670547485352,True,242592
1024,16,64,4,6.02623987197876,True,244371
4,512,2,256,1670.9171142578125,True,246968
1024,1024,32,8,121.3306884765625,True,255467
128,8,32,4,42.0577278137207,True,259806
512,128,64,1,18.494464874267575,True,262796
512,128,32,4,18.544639587402344,True,265365
16,128,2,1,356.5424499511719,True,285750
32,256,8,2,136.4705352783203,True,294661
128,64,32,2,40.21862411499024,True,298728
1024,1024,16,64,122.3372802734375,True,306858
64,64,32,8,93.79840087890624,True,313893
256,256,32,16,53.0964469909668,True,318503
128,512,4,64,86.07231903076172,True,325295
1024,128,32,4,17.17043113708496,True,327882
256,256,2,2,227.35565185546875,True,342035
128,32,128,4,60.29004669189453,True,348313
512,256,2,16,32.68812942504883,True,352143
64,16,4,4,63.06611251831055,True,357474
512,16,8,16,10.563584327697754,True,360084
1024,64,2,2,56.9251823425293,True,364926
16,1024,4,256,776.6640625,True,366694
16,512,8,32,370.1954650878906,True,388585
128,4,2,2,31.56172752380371,True,392586
512,512,2,128,64.35737609863281,True,397708
8,1024,2,128,658.8876953125,True,399508
1024,4,64,2,5.313536167144775,True,401437
512,32,2,4,17.320959091186523,True,403800
64,128,16,64,199.4905548095703,True,416375
8,512,4,4,467.1405944824219,True,417940
4,256,2,32,981.0636596679688,True,419849
4,128,1,64,981.0401000976562,True,421769
64,128,1,64,79.0640640258789,True,428235
128,128,64,8,60.08012771606445,True,434353
256,256,2,128,42.5984001159668,True,438847
16,128,8,16,315.75653076171875,True,457290
1024,16,32,8,6.102015972137451,True,459411
16,32,8,4,252.38937377929688,True,474861
256,8,32,8,24.3189754486084,True,477836
16,32,16,2,252.42828369140625,True,493570
256,16,8,16,21.10361671447754,True,496457
256,16,2,16,15.873023986816406,True,498903
128,512,32,32,98.50367736816406,True,506564
1024,256,32,4,30.664703369140625,True,511097
