tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
256,512,4,64,67.53791809082031,True,0
256,1,32,1,16.313343048095703,True,2555
1024,8,1024,1,13.082624435424805,True,4876
1024,128,512,2,23.94316864013672,True,8010
256,32,256,2,28.14361572265625,True,11347
2,1024,1,64,1823.183837890625,True,14249
1024,8,1024,1,13.081600189208984,True,17075
16,16,2,8,252.39244079589844,True,32708
512,256,256,4,48.075775146484375,True,37258
1024,4,512,1,7.342080116271973,True,39436
256,256,128,2,42.72844696044922,True,43207
1,64,1,64,3493.688232421875,True,47788
512,64,64,2,11.487232208251951,True,50268
512,1024,64,16,122.60761260986328,True,59189
1024,16,256,4,11.968511581420898,True,61361
1024,512,1024,1,64.26521301269531,True,66404
128,4,128,1,40.67942428588867,True,70593
256,256,128,4,52.745216369628906,True,75292
1024,512,128,4,63.32620620727539,True,80626
1024,1024,512,2,128.00921630859375,True,89710
128,1024,128,8,196.15231323242188,True,102637
128,1,32,1,32.41574478149414,True,106785
64,512,4,128,119.06047821044922,True,115236
256,64,64,8,30.19468879699707,True,118549
1024,16,2,4,8.690688133239746,True,120484
16,4,8,2,252.4364776611328,True,136149
256,512,4,256,97.19705963134766,True,143278
128,64,32,4,40.51865768432617,True,147342
64,128,16,16,93.28128051757812,True,154193
64,32,16,16,94.91353607177734,True,161141
1024,512,1024,1,64.395263671875,True,166855
128,32,128,8,99.17132568359376,True,173897
8,64,2,16,471.4076232910156,True,200410
32,128,1,64,157.88543701171875,True,210833
128,1024,8,16,137.6942138671875,True,220165
512,32,512,2,23.85100746154785,True,223132
4,64,2,16,875.8671264648438,True,225080
1024,32,512,2,11.931648254394531,True,227265
16,8,1,8,252.41087341308597,True,242855
512,256,16,8,34.36441421508789,True,246642
2,512,1,128,1825.8892822265625,True,249653
256,8,16,8,21.183488845825195,True,252543
64,512,1,64,93.24543762207033,True,259395
64,256,1,64,79.0804443359375,True,265204
128,256,16,1,69.03910064697266,True,270447
16,1024,1,512,474.2748107910156,True,296928
32,512,32,16,240.01638793945312,True,311285
512,128,512,2,23.82233619689941,True,314047
16,64,2,4,255.3948211669922,True,329520
1024,256,128,1,42.05158233642578,True,333799
512,512,64,1,70.01805114746094,True,340052
256,128,128,2,29.7574405670166,True,343535
512,1024,512,1,131.80313110351562,True,352516
4,4,2,2,876.7713012695312,True,354448
1024,1,512,1,7.718912124633789,True,356530
8,8,8,2,472.3312683105469,True,383272
128,512,64,1,75.6500473022461,True,389348
128,64,16,2,31.541248321533203,True,392694
128,16,4,8,31.57708740234375,True,396462
256,2,128,1,21.0831356048584,True,399761
256,32,256,1,22.039552688598636,True,402694
1024,32,1024,1,12.914688110351562,True,405207
1024,64,512,1,12.889087677001951,True,407544
1024,32,2,32,6.280191898345947,True,409719
32,1024,32,4,187.52511596679688,True,422029
256,4,4,1,15.773695945739746,True,424688
256,128,256,4,47.65388870239258,True,429070
64,128,2,128,93.7031707763672,True,435554
1024,2,32,1,4.088831901550293,True,437440
64,1024,64,4,173.46456909179688,True,448962
8,1024,2,4,702.7179565429688,True,450649
128,16,1,8,31.48185539245605,True,454340
128,16,8,16,41.92256164550781,True,458600
32,1024,32,16,243.2051239013672,True,473673
256,1024,256,1,186.25637817382807,True,484846
1024,512,2,256,61.98169708251953,True,490277
512,128,8,64,26.400768280029297,True,493486
32,512,1,512,237.8997802734375,True,508227
1024,128,1024,1,24.07321548461914,True,511269
512,4,512,1,14.428159713745115,True,514002
1024,2,512,1,7.4403839111328125,True,516278
32,64,2,2,136.60569763183594,True,525252
512,1024,1,512,124.70476531982422,True,534202
256,64,128,4,30.091264724731445,True,537448
512,4,256,4,24.05171203613281,True,541047
128,16,8,1,31.47571182250977,True,545278
128,256,16,64,98.51187133789062,True,552617
1024,256,1024,1,37.212158203125,True,556395
1024,1024,4,256,121.38086700439452,True,564486
1024,2,512,1,7.588863849639893,True,566649
1024,2,1024,1,13.337599754333496,True,568623
64,1024,2,2,908.115966796875,True,570644
512,64,16,16,14.736384391784668,True,573118
256,512,4,128,77.36319732666016,True,579087
512,16,4,8,7.924736022949219,True,581170
32,16,4,16,158.47628784179688,True,591489
512,1,512,1,15.049728393554688,True,593970
1024,1024,4,256,121.50272369384766,True,602561
256,8,64,1,20.29055976867676,True,605132
512,64,8,4,11.296768188476562,True,608162
32,1024,16,8,172.27877807617188,True,619744
64,256,4,16,79.08761596679688,True,625961
256,64,128,8,49.470462799072266,True,630540
32,512,32,2,161.89849853515625,True,640890
8,64,4,64,663.4454956054688,True,642634
512,8,128,2,11.842559814453123,True,645178
32,512,16,16,186.0024261474609,True,656621
16,128,16,32,475.4104309082031,True,658251
1024,64,512,2,11.92959976196289,True,660586
64,256,64,16,196.6366729736328,True,672666
1024,512,64,2,62.1209602355957,True,677640
1024,256,1024,1,37.400577545166016,True,681374
16,64,16,16,374.0498046875,True,703530
256,16,32,2,20.26598358154297,True,706585
1024,16,256,4,11.968511581420898,True,709382
64,1024,1,1024,195.79391479492188,True,721987
128,1024,32,2,138.86976623535156,True,731526
32,32,16,32,247.7434844970703,True,746598
256,512,4,1,449.2994689941406,True,748108
32,64,8,8,157.94790649414062,True,758443
1024,256,1024,1,37.336063385009766,True,762231
32,1024,1,1024,391.4373168945313,True,784819
512,1024,32,32,123.11859130859376,True,793570
128,16,64,16,100.82303619384766,True,801201
256,128,256,4,47.65388870239258,True,805562
1024,2,512,1,7.543807983398437,True,807292
1024,32,1024,1,12.913663864135742,True,809672
1024,1024,128,2,122.5318374633789,True,818004
256,4,8,1,15.833087921142578,True,820878
64,512,1,512,119.22227478027344,True,829081
2,128,2,128,2260.124755859375,True,832318
1024,256,128,1,42.37619018554688,True,836595
1024,128,4,8,16.375808715820312,True,839192
64,256,4,64,92.4026870727539,True,846098
512,32,8,32,12.115967750549316,True,848862
1024,16,256,1,5.677055835723877,True,851151
32,512,1,256,185.35833740234372,True,862599
512,512,64,8,63.9477767944336,True,867946
1024,64,4,1,56.98662567138672,True,873473
