tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
1024,16,16,2,7.968768119812012,True,0
128,1024,4,16,242.44224548339844,True,15675
512,128,512,1,46.28889465332031,True,20135
16,32,1,32,441.7873840332031,True,46126
16,256,2,2,651.5281982421875,True,83435
32,256,32,4,272.2293701171875,True,100572
256,256,4,128,94.44147491455078,True,107715
512,1,4,1,14.022656440734863,True,110569
4,2,2,2,1591.3216552734375,True,113270
1,128,1,2,6098.40869140625,True,120726
4,16,1,8,1589.717041015625,True,123662
64,128,16,2,110.44659423828124,True,131281
16,16,16,2,441.8017272949219,True,157485
1024,32,16,4,10.73971176147461,True,160199
1024,2,16,2,7.19974422454834,True,162190
1024,32,4,4,15.856639862060549,True,164772
1024,4,2,4,8.11622428894043,True,167143
512,4,1,4,16.046079635620117,True,169715
64,256,16,16,157.76255798339844,True,179931
256,2,32,2,35.924991607666016,True,183849
1024,2,64,2,9.102335929870604,True,186298
512,4,1,4,16.045055389404297,True,188795
512,2,16,2,14.375935554504396,True,191370
1024,16,16,2,7.987199783325195,True,193540
128,64,128,1,68.5844497680664,True,198922
1024,1024,8,64,208.6840362548828,True,212262
4,512,4,1,1924.5567626953125,True,215324
32,32,32,16,421.6872863769531,True,239657
1024,4,32,2,9.000960350036621,True,241925
1024,2,8,2,7.178239822387695,True,244016
512,8,16,8,18.079744338989254,True,246888
1024,1,16,1,7.19974422454834,True,248952
1024,4,8,4,7.178239822387695,True,251149
1024,1,16,1,7.19974422454834,True,253052
1024,2,16,2,7.19974422454834,True,254958
512,4,8,4,14.326784133911133,True,257536
1024,4,16,4,9.037823677062988,True,259884
512,8,8,2,13.8854398727417,True,262406
1024,2,8,2,7.178239822387695,True,264333
512,4,8,4,14.326784133911133,True,266685
1024,1,16,1,7.19974422454834,True,268674
512,2,8,2,14.327808380126951,True,271255
512,2,8,2,14.327808380126951,True,273751
1024,2,256,1,10.08844757080078,True,276029
128,64,64,8,104.95999908447266,True,283255
1024,2,8,2,7.178239822387695,True,285311
1024,2,8,2,7.179264068603516,True,287351
1024,4,8,2,7.124991893768311,True,289440
1024,4,8,2,7.123968124389648,True,291446
1024,4,16,2,7.162879943847656,True,293549
1024,4,16,2,7.162879943847656,True,295705
