tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
512,1,512,1,15.143936157226562,True,0
512,8,64,4,12.132351875305176,True,2451
4,32,4,32,995.251220703125,True,4449
256,8,64,1,20.2926082611084,True,7424
256,8,32,4,21.05241584777832,True,10725
512,8,64,8,15.78598403930664,True,13055
512,4,256,2,14.758912086486816,True,15672
128,64,32,32,100.2117156982422,True,22899
512,8,64,4,12.134400367736816,True,25362
512,4,64,4,12.24499225616455,True,27680
128,32,1,32,31.58425521850586,True,31250
256,32,64,4,23.47929573059082,True,34444
512,128,16,64,25.209856033325195,True,37765
1024,256,4,128,31.16748809814453,True,41146
1024,256,512,2,36.32844924926758,True,44942
64,512,2,4,255.84844970703125,True,60864
1024,64,1024,1,12.99456024169922,True,63899
1024,64,4,16,9.371647834777832,True,66474
1024,16,128,1,5.106688022613525,True,68481
8,8,8,2,468.3489379882813,True,70052
1024,64,1024,1,12.989439964294434,True,72485
128,16,16,1,31.60371208190918,True,76263
1024,64,128,1,9.439231872558594,True,79049
1024,32,128,4,7.63699197769165,True,81324
1024,32,256,1,7.299071788787842,True,83664
1024,512,1024,1,63.52691268920898,True,89613
1024,256,4,256,35.94956970214844,True,93489
1024,256,2,128,31.876096725463867,True,97501
1024,128,256,2,18.82521629333496,True,100732
128,32,128,1,40.66304016113281,True,105231
1024,64,128,8,12.46617603302002,True,107842
128,16,128,1,40.59648132324219,True,112592
1024,64,128,2,10.802176475524902,True,115658
1024,16,64,1,5.097472190856934,True,117905
1024,16,128,1,5.104640007019043,True,120609
1024,16,128,1,5.104640007019043,True,123114
1024,16,64,1,5.100543975830078,True,125506
1024,16,64,1,5.098495960235596,True,127454
1024,16,128,1,5.104640007019043,True,129636
1024,16,32,1,4.388864040374756,True,131700
1024,16,8,1,8.760319709777832,True,134545
1024,16,128,1,5.105663776397705,True,136826
1024,16,32,1,4.386816024780273,True,139024
512,16,32,1,7.962624073028564,True,141407
1024,16,32,1,4.388864040374756,True,143530
1024,16,32,1,4.386816024780273,True,145415
1024,16,32,1,4.390912055969238,True,147668
1024,16,32,1,4.390912055969238,True,150072
1024,64,1,32,8.71833610534668,True,152763
1024,16,16,1,5.737472057342529,True,155122
1024,16,32,1,4.390912055969238,True,156814
1024,16,16,1,5.736447811126709,True,158854
1024,16,16,4,5.256192207336426,True,161213
1024,8,32,1,4.008959770202637,True,163862
1024,16,64,1,5.097472190856934,True,166417
1024,16,64,1,5.099520206451416,True,168843
1024,8,16,1,4.432896137237549,True,171512
1024,4,64,1,5.303296089172363,True,173920
1024,8,32,1,4.008959770202637,True,175874
1024,8,32,1,4.007936000823975,True,177547
1024,8,64,1,5.095424175262451,True,179518
1024,4,32,1,4.080639839172363,True,181478
1024,8,64,1,5.096447944641113,True,183514
1024,16,8,2,5.738495826721191,True,185663
1024,16,32,2,5.20908784866333,True,188085
1024,8,32,1,4.009984016418457,True,190409
1024,16,32,1,4.386816024780273,True,192190
1024,8,32,1,4.007936000823975,True,194220
1024,8,4,4,4.418560028076172,True,196748
512,8,64,1,10.178560256958008,True,199560
1024,16,32,1,4.395008087158203,True,201706
1024,4,64,1,5.307392120361328,True,204006
1024,8,1,8,5.750783920288086,True,206557
1024,8,32,1,4.009984016418457,True,208772
1024,8,32,1,4.009984016418457,True,211211
1024,8,32,1,4.008959770202637,True,212866
1024,8,1024,1,13.112319946289062,True,215460
1024,8,64,1,5.095424175262451,True,218398
512,8,32,1,7.9779839515686035,True,221138
1024,16,32,1,4.384768009185791,True,222949
1024,32,8,8,6.037504196166992,True,225303
