IMAGES_CACHE_LCL,IMAGES_CACHE_PRV,FILTER_CACHE_LCL,FILTER_CACHE_PRV,OUT_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WG_4_OCL_DIM,WG_5_OCL_DIM,WG_6_OCL_DIM,WG_7_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,WI_4_OCL_DIM,WI_5_OCL_DIM,WI_6_OCL_DIM,WI_7_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,INPUT_SIZE_4,WG_4,GLB_4,WI_4,LCL_4,PRV_4,INPUT_SIZE_5,WG_5,GLB_5,WI_5,LCL_5,PRV_5,INPUT_SIZE_6,WG_6,GLB_6,WI_6,LCL_6,PRV_6,INPUT_SIZE_7,WG_7,GLB_7,WI_7,LCL_7,PRV_7,runtime,Valid,timestamp
1,1,1,0,0,5,0,4,3,1,6,2,1,4,2,0,5,6,3,1,1,1,1,1,1,64,32,2,1,1,1,112,16,7,1,1,1,112,56,2,1,1,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,1,1,1,7,68222976,True,1890
0,1,1,0,1,6,0,4,2,1,5,3,5,0,3,4,1,6,2,1,1,1,1,1,1,64,1,8,2,2,2,112,16,1,1,1,7,112,16,7,1,1,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,7,1,2817024,True,3033
0,0,1,0,1,1,3,2,6,0,4,5,4,6,1,5,2,3,0,1,1,1,1,1,1,64,1,16,2,2,1,112,56,2,1,1,1,112,8,2,7,1,1,3,1,1,1,1,3,7,1,1,1,7,1,7,1,7,1,1,1,523264,True,4176
0,1,1,1,0,1,4,5,2,6,3,0,1,4,6,3,2,5,0,1,1,1,1,1,1,64,8,1,4,2,1,112,2,7,2,2,2,112,7,1,2,4,2,3,1,1,1,1,3,7,1,7,1,1,1,7,1,7,1,1,1,6573056,True,5667
1,1,1,1,0,6,3,4,5,0,2,1,6,4,2,3,1,0,5,1,1,1,1,1,1,64,1,64,1,1,1,112,28,2,1,2,1,112,1,28,1,2,2,3,1,3,1,1,1,7,1,7,1,1,1,7,1,7,1,1,1,355880960,True,9768
1,1,0,0,1,4,3,6,5,2,0,1,6,4,3,0,5,2,1,1,1,1,1,1,1,64,16,4,1,1,1,112,28,1,1,4,1,112,7,2,4,1,2,3,1,3,1,1,1,7,1,1,1,7,1,7,1,7,1,1,1,784384,True,11069
0,0,0,1,1,6,0,5,1,3,4,2,1,2,5,0,4,3,6,1,1,1,1,1,1,64,1,1,2,1,32,112,56,2,1,1,1,112,56,2,1,1,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,7,1,1,1,1627136,True,12471
1,0,1,1,1,4,2,1,0,6,5,3,5,1,2,0,3,4,6,1,1,1,1,1,1,64,64,1,1,1,1,112,112,1,1,1,1,112,4,7,1,1,4,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,9696256,True,13824
1,1,1,0,0,3,0,1,2,5,6,4,6,0,4,5,1,2,3,1,1,1,1,1,1,64,8,8,1,1,1,112,56,2,1,1,1,112,4,14,2,1,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,7,1,1,1,17001472,True,15175
1,1,0,0,1,2,5,1,4,0,3,6,6,3,4,5,0,2,1,1,1,1,1,1,1,64,8,1,1,4,2,112,2,4,14,1,1,112,4,2,7,2,1,3,1,1,1,1,3,7,1,7,1,1,1,7,1,7,1,1,1,302080,True,16578
