IMAGES_CACHE_LCL,IMAGES_CACHE_PRV,FILTER_CACHE_LCL,FILTER_CACHE_PRV,OUT_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WG_4_OCL_DIM,WG_5_OCL_DIM,WG_6_OCL_DIM,WG_7_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,WI_4_OCL_DIM,WI_5_OCL_DIM,WI_6_OCL_DIM,WI_7_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,INPUT_SIZE_4,WG_4,GLB_4,WI_4,LCL_4,PRV_4,INPUT_SIZE_5,WG_5,GLB_5,WI_5,LCL_5,PRV_5,INPUT_SIZE_6,WG_6,GLB_6,WI_6,LCL_6,PRV_6,INPUT_SIZE_7,WG_7,GLB_7,WI_7,LCL_7,PRV_7,runtime,Valid,timestamp
1,1,0,1,1,6,3,4,5,2,0,1,0,4,1,5,6,2,3,16,1,2,4,2,1,64,1,8,1,4,2,112,7,4,1,2,2,112,2,4,2,7,1,3,1,1,1,3,1,7,1,1,1,1,7,7,1,1,1,7,1,591822848,True,7646
0,0,1,0,0,2,0,1,6,4,3,5,0,5,2,1,6,4,3,16,1,1,2,4,2,64,2,4,2,1,4,112,4,7,2,1,2,112,4,7,1,2,2,3,1,1,1,3,1,7,1,7,1,1,1,7,1,7,1,1,1,467273728,True,13584
0,1,0,1,0,2,6,1,3,4,5,0,2,5,6,1,4,3,0,16,8,1,1,1,2,64,16,1,2,1,2,112,4,1,14,2,1,112,16,1,1,1,7,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,1,7,92129280,True,16210
1,1,0,0,0,2,6,3,5,0,4,1,4,0,1,3,6,5,2,16,1,1,2,4,2,64,4,1,8,2,1,112,14,1,4,2,1,112,1,1,4,28,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,7,1,1,1,133200896,True,19709
0,1,0,1,0,1,6,2,3,4,5,0,2,5,6,1,4,3,0,16,8,1,1,1,2,64,16,1,2,1,2,112,4,1,14,2,1,112,16,1,1,1,7,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,1,7,92040192,True,22680
0,1,0,1,0,4,6,1,2,3,5,0,2,5,6,1,4,3,0,16,8,1,1,1,2,64,16,1,2,1,2,112,4,1,14,2,1,112,16,1,1,1,7,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,1,7,93574144,True,26070
0,1,0,1,0,3,6,1,2,4,0,5,2,5,6,1,4,3,0,16,8,1,1,1,2,64,16,1,2,1,2,112,4,1,14,2,1,112,16,7,1,1,1,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,1,7,101556224,True,28344
0,1,1,1,1,4,6,2,1,0,3,5,0,4,5,6,1,3,2,16,1,4,2,2,1,64,2,8,1,4,1,112,1,1,2,4,14,112,1,2,14,1,4,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,397459456,True,33740
0,1,0,1,0,1,6,2,4,3,5,0,2,5,3,1,6,4,0,16,8,1,1,1,2,64,16,1,2,1,2,112,4,1,14,2,1,112,16,1,1,1,7,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,1,7,92049408,True,36757
0,1,0,1,0,3,6,1,2,4,5,0,2,5,6,1,4,3,0,16,8,1,1,1,2,64,16,1,2,1,2,112,4,1,14,2,1,112,16,1,1,1,7,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,1,7,93533184,True,39270
0,1,0,1,0,1,6,2,3,4,5,0,2,5,6,1,0,3,4,16,8,1,1,1,2,64,16,1,2,2,1,112,4,1,14,2,1,112,16,1,1,1,7,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,1,7,96627712,True,42236
0,1,0,1,0,1,6,2,3,4,5,0,2,5,6,1,4,3,0,16,8,1,1,1,2,64,16,1,2,1,2,112,4,1,14,2,1,112,16,1,1,1,7,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,1,7,91763712,True,44600
1,1,0,1,0,1,6,2,3,4,5,0,2,5,6,1,4,3,0,16,8,1,1,1,2,64,16,1,2,1,2,112,4,4,7,1,1,112,16,1,1,1,7,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,7,1,106324992,True,47190
0,1,0,1,0,1,6,2,3,4,5,0,2,5,6,1,4,3,0,16,8,1,1,1,2,64,16,1,2,1,2,112,4,2,7,2,1,112,16,1,1,7,1,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,1,7,83913728,True,49941
0,1,1,1,0,1,6,2,3,4,5,0,2,5,0,3,6,4,1,16,8,1,1,1,2,64,16,1,2,1,2,112,4,1,14,1,2,112,16,1,7,1,1,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,7,1,42685440,True,51938
0,1,0,1,0,1,6,2,3,4,5,0,2,5,0,3,6,4,1,16,8,1,1,1,2,64,16,1,1,1,4,112,4,1,7,4,1,112,16,1,1,1,7,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,1,7,160318464,True,55345
0,1,1,1,0,1,6,2,3,5,4,0,2,5,0,3,6,4,1,16,8,1,1,1,2,64,16,1,2,1,2,112,4,1,14,2,1,112,16,1,7,1,1,3,1,1,1,1,3,7,1,7,1,1,1,7,1,7,1,1,1,42945536,True,57490
0,1,1,1,0,2,6,1,3,4,5,0,2,5,0,3,6,4,1,16,8,1,1,1,2,64,16,1,2,1,2,112,4,1,14,1,2,112,16,1,7,1,1,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,7,1,42710016,True,59863
0,1,1,1,0,1,6,2,3,4,5,0,2,5,0,3,6,4,1,16,1,2,8,1,1,64,16,1,2,1,2,112,4,1,2,2,7,112,2,4,7,2,1,3,1,1,1,3,1,7,1,7,1,1,1,7,1,1,1,7,1,88445952,True,62445
0,1,1,1,0,1,6,2,3,4,5,0,2,5,0,3,6,4,1,16,8,1,1,1,2,64,16,1,2,1,2,112,4,1,14,1,2,112,16,1,7,1,1,3,1,1,1,1,3,7,1,7,1,1,1,7,1,1,1,7,1,42567680,True,64678
0,1,0,1,0,0,4,3,5,6,2,1,1,6,4,5,2,3,0,16,2,8,1,1,1,64,8,1,2,2,2,112,2,1,4,14,1,112,4,2,2,1,7,3,1,1,1,1,3,7,1,1,1,7,1,7,1,7,1,1,1,84520960,True,67655
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,1,4,4,64,1,2,16,1,2,112,2,4,7,1,2,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,7,1,15049728,True,69778
1,0,1,0,0,0,2,5,6,3,4,1,1,6,2,5,0,3,4,16,2,1,8,1,1,64,4,4,4,1,1,112,7,1,8,1,2,112,28,2,1,2,1,3,1,1,1,3,1,7,1,1,1,7,1,7,1,1,1,7,1,129032200,True,72735
0,0,0,1,0,2,0,4,3,1,5,6,5,4,0,1,6,3,2,16,1,2,2,4,1,64,2,1,4,8,1,112,1,1,4,2,14,112,1,2,8,1,7,3,1,1,1,1,3,7,1,1,1,1,7,7,1,1,1,7,1,1487432704,True,86699
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,1,8,2,64,1,2,16,1,2,112,2,4,7,1,2,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,7,1,22297600,True,88531
0,0,1,0,1,5,6,0,4,2,1,3,5,1,3,0,6,2,4,16,1,1,1,4,4,64,1,2,16,1,2,112,2,4,7,1,2,112,14,1,2,2,2,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,7,1,24582144,True,90733
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,1,16,1,64,1,2,16,2,1,112,2,4,7,1,2,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,7,1,5610496,True,92734
0,0,1,0,1,5,6,0,1,3,2,4,5,4,2,0,6,1,3,16,1,1,1,4,4,64,1,4,8,1,2,112,2,4,7,1,2,112,14,1,1,8,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,7,1,22221824,True,94688
0,0,1,0,1,5,6,1,0,3,2,4,6,4,2,0,5,1,3,16,1,1,1,16,1,64,1,2,16,2,1,112,2,7,4,1,2,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,7,1,5256192,True,96744
0,0,1,1,1,5,6,0,1,3,2,4,6,4,3,0,5,1,2,16,1,1,1,16,1,64,1,2,16,2,1,112,2,2,14,1,2,112,56,1,1,2,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,7,1,5779456,True,98381
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,1,16,1,64,1,2,16,2,1,112,2,2,14,1,2,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,7,1,5138432,True,100419
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,1,16,1,64,1,2,16,2,1,112,2,4,7,1,2,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,7,1,5605376,True,102304
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,1,16,1,64,1,2,16,2,1,112,4,2,7,1,2,112,14,2,2,2,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,4606976,True,104452
0,0,1,0,1,4,6,0,1,3,2,5,6,4,2,0,5,1,3,16,1,1,1,16,1,64,1,2,8,4,1,112,2,2,14,1,2,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,7,1,6906880,True,106623
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,1,16,1,64,1,2,16,2,1,112,2,2,14,1,2,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,7,1,5146624,True,108522
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,1,16,1,64,1,2,16,2,1,112,2,2,14,1,2,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,7,1,5137408,True,110382
0,0,1,0,1,5,4,0,1,3,2,6,4,5,2,0,6,3,1,16,1,2,1,8,1,64,1,2,16,2,1,112,4,7,1,1,4,112,14,2,2,2,1,3,1,1,1,1,3,7,1,1,1,1,7,7,1,7,1,1,1,8851456,True,112568
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,2,8,1,64,1,2,16,2,1,112,4,2,7,2,1,112,14,2,2,2,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,3832832,True,114514
0,0,1,0,1,5,6,2,3,1,0,4,6,4,2,0,5,1,3,16,1,1,1,16,1,64,1,1,32,2,1,112,4,2,7,1,2,112,1,2,4,14,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,28658688,True,116385
0,0,0,0,1,5,6,0,4,2,1,3,6,4,2,0,5,1,3,16,1,1,1,16,1,64,1,2,16,1,2,112,4,2,7,1,2,112,14,2,2,2,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,5839872,True,118267
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,2,8,1,64,1,2,16,2,1,112,4,2,7,2,1,112,14,2,1,4,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,4724736,True,120248
0,0,1,0,1,4,6,0,2,3,1,5,6,4,2,0,5,1,3,16,1,1,2,8,1,64,1,2,16,2,1,112,4,2,7,2,1,112,8,1,2,7,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,4107264,True,122424
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,2,8,1,64,1,2,16,2,1,112,4,2,7,2,1,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,3101696,True,124598
0,0,1,0,1,5,4,0,1,6,2,3,6,4,2,0,5,1,3,16,1,1,2,8,1,64,1,2,16,2,1,112,7,2,4,2,1,112,8,1,2,7,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,1,7,3567616,True,126930
0,0,1,0,1,5,6,0,1,2,3,4,6,4,2,0,5,1,3,16,1,1,2,8,1,64,1,2,16,2,1,112,4,1,14,2,1,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,2709504,True,128831
0,0,1,0,1,1,6,0,2,3,4,5,6,4,2,0,5,1,3,16,1,1,2,8,1,64,1,2,16,2,1,112,4,2,7,2,1,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,3092480,True,130445
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,2,8,1,64,1,8,8,1,1,112,4,2,7,2,1,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,7,1,1,1,2519040,True,132182
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,3,1,16,1,1,2,8,1,64,1,2,16,2,1,112,4,1,14,2,1,112,14,1,2,2,2,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,2903040,True,133967
0,0,1,0,0,3,6,0,1,4,2,5,6,4,2,0,5,1,3,16,1,1,2,8,1,64,1,8,2,4,1,112,4,2,7,2,1,112,14,1,2,4,1,3,1,1,1,1,3,7,1,1,1,7,1,7,1,7,1,1,1,30082048,True,136250
0,0,1,0,0,5,6,1,0,4,2,3,6,4,2,0,5,1,3,16,1,1,2,1,8,64,1,8,8,1,1,112,4,2,7,2,1,112,14,1,2,4,1,3,1,1,1,1,3,7,1,1,1,7,1,7,1,1,1,1,7,78633984,True,139189
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,2,8,1,64,1,8,8,1,1,112,7,2,4,2,1,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,7,1,1,1,2006016,True,141191
0,0,1,0,1,5,6,0,1,2,3,4,6,0,3,1,5,2,4,16,1,1,2,8,1,64,1,8,8,1,1,112,1,7,8,2,1,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,7,1,1,1,9970688,True,142971
0,0,1,0,1,5,6,0,1,3,2,4,6,4,2,0,5,1,3,16,1,1,2,8,1,64,8,4,2,1,1,112,7,4,4,1,1,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,7,1,1,1,1651712,True,144856
0,0,1,0,1,5,6,0,1,3,2,4,6,2,1,0,5,3,4,16,1,1,2,8,1,64,1,1,32,2,1,112,7,2,4,2,1,112,14,1,2,4,1,3,1,1,1,1,3,7,1,1,1,7,1,7,1,7,1,1,1,4557824,True,146711
0,0,1,0,1,5,6,0,1,3,2,4,6,1,3,0,5,2,4,16,1,1,2,8,1,64,1,8,8,1,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,1,1,1,7,1475584,True,148973
0,1,1,1,1,1,6,0,2,3,4,5,6,4,2,0,5,1,3,16,1,1,2,8,1,64,1,2,16,2,1,112,7,2,4,2,1,112,14,1,2,4,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,7,1,1,1,2428928,True,150966
0,0,1,1,1,5,6,0,1,3,2,4,6,1,3,0,4,2,5,16,1,1,2,8,1,64,1,8,8,1,1,112,7,4,4,1,1,112,14,1,4,2,1,3,1,1,1,1,3,7,1,1,1,7,1,7,1,7,1,1,1,2112512,True,153037
0,0,1,0,1,5,6,0,1,3,2,4,6,1,3,0,5,2,4,16,1,1,2,8,1,64,1,8,8,1,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,1,1,1,7,1474560,True,155195
0,0,1,0,1,5,6,0,1,3,2,4,3,1,4,0,6,2,5,16,1,1,2,8,1,64,1,8,8,1,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,1,1,1,7,1469440,True,157687
0,0,1,0,1,5,6,0,1,3,2,4,6,1,2,0,5,4,3,16,2,1,2,1,4,64,1,8,8,1,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,1101824,True,159757
0,0,1,0,1,5,6,0,1,3,2,4,6,1,2,0,5,4,3,16,2,1,2,1,4,64,1,8,8,1,1,112,2,2,14,2,1,112,14,1,1,8,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,2297856,True,161674
0,0,1,0,1,5,6,0,1,3,2,4,6,1,2,4,5,3,0,16,2,1,2,1,4,64,1,8,1,8,1,112,7,2,8,1,1,112,14,2,2,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,9172992,True,163525
0,1,1,0,1,5,6,0,1,3,2,4,6,0,2,1,5,4,3,16,2,1,2,1,4,64,1,8,8,1,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,1090560,True,165237
0,0,0,1,1,5,6,0,1,3,2,4,6,1,2,0,5,4,3,16,2,1,2,1,4,64,1,8,8,1,1,112,2,14,2,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,3063808,True,166999
0,1,1,0,1,5,6,0,1,3,2,4,6,0,2,1,5,4,3,16,2,1,2,1,4,64,1,8,1,8,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,6492160,True,168931
0,0,0,0,1,5,6,0,1,3,2,4,6,0,2,5,4,3,1,16,2,8,1,1,1,64,1,16,4,1,1,112,7,2,1,4,2,112,14,1,4,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,6083584,True,170691
0,1,1,0,1,5,6,0,1,3,2,4,6,0,2,1,5,4,3,16,1,1,2,1,8,64,1,8,8,1,1,112,7,2,4,2,1,112,14,2,2,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,7,1,3079168,True,172198
0,1,1,0,1,5,6,0,4,2,1,3,6,0,2,1,5,4,3,16,2,1,2,4,1,64,1,1,1,64,1,112,1,1,16,7,1,112,14,1,4,1,2,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,20128768,True,174053
0,1,0,0,0,5,6,0,2,3,1,4,6,0,2,1,5,4,3,16,8,1,1,1,2,64,1,8,8,1,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,23123968,True,175833
0,1,1,0,1,5,2,0,1,4,3,6,6,0,2,1,5,4,3,16,2,1,2,4,1,64,1,16,4,1,1,112,7,1,8,2,1,112,4,1,7,4,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,1873920,True,177528
0,1,1,0,1,5,6,0,1,3,2,4,6,0,2,1,5,4,3,16,2,1,2,1,4,64,1,8,8,1,1,112,7,1,8,2,1,112,14,2,2,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,1458176,True,179205
0,1,1,0,1,5,6,0,1,3,2,4,6,0,2,1,4,3,5,16,2,1,2,1,4,64,1,8,8,1,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,1091584,True,180893
0,1,1,0,1,5,6,0,1,3,2,4,6,0,1,2,5,4,3,16,2,1,1,1,8,64,1,8,8,1,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,3799040,True,182806
0,1,1,0,1,5,4,0,1,3,2,6,6,0,1,2,5,4,3,16,2,1,2,1,4,64,1,8,8,1,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,2083839,True,184530
0,1,1,1,1,5,6,0,1,3,2,4,6,0,3,1,5,4,2,16,2,1,2,1,4,64,1,8,8,1,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,1091584,True,186284
0,1,1,1,1,5,6,0,1,4,2,3,6,0,2,1,5,4,3,16,2,1,2,1,4,64,1,16,4,1,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,953344,True,188182
0,1,1,1,1,5,6,0,1,4,2,3,6,0,2,1,5,4,3,16,2,1,2,1,4,64,1,16,4,1,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,955392,True,190136
0,1,1,0,1,5,6,0,1,4,2,3,6,0,2,3,5,4,1,16,2,1,2,1,4,64,1,8,8,1,1,112,7,2,4,2,1,112,14,1,4,2,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,2085887,True,191961
0,1,1,1,1,5,6,0,1,3,2,4,6,0,2,1,5,4,3,16,2,1,2,1,4,64,1,16,4,1,1,112,7,2,4,2,1,112,7,1,2,8,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,2608128,True,194008
