IMAGES_CACHE_LCL,IMAGES_CACHE_PRV,FILTER_CACHE_LCL,FILTER_CACHE_PRV,OUT_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WG_4_OCL_DIM,WG_5_OCL_DIM,WG_6_OCL_DIM,WG_7_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,WI_4_OCL_DIM,WI_5_OCL_DIM,WI_6_OCL_DIM,WI_7_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,INPUT_SIZE_4,WG_4,GLB_4,WI_4,LCL_4,PRV_4,INPUT_SIZE_5,WG_5,GLB_5,WI_5,LCL_5,PRV_5,INPUT_SIZE_6,WG_6,GLB_6,WI_6,LCL_6,PRV_6,INPUT_SIZE_7,WG_7,GLB_7,WI_7,LCL_7,PRV_7,runtime,Valid,timestamp
0,0,0,0,0,4,2,5,0,3,1,6,4,1,5,0,2,6,3,16,2,8,1,1,1,64,64,1,1,1,1,112,112,1,1,1,1,112,112,1,1,1,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,35574784,True,2118
1,0,0,1,1,5,1,2,4,6,0,3,2,5,4,6,0,1,3,16,16,1,1,1,1,64,64,1,1,1,1,112,14,1,8,1,1,112,112,1,1,1,1,3,1,1,1,3,1,7,1,1,1,1,7,7,1,7,1,1,1,168407040,True,5459
1,1,0,1,0,3,0,2,4,6,1,5,6,2,1,0,4,5,3,16,1,2,2,2,2,64,16,1,1,1,4,112,7,16,1,1,1,112,112,1,1,1,1,3,1,1,1,3,1,7,1,1,1,7,1,7,1,1,1,7,1,263334896,True,9417
0,0,0,1,0,3,2,5,0,4,6,1,6,0,4,1,2,5,3,16,16,1,1,1,1,64,4,8,2,1,1,112,56,2,1,1,1,112,14,2,1,1,4,3,1,1,1,3,1,7,1,7,1,1,1,7,1,7,1,1,1,15869952,True,11325
0,0,1,1,1,6,3,0,1,4,5,2,0,2,4,6,1,3,5,16,4,1,2,2,1,64,2,32,1,1,1,112,1,16,1,7,1,112,7,4,1,2,2,3,1,3,1,1,1,7,1,1,1,7,1,7,1,1,1,7,1,231045120,True,15104
0,1,1,0,1,0,1,6,4,3,2,5,6,5,3,0,1,4,2,16,8,1,2,1,1,64,2,1,32,1,1,112,2,8,7,1,1,112,1,112,1,1,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,7,1,1,1,12413952,True,16697
1,0,0,1,0,1,3,6,4,0,2,5,1,5,2,3,6,4,0,16,2,2,1,2,2,64,16,1,1,1,4,112,8,14,1,1,1,112,28,4,1,1,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,1,7,1436387328,True,29699
1,0,1,0,1,1,5,4,6,3,2,0,2,4,5,1,6,0,3,16,16,1,1,1,1,64,32,2,1,1,1,112,16,1,1,1,7,112,56,1,2,1,1,3,1,1,1,1,3,7,1,7,1,1,1,7,1,7,1,1,1,41768960,True,31675
0,1,1,0,0,1,4,3,0,2,5,6,0,4,6,3,2,1,5,16,16,1,1,1,1,64,1,64,1,1,1,112,7,1,2,1,8,112,1,2,4,7,2,3,1,1,1,3,1,7,1,7,1,1,1,7,1,7,1,1,1,106255360,True,34363
0,1,0,0,0,1,6,0,4,2,5,3,6,5,1,0,2,3,4,16,16,1,1,1,1,64,2,2,16,1,1,112,112,1,1,1,1,112,112,1,1,1,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,1,1,1,7,10957824,True,36801
