A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
0,1,0,1,1,1,2,0,0,2,1,1,1,1,1,1,1,1000,25,2,5,1,4,2048,1,1,1,4,512,1678336,True,1620
0,1,0,0,0,2,0,1,2,1,0,1,1,1,1,1,1,1000,2,10,2,5,5,2048,1,16,1,32,4,22231040,True,2666
1,0,1,1,0,0,2,1,1,2,0,1,1,1,1,1,1,1000,1,500,1,2,1,2048,1,64,1,32,1,105259008,True,4728
1,1,0,0,1,0,1,2,1,2,0,1,1,1,1,1,1,1000,2,2,10,25,1,2048,1,1024,1,2,1,4002816,True,5766
0,0,1,0,0,1,2,0,2,1,0,1,1,1,1,1,1,1000,1,50,1,20,1,2048,1,1,1,2,1024,9223372036854775807,False,7019
1,0,1,1,0,2,0,1,1,0,2,1,1,1,1,1,1,1000,2,1,4,25,5,2048,1,8,1,32,8,9223372036854775807,False,8196
0,1,0,1,0,0,1,2,0,2,1,1,1,1,1,1,1,1000,100,1,1,10,1,2048,1,4,1,1,512,2054143,True,9487
0,0,1,1,0,0,1,2,2,0,1,1,1,1,1,1,1,1000,1,250,4,1,1,2048,1,8,1,128,2,43792384,True,10878
1,1,0,1,0,0,2,1,1,0,2,1,1,1,1,1,1,1000,25,1,4,2,5,2048,1,2,1,8,128,1386496,True,12132
1,0,0,1,1,2,0,1,2,1,0,1,1,1,1,1,1,1000,5,25,4,2,1,2048,1,1024,1,2,1,6852608,True,13152
0,1,1,1,1,0,1,2,1,0,2,1,1,1,1,1,1,1000,10,1,10,5,2,2048,1,1,1,512,4,9223372036854775807,False,14135
0,1,0,0,1,1,2,0,1,2,0,1,1,1,1,1,1,1000,5,5,5,1,8,2048,1,1,1,16,128,2778112,True,15454
1,0,1,0,0,2,1,0,1,0,2,1,1,1,1,1,1,1000,5,1,8,5,5,2048,1,4,1,1,512,9223372036854775807,False,16712
0,0,1,1,0,1,2,0,0,2,1,1,1,1,1,1,1,1000,4,25,1,10,1,2048,1,128,1,16,1,60492800,True,18097
0,1,0,1,1,2,1,0,1,0,2,1,1,1,1,1,1,1000,5,2,2,50,1,2048,1,128,1,2,8,7541760,True,19140
