A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
0,1,0,1,0,0,1,2,1,0,2,1,1,1,1,1,1,1000,1,250,1,2,2,2048,1,1,1,256,8,35054592,True,1085
0,0,1,0,1,1,0,2,0,1,2,1,1,1,1,1,1,1000,2,1,4,1,125,2048,1,8,1,256,1,9223372036854775807,False,1888
1,0,1,1,0,0,2,1,0,1,2,1,1,1,1,1,1,1000,5,5,2,2,10,2048,1,2,1,8,128,9223372036854775807,False,2941
1,0,0,1,1,1,0,2,0,1,2,1,1,1,1,1,1,1000,2,1,5,50,2,2048,1,8,1,8,32,4959232,True,3722
1,0,0,1,1,1,0,2,0,1,2,1,1,1,1,1,1,1000,2,1,5,50,2,2048,1,8,1,8,32,4955136,True,4567
1,0,0,0,1,1,0,2,0,1,2,1,1,1,1,1,1,1000,2,1,5,50,2,2048,1,8,1,8,32,4957184,True,5466
1,0,0,1,1,1,0,2,0,1,2,1,1,1,1,1,1,1000,2,1,5,50,2,2048,1,8,1,8,32,4953088,True,6399
1,0,0,1,1,1,0,2,0,1,2,1,1,1,1,1,1,1000,2,1,5,50,2,2048,1,8,1,8,32,4957184,True,7194
1,1,1,0,0,1,2,0,0,2,1,1,1,1,1,1,1,1000,25,5,8,1,1,2048,1,16,1,32,4,631808,True,8128
1,0,0,1,1,0,2,1,1,0,2,1,1,1,1,1,1,1000,1,4,125,1,2,2048,1,32,1,64,1,412672,True,9057
1,0,0,0,1,1,2,0,2,0,1,1,1,1,1,1,1,1000,1,25,1,20,2,2048,1,8,1,2,128,27674624,True,11012
0,1,1,1,1,0,1,2,2,0,1,1,1,1,1,1,1,1000,250,2,1,1,2,2048,1,128,1,16,1,795648,True,11823
1,0,0,1,1,0,2,1,1,0,2,1,1,1,1,1,1,1000,1,4,125,1,2,2048,1,256,1,8,1,744448,True,12745
1,0,0,0,1,0,2,1,1,0,2,1,1,1,1,1,1,1000,1,4,125,1,2,2048,1,32,1,64,1,411648,True,13723
1,0,0,1,1,0,2,1,1,0,2,1,1,1,1,1,1,1000,1,4,25,1,10,2048,1,32,1,32,2,1721344,True,14532
1,0,0,1,1,0,2,1,1,0,2,1,1,1,1,1,1,1000,1,4,125,1,2,2048,1,32,1,64,1,410624,True,15505
1,0,0,1,1,0,2,1,0,1,2,1,1,1,1,1,1,1000,1,4,125,1,2,2048,1,32,1,64,1,410624,True,16184
1,1,0,1,1,0,2,1,1,0,2,1,1,1,1,1,1,1000,1,2,125,1,4,2048,1,32,1,64,1,413696,True,17016
1,0,0,1,1,0,2,1,1,0,2,1,1,1,1,1,1,1000,1,4,125,1,2,2048,1,32,1,64,1,413696,True,17660
1,0,0,1,1,0,2,1,1,0,2,1,1,1,1,1,1,1000,1,2,125,1,4,2048,1,32,1,64,1,413696,True,18536
1,0,1,0,0,2,1,0,2,1,0,1,1,1,1,1,1,1000,1,1,2,125,4,2048,1,1,1,8,256,9223372036854775807,False,19588
1,1,0,0,0,2,1,0,2,1,0,1,1,1,1,1,1,1000,2,10,2,1,25,2048,1,2,1,256,4,9403392,True,20570
1,1,0,1,0,1,0,2,0,1,2,1,1,1,1,1,1,1000,250,1,1,1,4,2048,1,64,1,32,1,202752,True,21604
1,1,0,1,1,2,0,1,1,2,0,1,1,1,1,1,1,1000,25,8,5,1,1,2048,1,1,1,64,32,733184,True,22327
1,1,0,1,0,1,0,2,0,1,2,1,1,1,1,1,1,1000,250,1,1,1,4,2048,1,64,1,32,1,198656,True,23062
1,1,0,1,0,1,0,2,0,1,2,1,1,1,1,1,1,1000,250,1,2,1,2,2048,1,64,1,32,1,92160,True,23946
