A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
0,1,1,0,1,0,2,1,0,1,2,1,1,1,1,1,1,1000,1,25,4,1,10,2048,1,16,1,2,64,18222080,True,2012
0,1,1,0,0,0,2,1,1,2,0,1,1,1,1,1,1,1000,1,5,100,1,2,2048,1,128,1,4,4,562176,True,3026
0,1,0,1,0,1,0,2,2,0,1,1,1,1,1,1,1,1000,2,1,25,1,20,2048,1,8,1,256,1,896000,True,3923
1,1,0,0,0,0,1,2,2,1,0,1,1,1,1,1,1,1000,1,1,10,50,2,2048,1,128,1,4,4,4100096,True,4941
0,1,0,1,0,1,0,2,1,2,0,1,1,1,1,1,1,1000,5,8,25,1,1,2048,1,2,1,32,32,1234944,True,5832
1,0,1,0,0,0,2,1,1,0,2,1,1,1,1,1,1,1000,5,25,2,2,2,2048,1,16,1,2,64,11631616,True,6927
0,1,0,0,1,1,2,0,2,1,0,1,1,1,1,1,1,1000,25,1,1,4,10,2048,1,2,1,1,1024,1338368,True,8161
0,0,1,0,1,1,2,0,0,1,2,1,1,1,1,1,1,1000,2,1,4,25,5,2048,1,256,1,2,4,10007552,True,9439
0,1,1,1,0,0,1,2,0,1,2,1,1,1,1,1,1,1000,25,10,1,4,1,2048,1,16,1,4,32,1374208,True,10211
1,1,0,1,0,1,2,0,0,2,1,1,1,1,1,1,1,1000,2,50,5,1,2,2048,1,2,1,4,256,7481344,True,11440
