A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
1,0,0,1,1,2,1,0,2,1,0,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,16,1,2,64,140288,True,1833
0,0,1,0,1,2,1,0,1,2,0,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,2048,1,1,1,234496,True,2624
0,1,1,1,0,2,0,1,2,1,0,1,1,1,1,1,1,1000,5,4,1,5,10,2048,1,32,1,16,4,16809984,True,4393
1,1,0,0,0,1,0,2,0,2,1,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,16,1,1,128,319488,True,5323
0,0,0,1,1,0,1,2,2,1,0,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,64,1,8,4,60416,True,6110
1,0,0,0,1,2,0,1,1,2,0,1,1,1,1,1,1,1000,500,1,1,1,2,2048,1,2048,1,1,1,147456,True,7138
1,0,1,0,0,2,1,0,0,2,1,1,1,1,1,1,1,1000,125,2,1,1,4,2048,1,256,1,4,2,286720,True,9987
0,0,0,1,1,2,0,1,0,2,1,1,1,1,1,1,1,1000,2,25,2,1,10,2048,1,512,1,1,4,8058880,True,10977
1,1,1,0,1,0,1,2,0,1,2,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,256,1,2,4,142336,True,11901
1,0,0,0,0,0,2,1,2,0,1,1,1,1,1,1,1,1000,2,500,1,1,1,2048,1,32,1,64,1,54983680,True,13466
1,0,0,0,1,0,2,1,0,2,1,1,1,1,1,1,1,1000,200,1,1,1,5,2048,1,16,1,128,1,237568,True,14544
0,0,0,1,1,2,1,0,2,1,0,1,1,1,1,1,1,1000,8,125,1,1,1,2048,1,64,1,32,1,7284736,True,15671
1,1,1,1,0,2,0,1,1,0,2,1,1,1,1,1,1,1000,25,2,2,10,1,2048,1,2,1,16,64,9223372036854775807,False,16764
1,1,0,1,0,1,0,2,0,1,2,1,1,1,1,1,1,1000,125,4,2,1,1,2048,1,1024,1,1,2,471040,True,17750
1,1,1,0,0,1,2,0,1,2,0,1,1,1,1,1,1,1000,10,2,5,1,10,2048,1,2,1,16,64,9223372036854775807,False,18640
0,1,1,0,1,2,1,0,1,2,0,1,1,1,1,1,1,1000,20,2,5,1,5,2048,1,4,1,8,64,9223372036854775807,False,19640
1,1,0,1,1,2,1,0,2,1,0,1,1,1,1,1,1,1000,250,2,1,2,1,2048,1,8,1,2,128,503808,True,20823
0,1,1,0,0,2,1,0,1,0,2,1,1,1,1,1,1,1000,200,1,5,1,1,2048,1,32,1,4,16,181248,True,21788
1,1,1,1,0,0,2,1,1,0,2,1,1,1,1,1,1,1000,8,125,1,1,1,2048,1,128,1,16,1,12028928,True,22685
1,1,0,0,0,2,0,1,2,0,1,1,1,1,1,1,1,1000,8,5,25,1,1,2048,1,256,1,2,4,533504,True,23597
0,0,0,1,1,2,0,1,2,0,1,1,1,1,1,1,1,1000,40,25,1,1,1,2048,1,1,1,512,4,1161216,True,24538
1,1,1,0,0,1,2,0,1,0,2,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,32,1,64,1,134144,True,25424
1,0,0,1,0,0,1,2,2,0,1,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,64,1,8,4,141312,True,26593
1,1,0,0,1,0,1,2,0,2,1,1,1,1,1,1,1,1000,250,4,1,1,1,2048,1,256,1,1,8,291840,True,28022
0,0,1,1,0,1,0,2,0,2,1,1,1,1,1,1,1,1000,20,25,1,1,2,2048,1,128,1,4,4,9805824,True,29257
0,1,1,0,1,0,1,2,2,1,0,1,1,1,1,1,1,1000,8,25,5,1,1,2048,1,16,1,8,16,4484096,True,30577
1,1,0,1,0,0,2,1,0,1,2,1,1,1,1,1,1,1000,200,5,1,1,1,2048,1,1024,1,1,2,384000,True,31630
0,0,0,1,1,2,1,0,1,2,0,1,1,1,1,1,1,1000,500,2,1,1,1,2048,1,2,1,256,4,151552,True,32764
1,0,0,1,1,1,0,2,0,2,1,1,1,1,1,1,1,1000,250,4,1,1,1,2048,1,8,1,2,128,221184,True,34081
1,0,0,1,1,0,1,2,2,1,0,1,1,1,1,1,1,1000,40,5,5,1,1,2048,1,256,1,4,2,504832,True,34959
1,0,0,1,1,1,2,0,1,0,2,1,1,1,1,1,1,1000,100,1,1,10,1,2048,1,1,1,1,2048,1610752,True,36102
0,0,1,0,0,1,0,2,0,2,1,1,1,1,1,1,1,1000,100,2,1,1,5,2048,1,2048,1,1,1,953344,True,37036
1,1,0,0,0,1,2,0,2,1,0,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,128,1,1,16,91136,True,38423
0,0,1,0,1,0,1,2,0,2,1,1,1,1,1,1,1,1000,25,1,5,4,2,2048,1,2048,1,1,1,450560,True,39378
0,0,1,1,0,1,0,2,1,0,2,1,1,1,1,1,1,1000,4,1,2,25,5,2048,1,2,1,8,128,9223372036854775807,False,40393
0,1,1,1,0,2,0,1,1,2,0,1,1,1,1,1,1,1000,20,2,5,1,5,2048,1,64,1,32,1,3437568,True,41376
0,1,1,0,0,1,0,2,0,1,2,1,1,1,1,1,1,1000,40,1,25,1,1,2048,1,256,1,2,4,90112,True,42070
1,0,1,0,0,0,2,1,1,0,2,1,1,1,1,1,1,1000,25,10,2,1,2,2048,1,8,1,64,4,1412096,True,43018
1,1,1,0,1,1,0,2,1,2,0,1,1,1,1,1,1,1000,2,250,2,1,1,2048,1,2,1,16,64,17165312,True,44809
0,1,0,0,1,0,2,1,2,1,0,1,1,1,1,1,1,1000,100,10,1,1,1,2048,1,512,1,2,2,466944,True,45995
1,1,1,1,1,0,2,1,1,2,0,1,1,1,1,1,1,1000,250,1,1,4,1,2048,1,2048,1,1,1,9223372036854775807,False,52692
0,1,1,1,1,2,0,1,1,2,0,1,1,1,1,1,1,1000,10,1,25,2,2,2048,1,2,1,1024,1,9223372036854775807,False,53753
0,0,1,0,0,0,1,2,0,1,2,1,1,1,1,1,1,1000,10,25,2,1,2,2048,1,64,1,4,8,2529280,True,54655
0,1,1,1,0,0,1,2,2,0,1,1,1,1,1,1,1,1000,250,2,1,2,1,2048,1,128,1,4,4,470016,True,55716
0,0,1,0,1,0,2,1,1,0,2,1,1,1,1,1,1,1000,8,125,1,1,1,2048,1,4,1,64,8,12224512,True,56913
0,1,1,1,1,0,2,1,1,0,2,1,1,1,1,1,1,1000,25,40,1,1,1,2048,1,2,1,128,8,4165631,True,58186
1,1,0,1,0,0,2,1,2,1,0,1,1,1,1,1,1,1000,500,2,1,1,1,2048,1,16,1,1,128,466944,True,59425
1,1,0,1,0,2,0,1,2,1,0,1,1,1,1,1,1,1000,5,2,100,1,1,2048,1,512,1,4,1,138240,True,60475
0,0,1,1,0,1,2,0,1,0,2,1,1,1,1,1,1,1000,1,40,1,25,1,2048,1,4,1,32,16,9223372036854775807,False,61424
0,1,0,1,1,1,0,2,2,0,1,1,1,1,1,1,1,1000,8,5,1,5,5,2048,1,2048,1,1,1,5445632,True,62421
1,1,1,1,1,1,0,2,2,0,1,1,1,1,1,1,1,1000,4,125,1,2,1,2048,1,16,1,64,2,19264512,True,63540
1,1,0,1,1,2,0,1,0,2,1,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,8,1,8,32,63488,True,64555
1,0,0,0,1,0,2,1,2,0,1,1,1,1,1,1,1,1000,500,1,2,1,1,2048,1,4,1,32,16,63488,True,65656
1,0,1,1,1,0,1,2,2,0,1,1,1,1,1,1,1,1000,250,4,1,1,1,2048,1,2048,1,1,1,652288,True,66477
0,0,1,0,0,2,1,0,0,2,1,1,1,1,1,1,1,1000,20,1,25,2,1,2048,1,512,1,2,2,120832,True,68168
0,0,0,1,1,1,2,0,0,2,1,1,1,1,1,1,1,1000,250,2,1,2,1,2048,1,8,1,2,128,67584,True,69586
0,1,1,0,1,2,1,0,1,2,0,1,1,1,1,1,1,1000,5,40,5,1,1,2048,1,4,1,32,16,7060480,True,70521
0,1,1,0,1,2,1,0,0,2,1,1,1,1,1,1,1,1000,100,1,10,1,1,2048,1,2048,1,1,1,149504,True,71435
1,0,1,0,1,2,1,0,1,2,0,1,1,1,1,1,1,1000,10,1,4,25,1,2048,1,256,1,4,2,1534976,True,72388
1,1,1,1,0,1,2,0,0,1,2,1,1,1,1,1,1,1000,250,4,1,1,1,2048,1,256,1,1,8,437248,True,73430
1,1,0,1,1,2,1,0,1,2,0,1,1,1,1,1,1,1000,200,5,1,1,1,2048,1,4,1,32,16,320512,True,74383
1,0,0,0,1,2,0,1,1,2,0,1,1,1,1,1,1,1000,5,5,8,5,1,2048,1,2,1,128,8,1299456,True,75327
0,1,1,0,1,1,0,2,1,2,0,1,1,1,1,1,1,1000,20,1,25,1,2,2048,1,128,1,8,2,131072,True,76272
0,0,1,1,1,0,1,2,0,1,2,1,1,1,1,1,1,1000,500,2,1,1,1,2048,1,512,1,1,4,178176,True,77271
1,1,1,1,1,0,2,1,1,0,2,1,1,1,1,1,1,1000,100,2,5,1,1,2048,1,512,1,1,4,282624,True,78302
1,0,0,1,0,1,0,2,0,1,2,1,1,1,1,1,1,1000,125,1,4,2,1,2048,1,4,1,512,1,116736,True,79355
0,0,0,0,0,0,1,2,0,1,2,1,1,1,1,1,1,1000,20,2,1,5,5,2048,1,256,1,4,2,2578432,True,80232
1,1,0,0,0,1,0,2,1,2,0,1,1,1,1,1,1,1000,5,2,10,1,10,2048,1,1,1,32,64,801792,True,81498
0,0,0,0,1,2,0,1,0,1,2,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,8,1,8,32,66560,True,82476
