A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
1,1,1,1,0,2,0,1,1,2,0,1,1,1,1,1,1,1000,1,50,20,1,1,2048,1,64,1,4,8,2631680,True,1062
1,0,1,1,0,2,1,0,2,1,0,1,1,1,1,1,1,1000,2,25,4,5,1,2048,1,128,1,2,8,4190208,True,1921
0,0,1,1,1,0,1,2,1,2,0,1,1,1,1,1,1,1000,50,4,1,1,5,2048,1,1,1,1024,2,2473984,True,2563
0,0,1,0,0,1,0,2,2,1,0,1,1,1,1,1,1,1000,2,250,2,1,1,2048,1,32,1,8,8,14667776,True,3370
0,0,1,1,1,0,1,2,1,2,0,1,1,1,1,1,1,1000,25,4,1,1,10,2048,1,1,1,1024,2,9223372036854775807,False,4176
0,0,1,1,1,0,1,2,1,2,0,1,1,1,1,1,1,1000,50,2,1,2,5,2048,1,1,1,1024,2,9223372036854775807,False,5024
1,1,0,0,1,0,2,1,0,1,2,1,1,1,1,1,1,1000,125,1,4,2,1,2048,1,4,1,4,128,165888,True,6096
0,0,1,1,1,0,1,2,1,2,0,1,1,1,1,1,1,1000,50,4,1,1,5,2048,1,1,1,1024,2,2473984,True,6744
1,1,0,0,1,2,0,1,1,2,0,1,1,1,1,1,1,1000,10,2,50,1,1,2048,1,4,1,2,256,218112,True,7714
0,0,0,0,0,1,2,0,2,0,1,1,1,1,1,1,1,1000,1,500,2,1,1,2048,1,1,1,2048,1,31426560,True,9039
