A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
1,0,0,0,1,2,1,0,1,0,2,16,2,8,1,1,1,1000,500,1,2,1,1,2048,1,2,1,64,16,571392,True,1279
1,0,1,0,1,2,1,0,0,1,2,16,8,1,1,1,2,1000,25,20,1,1,2,2048,1,1,1,8,256,2601984,True,2160
0,0,0,0,1,2,1,0,1,2,0,16,4,4,1,1,1,1000,8,25,5,1,1,2048,1,4,1,2,256,24602624,True,3183
1,0,0,0,1,0,2,1,1,2,0,16,8,1,1,2,1,1000,10,5,2,1,10,2048,1,1,1,16,128,3874816,True,4287
1,0,0,0,0,2,1,0,1,2,0,16,16,1,1,1,1,1000,1000,1,1,1,1,2048,1,2048,1,1,1,3347456,True,5136
1,1,1,1,0,2,1,0,0,1,2,16,1,16,1,1,1,1000,25,1,10,1,4,2048,1,8,1,1,256,7516160,True,5889
1,0,0,1,0,0,2,1,2,0,1,16,2,4,1,2,1,1000,20,1,1,5,10,2048,1,256,1,2,4,9717760,True,6653
1,1,1,1,0,2,1,0,0,1,2,16,16,1,1,1,1,1000,500,1,1,1,2,2048,1,512,1,4,1,780288,True,7472
1,0,0,0,0,2,0,1,2,0,1,16,16,1,1,1,1,1000,1000,1,1,1,1,2048,1,16,1,32,4,663552,True,8925
1,1,1,1,1,0,2,1,2,0,1,16,1,2,2,2,2,1000,10,4,25,1,1,2048,1,4,1,512,1,9223372036854775807,False,9701
0,1,1,1,1,2,1,0,1,0,2,16,2,8,1,1,1,1000,25,40,1,1,1,2048,1,64,1,1,32,35154944,True,11319
1,1,1,0,0,2,0,1,0,2,1,16,1,8,2,1,1,1000,25,8,5,1,1,2048,1,256,1,4,2,5031936,True,12334
1,1,0,1,1,1,0,2,1,2,0,16,4,2,2,1,1,1000,25,2,20,1,1,2048,1,4,1,16,32,361472,True,13187
0,0,1,0,1,1,2,0,2,0,1,16,4,2,1,1,2,1000,2,125,4,1,1,2048,1,256,1,2,4,21768192,True,14281
1,0,0,1,1,1,0,2,0,1,2,16,8,1,2,1,1,1000,40,5,1,5,1,2048,1,4,1,256,2,2124800,True,15378
0,1,1,1,1,2,0,1,2,1,0,16,1,1,2,4,2,1000,10,4,25,1,1,2048,1,2048,1,1,1,1966080,True,16293
1,1,1,0,0,1,2,0,0,1,2,16,8,2,1,1,1,1000,8,125,1,1,1,2048,1,256,1,8,1,22721536,True,17332
0,0,1,1,0,0,1,2,2,1,0,16,8,2,1,1,1,1000,500,1,2,1,1,2048,1,1024,1,1,2,1007616,True,18240
1,1,1,1,0,0,1,2,0,1,2,16,8,2,1,1,1,1000,25,40,1,1,1,2048,1,8,1,32,8,7830528,True,19337
0,0,0,1,0,1,2,0,0,2,1,16,16,1,1,1,1,1000,200,1,5,1,1,2048,1,4,1,256,2,153600,True,20399
0,0,1,1,1,2,0,1,0,2,1,16,16,1,1,1,1,1000,50,20,1,1,1,2048,1,16,1,16,8,2313216,True,21358
1,0,0,1,0,1,0,2,1,0,2,16,1,4,4,1,1,1000,5,20,5,2,1,2048,1,16,1,1,128,9310208,True,22737
1,0,1,1,1,1,0,2,0,1,2,16,16,1,1,1,1,1000,8,25,1,5,1,2048,1,32,1,32,2,18316288,True,24090
1,0,1,1,0,1,0,2,2,0,1,16,16,1,1,1,1,1000,5,5,8,1,5,2048,1,2,1,8,128,9223372036854775807,False,24827
0,0,1,1,0,2,1,0,1,0,2,16,8,2,1,1,1,1000,4,10,5,1,5,2048,1,16,1,8,16,32731136,True,26157
0,1,0,1,0,0,1,2,2,0,1,16,1,1,2,8,1,1000,8,25,1,5,1,2048,1,512,1,2,2,37879808,True,27135
0,1,1,0,0,0,1,2,0,1,2,16,16,1,1,1,1,1000,200,1,1,5,1,2048,1,4,1,1,512,6333440,True,28243
1,0,0,1,1,0,1,2,1,0,2,16,16,1,1,1,1,1000,200,5,1,1,1,2048,1,2,1,256,4,706560,True,28909
1,1,0,0,0,0,1,2,2,1,0,16,2,1,8,1,1,1000,1000,1,1,1,1,2048,1,64,1,16,2,168960,True,29578
1,0,1,0,1,1,0,2,1,0,2,16,16,1,1,1,1,1000,1,125,4,1,2,2048,1,32,1,1,64,18495488,True,30569
1,1,1,0,1,1,0,2,1,0,2,16,2,8,1,1,1,1000,2,5,2,10,5,2048,1,64,1,32,1,144191488,True,32923
1,0,0,1,1,0,2,1,2,0,1,16,8,2,1,1,1,1000,40,25,1,1,1,2048,1,1024,1,1,2,3656704,True,33745
0,1,1,1,0,0,2,1,1,2,0,16,16,1,1,1,1,1000,100,10,1,1,1,2048,1,256,1,1,8,1297408,True,34493
1,1,1,0,0,2,1,0,1,0,2,16,1,1,1,8,2,1000,200,5,1,1,1,2048,1,32,1,32,2,5889024,True,35150
1,0,0,0,0,1,0,2,1,0,2,16,2,4,1,2,1,1000,2,100,1,5,1,2048,1,8,1,128,2,131672056,True,36917
0,1,1,1,1,0,1,2,2,0,1,16,1,1,16,1,1,1000,50,10,2,1,1,2048,1,16,1,128,1,605184,True,37750
1,1,0,0,0,1,2,0,1,2,0,16,4,2,1,2,1,1000,125,4,1,1,2,2048,1,16,1,128,1,8264704,True,38900
1,0,1,1,1,0,1,2,1,0,2,16,16,1,1,1,1,1000,20,5,5,2,1,2048,1,8,1,8,32,1386496,True,40055
0,1,1,0,1,2,0,1,0,1,2,16,4,1,4,1,1,1000,250,4,1,1,1,2048,1,2048,1,1,1,1183744,True,40891
0,1,0,1,0,0,2,1,2,0,1,16,4,1,1,4,1,1000,250,1,2,2,1,2048,1,16,1,4,32,391168,True,41963
0,1,1,0,1,0,2,1,1,0,2,16,2,1,4,2,1,1000,125,1,1,4,2,2048,1,512,1,2,2,193536,True,42732
1,1,0,1,1,1,2,0,2,0,1,16,1,1,2,4,2,1000,125,1,4,2,1,2048,1,1024,1,1,2,254976,True,43705
0,1,1,0,0,0,1,2,2,1,0,16,4,4,1,1,1,1000,125,8,1,1,1,2048,1,16,1,8,16,4105216,True,44639
1,1,0,0,0,1,0,2,2,0,1,16,1,1,8,2,1,1000,1000,1,1,1,1,2048,1,8,1,16,16,520192,True,45535
0,1,1,0,1,1,2,0,0,2,1,16,4,2,2,1,1,1000,2,125,1,2,2,2048,1,2,1,8,128,46472192,True,47031
0,0,0,1,1,1,0,2,0,1,2,16,1,4,1,1,4,1000,125,2,1,1,4,2048,1,8,1,64,4,2604032,True,47903
1,0,0,0,0,0,1,2,1,2,0,16,8,2,1,1,1,1000,500,1,2,1,1,2048,1,2048,1,1,1,1754112,True,48806
1,1,0,0,1,0,2,1,1,2,0,16,2,1,8,1,1,1000,10,25,4,1,1,2048,1,1,1,1,2048,9223372036854775807,False,49722
1,1,0,0,1,0,2,1,2,0,1,16,4,4,1,1,1,1000,25,4,2,5,1,2048,1,16,1,64,2,4873216,True,50586
0,1,1,0,1,1,0,2,1,0,2,16,2,2,1,1,4,1000,50,20,1,1,1,2048,1,16,1,64,2,11480064,True,51600
0,1,0,1,0,2,1,0,0,2,1,16,8,1,1,2,1,1000,100,1,10,1,1,2048,1,32,1,1,64,80896,True,52564
0,1,0,0,1,0,1,2,1,0,2,16,4,4,1,1,1,1000,20,50,1,1,1,2048,1,64,1,1,32,10312704,True,53704
0,1,1,1,1,1,2,0,2,0,1,16,4,2,1,2,1,1000,200,5,1,1,1,2048,1,2,1,512,2,1372160,True,54727
1,1,0,0,0,2,0,1,0,1,2,16,1,16,1,1,1,1000,50,1,4,5,1,2048,1,16,1,2,64,3838976,True,55900
0,0,1,0,1,2,1,0,1,2,0,16,8,1,1,2,1,1000,20,2,5,5,1,2048,1,256,1,2,4,2190336,True,56762
0,0,1,0,1,2,1,0,2,0,1,16,2,1,8,1,1,1000,10,50,1,1,2,2048,1,32,1,8,8,4105216,True,57536
0,0,0,0,1,2,1,0,2,1,0,16,8,1,1,2,1,1000,200,1,5,1,1,2048,1,2,1,256,4,116736,True,58556
0,1,0,0,1,0,1,2,1,2,0,16,16,1,1,1,1,1000,1,5,50,2,2,2048,1,2048,1,1,1,864256,True,59572
0,0,1,1,1,2,1,0,0,2,1,16,4,4,1,1,1,1000,200,1,5,1,1,2048,1,1024,1,1,2,468992,True,60357
0,1,1,1,0,1,2,0,0,1,2,16,8,1,2,1,1,1000,10,10,1,10,1,2048,1,256,1,2,4,3475456,True,61168
1,0,0,1,0,1,0,2,1,2,0,16,16,1,1,1,1,1000,500,2,1,1,1,2048,1,1,1,1024,2,918528,True,61970
1,1,1,1,0,2,0,1,0,1,2,16,8,2,1,1,1,1000,125,8,1,1,1,2048,1,1024,1,1,2,2751488,True,62628
1,0,0,1,0,2,1,0,0,1,2,16,8,2,1,1,1,1000,1000,1,1,1,1,2048,1,1,1,8,256,5152768,True,63756
0,1,1,0,1,1,0,2,0,1,2,16,4,1,1,2,2,1000,250,2,2,1,1,2048,1,1024,1,1,2,457728,True,64486
1,0,0,1,0,2,0,1,1,2,0,16,1,4,2,1,2,1000,5,20,10,1,1,2048,1,512,1,2,2,23420928,True,65728
0,0,1,0,1,1,2,0,0,1,2,16,1,4,2,2,1,1000,125,8,1,1,1,2048,1,4,1,16,32,2921472,True,66755
0,1,0,1,1,0,1,2,2,0,1,16,16,1,1,1,1,1000,500,2,1,1,1,2048,1,1,1,4,512,7564288,True,68049
0,0,0,1,0,1,2,0,1,2,0,16,8,2,1,1,1,1000,5,8,1,1,25,2048,1,4,1,64,8,16386047,True,69153
1,1,1,1,0,1,2,0,0,2,1,16,1,16,1,1,1,1000,40,1,1,25,1,2048,1,4,1,2,256,9223372036854775807,False,69937
1,1,1,0,0,1,2,0,0,1,2,16,1,1,4,2,2,1000,200,5,1,1,1,2048,1,64,1,2,16,2681856,True,70828
1,0,0,1,0,2,1,0,0,1,2,16,1,1,4,2,2,1000,1,1,1000,1,1,2048,1,32,1,1,64,9223372036854775807,False,71701
0,0,0,0,0,2,1,0,0,1,2,16,2,4,2,1,1,1000,125,8,1,1,1,2048,1,1024,1,1,2,2956288,True,72761
0,1,1,0,0,2,1,0,2,1,0,16,4,1,1,1,4,1000,25,5,1,4,2,2048,1,32,1,64,1,6779904,True,73684
1,0,1,0,0,1,0,2,0,2,1,16,1,4,1,2,2,1000,1000,1,1,1,1,2048,1,512,1,4,1,4476928,True,74715
1,1,0,0,0,2,0,1,1,2,0,16,8,2,1,1,1,1000,10,100,1,1,1,2048,1,256,1,4,2,17090560,True,75711
0,0,1,1,1,2,1,0,1,0,2,16,8,2,1,1,1,1000,10,10,1,1,10,2048,1,256,1,1,8,29288448,True,76644
1,1,1,1,1,0,1,2,0,2,1,16,2,8,1,1,1,1000,8,25,5,1,1,2048,1,256,1,8,1,30278656,True,77510
1,1,1,1,0,1,0,2,0,1,2,16,2,8,1,1,1,1000,40,5,1,5,1,2048,1,8,1,128,2,47807488,True,78942
0,1,1,1,1,1,2,0,1,0,2,16,2,1,2,2,2,1000,5,4,1,50,1,2048,1,256,1,4,2,22055936,True,80100
1,0,0,0,1,1,2,0,0,1,2,16,16,1,1,1,1,1000,2,250,2,1,1,2048,1,128,1,16,1,28046336,True,81446
1,0,0,1,0,1,2,0,1,0,2,16,1,2,2,4,1,1000,500,2,1,1,1,2048,1,128,1,8,2,1955840,True,82205
0,1,0,0,0,2,1,0,0,2,1,16,16,1,1,1,1,1000,4,10,1,5,5,2048,1,1,1,2048,1,12940288,True,82941
1,0,0,1,1,1,2,0,0,1,2,16,16,1,1,1,1,1000,20,5,2,5,1,2048,1,1,1,128,16,1034240,True,83779
0,0,1,1,1,2,0,1,2,1,0,16,4,1,2,1,2,1000,500,2,1,1,1,2048,1,128,1,2,8,382976,True,84393
0,0,0,1,1,1,0,2,1,2,0,16,8,1,2,1,1,1000,20,2,25,1,1,2048,1,1024,1,1,2,122880,True,85211
0,1,1,0,1,0,2,1,1,2,0,16,1,2,2,4,1,1000,2,5,25,4,1,2048,1,2048,1,1,1,5285888,True,85836
0,0,0,1,0,0,2,1,1,2,0,16,8,2,1,1,1,1000,40,5,1,1,5,2048,1,128,1,16,1,2246656,True,86452
1,0,0,1,0,0,1,2,2,0,1,16,2,2,2,2,1,1000,4,25,10,1,1,2048,1,4,1,16,32,1786880,True,87328
0,1,0,1,1,0,1,2,0,1,2,16,2,1,4,2,1,1000,20,5,10,1,1,2048,1,2,1,16,64,890880,True,88319
1,0,0,1,1,1,0,2,1,2,0,16,1,8,1,1,2,1000,10,2,25,2,1,2048,1,16,1,16,8,1728512,True,89419
0,0,1,1,0,2,0,1,2,0,1,16,4,2,2,1,1,1000,20,5,2,1,5,2048,1,32,1,2,32,6206464,True,90413
0,1,1,1,0,1,2,0,1,2,0,16,8,1,2,1,1,1000,500,2,1,1,1,2048,1,128,1,16,1,504832,True,91421
0,0,1,0,0,2,0,1,0,2,1,16,1,2,1,1,8,1000,20,25,2,1,1,2048,1,1024,1,1,2,26037248,True,92587
0,1,0,0,1,1,2,0,2,0,1,16,4,1,1,4,1,1000,20,5,2,1,5,2048,1,16,1,32,4,1562624,True,93555
0,1,1,1,0,0,2,1,1,2,0,16,2,2,1,1,4,1000,40,5,1,5,1,2048,1,1024,1,1,2,12324864,True,94257
0,0,0,0,1,0,2,1,2,1,0,16,1,8,1,1,2,1000,250,2,2,1,1,2048,1,1,1,1,2048,2671616,True,95061
0,1,1,0,0,0,2,1,2,0,1,16,2,1,8,1,1,1000,25,10,2,1,2,2048,1,512,1,4,1,1130496,True,95766
0,0,0,1,0,0,2,1,0,2,1,16,4,1,1,2,2,1000,8,5,1,1,25,2048,1,4,1,16,32,24544256,True,96651
1,1,1,1,1,0,1,2,2,1,0,16,8,1,2,1,1,1000,200,5,1,1,1,2048,1,8,1,8,32,666624,True,97385
0,1,0,0,1,0,1,2,2,1,0,16,1,8,1,2,1,1000,250,2,1,2,1,2048,1,256,1,4,2,1864704,True,97988
0,1,0,0,1,0,1,2,1,0,2,16,2,1,2,2,2,1000,5,200,1,1,1,2048,1,256,1,8,1,44417024,True,99085
1,0,0,1,1,0,1,2,0,2,1,16,4,2,2,1,1,1000,25,4,1,1,10,2048,1,128,1,8,2,3961856,True,99964
0,0,0,1,0,2,0,1,0,2,1,16,2,1,4,2,1,1000,20,25,1,2,1,2048,1,32,1,64,1,10891264,True,100737
0,0,1,1,0,0,1,2,2,0,1,16,2,8,1,1,1,1000,25,4,1,1,10,2048,1,1,1,2048,1,9223372036854775807,False,101909
0,0,0,1,0,0,1,2,1,0,2,16,8,2,1,1,1,1000,200,5,1,1,1,2048,1,512,1,1,4,1050624,True,102725
0,1,0,0,1,2,1,0,0,2,1,16,16,1,1,1,1,1000,1000,1,1,1,1,2048,1,512,1,4,1,525312,True,103655
1,0,1,0,1,1,0,2,0,1,2,16,16,1,1,1,1,1000,200,5,1,1,1,2048,1,64,1,1,32,1217536,True,104596
