A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
1,0,1,0,0,1,2,0,1,2,0,16,4,4,1,1,1,1000,5,2,100,1,1,2048,1,32,1,4,16,435200,True,957
1,1,1,0,0,1,2,0,2,1,0,16,1,4,4,1,1,1000,50,2,5,2,1,2048,1,8,1,8,32,861184,True,1864
1,1,1,0,1,0,2,1,1,2,0,16,8,1,2,1,1,1000,5,40,1,5,1,2048,1,128,1,1,16,15125504,True,2866
1,0,1,1,1,0,2,1,2,1,0,16,16,1,1,1,1,1000,1000,1,1,1,1,2048,1,1024,1,2,1,2544640,True,3628
1,0,0,0,0,2,1,0,1,0,2,16,1,4,4,1,1,1000,250,2,2,1,1,2048,1,8,1,16,16,1354752,True,4527
0,1,0,1,0,2,1,0,2,0,1,16,16,1,1,1,1,1000,20,2,1,5,5,2048,1,512,1,2,2,4088832,True,5431
0,0,0,1,1,0,2,1,2,1,0,16,8,2,1,1,1,1000,10,10,2,5,1,2048,1,8,1,16,16,7185408,True,6223
0,0,1,0,0,0,2,1,1,0,2,16,16,1,1,1,1,1000,25,10,4,1,1,2048,1,16,1,128,1,947200,True,6998
0,0,0,0,0,2,0,1,2,0,1,16,2,2,1,4,1,1000,200,1,1,5,1,2048,1,256,1,4,2,3162112,True,7660
0,1,0,0,0,0,1,2,2,0,1,16,8,2,1,1,1,1000,25,40,1,1,1,2048,1,1,1,1,2048,23035904,True,8763
0,1,0,1,0,2,0,1,2,1,0,16,1,8,2,1,1,1000,200,5,1,1,1,2048,1,32,1,32,2,4613120,True,10053
1,0,1,1,1,1,2,0,1,2,0,16,16,1,1,1,1,1000,125,4,1,1,2,2048,1,8,1,128,2,1001472,True,10887
1,0,1,0,0,1,2,0,1,2,0,16,4,4,1,1,1,1000,5,2,100,1,1,2048,1,32,1,4,16,437248,True,11836
1,0,1,0,0,1,2,0,1,2,0,16,4,4,1,1,1,1000,5,100,2,1,1,2048,1,32,1,2,32,50455552,True,13020
0,0,1,0,0,1,2,0,1,0,2,16,4,4,1,1,1,1000,5,2,100,1,1,2048,1,32,1,4,16,423936,True,13775
1,0,1,0,0,1,2,0,1,2,0,16,4,4,1,1,1,1000,5,2,100,1,1,2048,1,8,1,4,64,9223372036854775807,False,14489
0,0,1,0,0,1,2,0,1,0,2,16,4,4,1,1,1,1000,5,200,1,1,1,2048,1,32,1,4,16,85943296,True,15861
0,0,1,0,1,1,2,0,1,0,2,16,4,4,1,1,1,1000,5,2,100,1,1,2048,1,32,1,4,16,401408,True,16561
0,0,1,0,0,1,2,0,1,0,2,16,4,4,1,1,1,1000,8,1,125,1,1,2048,1,32,1,4,16,1612800,True,17437
0,0,1,0,1,1,2,0,1,0,2,16,16,1,1,1,1,1000,5,2,100,1,1,2048,1,32,1,4,16,236544,True,18547
0,0,1,0,1,1,0,2,1,0,2,16,16,1,1,1,1,1000,5,2,100,1,1,2048,1,32,1,4,16,241664,True,19663
0,0,1,0,1,1,2,0,1,2,0,16,16,1,1,1,1,1000,5,2,100,1,1,2048,1,32,1,4,16,239616,True,20294
0,1,1,0,1,1,2,0,1,0,2,16,16,1,1,1,1,1000,5,2,100,1,1,2048,1,32,1,4,16,240640,True,21301
0,0,1,0,1,1,2,0,1,2,0,16,16,1,1,1,1,1000,5,2,100,1,1,2048,1,32,1,4,16,240640,True,22231
0,0,1,0,1,1,2,0,1,0,2,16,16,1,1,1,1,1000,20,1,50,1,1,2048,1,32,1,4,16,184320,True,23101
0,0,1,1,1,1,2,0,1,0,2,16,16,1,1,1,1,1000,5,2,100,1,1,2048,1,2,1,8,128,9223372036854775807,False,24171
0,0,1,0,1,1,2,0,1,0,2,16,16,1,1,1,1,1000,5,2,100,1,1,2048,1,32,1,4,16,236544,True,25021
0,0,1,0,1,1,2,0,1,0,2,16,16,1,1,1,1,1000,5,2,100,1,1,2048,1,8,1,4,64,9223372036854775807,False,25687
0,1,0,0,1,0,2,1,1,0,2,16,16,1,1,1,1,1000,20,2,25,1,1,2048,1,32,1,4,16,181248,True,26283
0,0,1,0,1,2,1,0,1,0,2,16,4,4,1,1,1,1000,20,1,50,1,1,2048,1,32,1,1,64,1126400,True,26984
0,0,1,0,1,1,2,0,1,0,2,16,16,1,1,1,1,1000,20,1,50,1,1,2048,1,32,1,4,16,181248,True,27618
0,0,1,0,1,1,2,0,1,0,2,16,16,1,1,1,1,1000,20,1,25,2,1,2048,1,32,1,4,16,221184,True,28460
0,0,0,0,1,0,2,1,1,0,2,16,16,1,1,1,1,1000,20,10,5,1,1,2048,1,32,1,4,16,765952,True,29154
0,1,0,0,1,0,2,1,1,0,2,16,16,1,1,1,1,1000,20,2,25,1,1,2048,1,32,1,4,16,180224,True,29878
0,1,0,0,1,0,2,1,1,0,2,16,16,1,1,1,1,1000,20,50,1,1,1,2048,1,32,1,4,16,2365440,True,30649
0,1,0,0,0,0,2,1,1,0,2,16,16,1,1,1,1,1000,20,2,25,1,1,2048,1,32,1,4,16,357376,True,31534
0,1,0,0,1,0,2,1,1,0,2,16,16,1,1,1,1,1000,20,2,25,1,1,2048,1,64,1,2,16,145408,True,32603
0,1,0,0,1,0,2,1,1,0,2,16,16,1,1,1,1,1000,20,2,5,1,5,2048,1,32,1,4,16,492544,True,33238
0,0,0,0,1,0,2,1,1,0,2,16,16,1,1,1,1,1000,20,2,25,1,1,2048,1,32,1,4,16,110592,True,34056
0,1,0,0,1,0,2,1,1,0,2,16,16,1,1,1,1,1000,20,2,25,1,1,2048,1,32,1,4,16,180224,True,34729
0,0,0,0,1,0,2,1,1,0,2,16,16,1,1,1,1,1000,20,2,25,1,1,2048,1,32,1,4,16,110592,True,35322
0,0,0,0,0,0,1,2,0,1,2,16,16,1,1,1,1,1000,20,2,25,1,1,2048,1,2048,1,1,1,130048,True,36170
