A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
1,0,0,0,0,0,1,2,1,2,0,16,1,1,1,1,16,1000,100,1,1,1,10,2048,1,8,1,16,16,20764672,True,1839
0,0,1,0,0,0,1,2,1,2,0,16,1,2,1,1,8,1000,1,50,1,1,20,2048,1,2,1,128,8,9223372036854775807,False,2754
0,0,0,1,0,0,1,2,2,0,1,16,2,4,2,1,1,1000,10,5,10,2,1,2048,1,16,1,4,32,1610752,True,3726
0,1,1,0,1,2,0,1,2,0,1,16,1,2,1,8,1,1000,20,1,1,5,10,2048,1,256,1,2,4,13179904,True,5171
0,0,1,0,1,1,2,0,1,2,0,16,1,4,1,1,4,1000,1,1,4,250,1,2048,1,1,1,128,16,9223372036854775807,False,5807
0,0,1,1,0,1,2,0,0,1,2,16,2,2,4,1,1,1000,1,5,1,50,4,2048,1,8,1,128,2,9223372036854775807,False,6635
0,0,1,0,1,1,2,0,0,2,1,16,2,2,1,1,4,1000,10,25,1,1,4,2048,1,8,1,2,128,13061120,True,7441
1,1,1,1,0,2,1,0,1,0,2,16,1,8,1,1,2,1000,2,5,10,5,2,2048,1,64,1,32,1,84709376,True,8893
0,0,1,1,1,0,2,1,2,1,0,16,4,2,1,2,1,1000,1,250,1,2,2,2048,1,1,1,8,256,291067904,True,12219
1,0,1,1,1,2,0,1,0,1,2,16,4,1,2,1,2,1000,1,1,25,10,4,2048,1,128,1,1,16,9223372036854775807,False,13278
1,0,0,0,1,0,2,1,1,0,2,16,1,4,1,4,1,1000,5,1,5,20,2,2048,1,1,1,32,64,27857920,True,14704
0,1,1,1,1,1,2,0,2,0,1,16,2,4,1,2,1,1000,1,4,50,1,5,2048,1,4,1,32,16,9223372036854775807,False,15599
1,1,0,1,0,2,0,1,0,1,2,16,1,2,2,1,4,1000,1,10,50,2,1,2048,1,2,1,4,256,21007360,True,16893
1,0,0,1,1,2,1,0,2,1,0,16,1,2,1,8,1,1000,2,1,25,1,20,2048,1,8,1,128,2,1743872,True,17972
0,0,1,0,1,2,1,0,0,1,2,16,2,4,1,2,1,1000,1,4,5,5,10,2048,1,16,1,2,64,9223372036854775807,False,19097
0,1,1,1,1,2,1,0,2,1,0,16,2,1,1,4,2,1000,2,2,1,250,1,2048,1,4,1,128,4,9223372036854775807,False,20162
1,1,0,0,0,1,0,2,1,0,2,16,2,1,1,1,8,1000,1,10,5,5,4,2048,1,1024,1,2,1,47784960,True,21371
0,1,1,0,0,0,2,1,1,2,0,16,1,2,2,2,2,1000,2,20,5,5,1,2048,1,4,1,128,4,9223372036854775807,False,22156
1,0,0,0,1,0,2,1,1,2,0,16,2,1,2,2,2,1000,10,2,1,25,2,2048,1,1,1,16,128,9223372036854775807,False,23194
1,1,0,0,1,0,2,1,1,2,0,16,4,1,2,1,2,1000,10,2,5,2,5,2048,1,64,1,1,32,679936,True,24842
0,1,0,0,1,1,0,2,0,2,1,16,1,4,2,2,1,1000,500,1,2,1,1,2048,1,16,1,4,32,342016,True,25880
1,0,0,1,1,0,2,1,0,2,1,16,2,2,1,1,4,1000,10,1,5,5,4,2048,1,8,1,2,128,2455552,True,27486
1,0,0,1,1,2,0,1,2,1,0,16,1,8,1,2,1,1000,2,25,2,2,5,2048,1,8,1,256,1,81061888,True,29058
1,1,1,0,0,1,0,2,1,2,0,16,1,1,1,8,2,1000,2,1,4,5,25,2048,1,64,1,2,16,9223372036854775807,False,29844
1,1,1,0,0,0,2,1,2,0,1,16,1,2,2,1,4,1000,1,4,1,1,250,2048,1,4,1,1,512,9223372036854775807,False,30948
0,1,1,0,1,2,1,0,1,0,2,16,2,2,4,1,1,1000,10,2,5,1,10,2048,1,4,1,1,512,9223372036854775807,False,31720
0,1,0,1,1,2,0,1,0,2,1,16,2,2,1,4,1,1000,20,1,1,25,2,2048,1,4,1,256,2,3791872,True,32803
1,0,1,1,0,0,1,2,1,2,0,16,1,4,1,1,4,1000,1,2,1,125,4,2048,1,2,1,64,16,9223372036854775807,False,33815
0,1,1,0,0,2,1,0,2,0,1,16,1,1,2,4,2,1000,2,5,2,25,2,2048,1,16,1,32,4,9223372036854775807,False,34693
1,0,1,0,1,1,0,2,0,1,2,16,1,2,2,1,4,1000,5,1,5,4,10,2048,1,64,1,16,2,2439168,True,36023
0,0,0,0,0,2,1,0,2,0,1,16,1,8,2,1,1,1000,1,5,40,1,5,2048,1,8,1,256,1,29443072,True,37258
1,0,0,0,1,0,2,1,1,0,2,16,1,1,1,8,2,1000,50,1,1,10,2,2048,1,2,1,1024,1,9223372036854775807,False,38122
1,0,0,0,0,1,2,0,2,0,1,16,2,1,1,1,8,1000,5,1,5,40,1,2048,1,8,1,16,16,8922112,True,39125
0,1,0,0,0,2,0,1,2,0,1,16,1,1,8,2,1,1000,1,200,5,1,1,2048,1,1,1,256,8,20087808,True,40134
0,1,0,1,1,1,2,0,2,1,0,16,1,4,2,2,1,1000,2,10,5,2,5,2048,1,128,1,8,2,15893504,True,41072
1,0,1,1,1,2,0,1,2,1,0,16,2,1,2,4,1,1000,2,5,50,2,1,2048,1,1,1,2048,1,9223372036854775807,False,42038
