A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
0,1,0,1,0,1,2,0,1,0,2,16,2,8,1,1,1,1000,40,1,25,1,1,2048,1,2,1,256,4,897024,True,954
1,1,0,0,1,0,1,2,1,0,2,16,1,1,8,1,2,1000,8,25,1,1,5,2048,1,1024,1,2,1,7410688,True,1857
0,1,0,1,0,0,1,2,1,2,0,16,8,1,2,1,1,1000,10,2,10,1,5,2048,1,1024,1,1,2,412672,True,2981
1,1,0,0,1,1,2,0,1,2,0,16,16,1,1,1,1,1000,1,500,2,1,1,2048,1,16,1,32,4,45724672,True,4379
1,0,0,1,1,1,0,2,0,2,1,16,16,1,1,1,1,1000,500,1,1,1,2,2048,1,32,1,32,2,675840,True,5393
0,0,0,1,1,0,1,2,1,2,0,16,2,2,1,2,2,1000,20,10,1,5,1,2048,1,1,1,512,4,4620288,True,6221
0,0,0,1,0,0,1,2,1,2,0,16,16,1,1,1,1,1000,100,1,1,5,2,2048,1,64,1,16,2,477184,True,7164
1,0,1,0,1,0,1,2,1,2,0,16,4,2,1,1,2,1000,5,4,5,10,1,2048,1,2048,1,1,1,7615488,True,8146
0,1,0,1,0,0,1,2,1,2,0,16,8,1,2,1,1,1000,10,2,10,1,5,2048,1,512,1,2,2,706560,True,9237
0,1,0,1,0,0,1,2,1,2,0,16,8,1,2,1,1,1000,10,2,10,1,5,2048,1,2048,1,1,1,413696,True,10066
0,1,0,1,0,0,1,2,1,2,0,16,8,1,2,1,1,1000,10,2,10,1,5,2048,1,1024,1,2,1,508928,True,10873
0,1,0,1,0,0,1,2,1,2,0,16,8,1,2,1,1,1000,8,1,5,1,25,2048,1,2048,1,1,1,844800,True,11773
0,1,0,1,0,0,1,2,1,2,0,16,8,1,2,1,1,1000,10,2,10,1,5,2048,1,1024,1,1,2,412672,True,12673
0,1,0,1,0,0,1,2,1,2,0,16,8,1,2,1,1,1000,10,2,10,1,5,2048,1,1024,1,1,2,412672,True,13489
0,1,0,1,0,0,1,2,1,2,0,16,16,1,1,1,1,1000,10,2,10,1,5,2048,1,1024,1,1,2,436224,True,15645
0,1,0,1,0,0,1,2,1,2,0,16,8,1,2,1,1,1000,10,2,10,1,5,2048,1,1024,1,1,2,412672,True,16694
0,1,0,1,0,1,0,2,1,2,0,16,8,1,2,1,1,1000,1000,1,1,1,1,2048,1,1024,1,1,2,380928,True,17658
0,1,1,1,0,0,2,1,1,2,0,16,8,1,1,2,1,1000,10,2,50,1,1,2048,1,1024,1,1,2,431104,True,18490
0,1,0,1,0,0,1,2,1,2,0,16,8,1,2,1,1,1000,10,2,10,1,5,2048,1,1024,1,1,2,412672,True,19276
1,0,1,0,0,1,2,0,0,2,1,16,1,16,1,1,1,1000,1000,1,1,1,1,2048,1,1024,1,1,2,3176448,True,20199
0,0,0,1,0,1,0,2,1,2,0,16,8,1,2,1,1,1000,1000,1,1,1,1,2048,1,1024,1,1,2,366592,True,21088
0,1,0,1,0,1,0,2,0,2,1,16,8,2,1,1,1,1000,1000,1,1,1,1,2048,1,1024,1,1,2,542720,True,21836
0,1,0,1,0,0,1,2,1,2,0,16,8,1,2,1,1,1000,1000,1,1,1,1,2048,1,1024,1,1,2,364544,True,22817
0,1,0,1,0,1,0,2,1,2,0,16,8,1,2,1,1,1000,2,4,25,1,5,2048,1,1024,1,1,2,1388544,True,23960
0,1,1,1,0,0,1,2,1,2,0,16,8,1,2,1,1,1000,1000,1,1,1,1,2048,1,1024,1,1,2,1094656,True,25116
1,1,0,1,0,0,1,2,0,2,1,16,8,1,2,1,1,1000,1000,1,1,1,1,2048,1,1024,1,1,2,1005568,True,26119
