A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
0,1,1,1,1,2,1,0,2,1,0,16,1,2,1,2,4,1000,4,1,25,2,5,2048,1,8,1,2,128,9223372036854775807,False,1437
1,1,1,0,0,2,1,0,2,0,1,16,1,2,1,4,2,1000,1,1,1,200,5,2048,1,2,1,512,2,9223372036854775807,False,2341
0,0,1,1,0,1,2,0,1,2,0,16,2,1,4,2,1,1000,4,25,1,2,5,2048,1,256,1,4,2,15424512,True,3713
0,0,0,1,1,1,2,0,2,0,1,16,1,1,2,1,8,1000,1,5,20,10,1,2048,1,16,1,8,16,2422784,True,4765
0,1,1,0,1,1,0,2,1,0,2,16,2,8,1,1,1,1000,1,10,50,1,2,2048,1,16,1,64,2,9223372036854775807,False,5543
0,0,0,0,1,0,2,1,1,2,0,16,1,1,4,4,1,1000,5,1,100,1,2,2048,1,2,1,2,512,726016,True,6640
1,1,0,0,0,2,0,1,1,0,2,16,1,2,2,1,4,1000,10,1,2,50,1,2048,1,1,1,1,2048,9223372036854775807,False,7686
1,0,1,0,1,2,1,0,2,0,1,16,2,1,2,2,2,1000,2,1,50,10,1,2048,1,128,1,16,1,285696,True,8826
1,0,1,0,1,2,1,0,2,0,1,16,2,1,2,2,2,1000,2,1,50,10,1,2048,1,128,1,16,1,284672,True,9827
1,0,1,0,1,2,1,0,2,0,1,16,2,1,2,2,2,1000,2,1,50,5,2,2048,1,64,1,32,1,9223372036854775807,False,10706
1,0,1,0,1,2,1,0,2,0,1,16,2,1,2,2,2,1000,2,1,50,10,1,2048,1,128,1,16,1,282624,True,11592
1,0,1,0,1,2,1,0,2,0,1,16,2,1,2,2,2,1000,1,1,100,10,1,2048,1,128,1,16,1,9223372036854775807,False,12370
0,0,1,0,0,2,0,1,0,1,2,16,1,1,2,1,8,1000,20,5,2,5,1,2048,1,512,1,2,2,6943744,True,13567
0,1,1,0,0,0,1,2,0,1,2,16,1,2,1,4,2,1000,1,5,2,20,5,2048,1,2,1,1024,1,9223372036854775807,False,14779
0,0,1,0,1,1,2,0,1,0,2,16,1,4,1,4,1,1000,2,2,10,1,25,2048,1,32,1,8,8,9223372036854775807,False,15975
0,1,0,1,0,1,2,0,1,2,0,16,2,4,1,1,2,1000,1,50,2,2,5,2048,1,8,1,32,8,263694336,True,19362
0,0,0,1,0,2,0,1,2,0,1,16,8,2,1,1,1,1000,10,1,5,4,5,2048,1,1,1,32,64,1172480,True,20486
1,0,0,0,1,1,0,2,2,1,0,16,1,2,2,2,2,1000,1,25,2,10,2,2048,1,16,1,32,4,45609984,True,22212
1,0,1,1,1,1,0,2,2,1,0,16,4,1,1,4,1,1000,2,100,1,5,1,2048,1,2,1,8,128,124841984,True,24239
1,1,1,1,1,0,2,1,0,1,2,16,1,2,1,1,8,1000,1,5,1,10,20,2048,1,512,1,1,4,170779648,True,27146
0,0,1,0,1,2,1,0,2,0,1,16,2,1,2,2,2,1000,2,1,50,10,1,2048,1,256,1,8,1,443392,True,28065
1,0,1,0,1,2,1,0,2,0,1,16,2,1,1,2,4,1000,1,1,100,10,1,2048,1,256,1,8,1,523264,True,29164
1,0,1,0,1,2,1,0,2,0,1,16,2,1,2,2,2,1000,2,1,50,10,1,2048,1,64,1,32,1,9223372036854775807,False,29832
1,0,1,0,1,2,1,0,2,0,1,16,2,1,2,2,2,1000,2,1,25,10,2,2048,1,64,1,32,1,9223372036854775807,False,30976
1,1,1,0,1,1,2,0,0,1,2,16,4,1,1,4,1,1000,8,1,125,1,1,2048,1,16,1,8,16,9223372036854775807,False,32125
0,0,0,0,0,0,2,1,2,1,0,16,1,4,4,1,1,1000,5,2,25,1,4,2048,1,16,1,64,2,3658752,True,33036
0,0,1,0,0,2,0,1,2,1,0,16,4,1,4,1,1,1000,2,5,50,1,2,2048,1,16,1,8,16,9223372036854775807,False,33914
0,1,0,0,1,1,0,2,1,2,0,16,1,1,4,1,4,1000,1,2,2,250,1,2048,1,4,1,1,512,113999872,True,35737
1,0,1,0,1,2,1,0,2,0,1,16,2,1,2,2,2,1000,2,1,50,10,1,2048,1,128,1,16,1,284672,True,37068
1,0,1,0,1,2,1,0,2,0,1,16,2,1,2,2,2,1000,2,1,50,10,1,2048,1,256,1,8,1,302080,True,37966
1,0,1,0,1,2,1,0,2,0,1,16,2,1,2,2,2,1000,2,1,50,10,1,2048,1,256,1,4,2,320512,True,39297
1,0,1,0,1,2,1,0,2,0,1,16,2,1,2,2,2,1000,4,1,25,10,1,2048,1,128,1,16,1,800768,True,40714
1,0,1,1,0,0,1,2,1,2,0,16,1,2,1,4,2,1000,10,25,2,1,2,2048,1,16,1,32,4,38315008,True,42449
0,1,0,1,1,2,0,1,1,2,0,16,1,4,2,1,2,1000,50,1,10,1,2,2048,1,16,1,2,64,763904,True,43571
0,0,0,1,1,2,1,0,1,0,2,16,1,1,4,4,1,1000,4,1,5,5,10,2048,1,2,1,1,1024,15180800,True,44985
1,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,5,2,4,2048,1,256,1,2,4,153600,True,45928
1,0,0,1,1,1,0,2,1,0,2,16,4,1,1,1,4,1000,1,250,2,2,1,2048,1,128,1,16,1,33595392,True,47244
1,0,1,0,0,0,1,2,2,0,1,16,1,1,1,1,16,1000,4,125,1,1,2,2048,1,4,1,128,4,73168896,True,49127
0,0,0,1,0,2,1,0,1,0,2,16,4,1,1,2,2,1000,25,1,1,20,2,2048,1,1,1,128,16,6725632,True,50233
1,1,1,0,0,1,2,0,1,0,2,16,2,4,2,1,1,1000,1,1,2,5,100,2048,1,4,1,8,64,9223372036854775807,False,50990
1,1,0,0,1,0,1,2,0,2,1,16,4,1,4,1,1,1000,2,1,10,50,1,2048,1,2,1,64,16,1317888,True,52029
0,1,1,1,1,0,1,2,0,1,2,16,1,1,1,16,1,1000,4,5,10,1,5,2048,1,2048,1,1,1,3436544,True,53339
0,1,1,0,1,0,1,2,2,0,1,16,1,2,1,2,4,1000,1,250,1,4,1,2048,1,1,1,512,4,120220672,True,55275
1,0,0,0,1,1,0,2,1,2,0,16,2,1,1,4,2,1000,5,10,2,1,10,2048,1,16,1,32,4,5723136,True,56292
1,0,1,0,1,0,2,1,0,1,2,16,8,1,2,1,1,1000,25,1,5,2,4,2048,1,256,1,2,4,178176,True,57049
1,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,5,2,4,2048,1,256,1,2,4,153600,True,57794
1,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,5,2,4,2048,1,256,1,2,4,153600,True,58690
0,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,5,2,4,2048,1,256,1,2,4,166912,True,59710
0,1,0,1,0,0,1,2,2,0,1,16,2,2,1,2,2,1000,10,10,2,1,5,2048,1,16,1,1,128,25997312,True,61124
1,0,1,1,0,0,1,2,1,2,0,16,2,8,1,1,1,1000,1,20,25,1,2,2048,1,2,1,256,4,9223372036854775807,False,62245
1,0,1,1,1,1,2,0,0,2,1,16,4,2,1,1,2,1000,50,1,5,4,1,2048,1,1,1,128,16,9223372036854775807,False,63190
0,1,1,0,0,2,0,1,0,2,1,16,1,1,1,8,2,1000,20,1,10,5,1,2048,1,8,1,16,16,9223372036854775807,False,64146
1,0,1,0,0,0,2,1,2,0,1,16,1,1,16,1,1,1000,5,1,8,5,5,2048,1,256,1,2,4,2551808,True,65404
1,1,1,0,0,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,5,2,4,2048,1,256,1,2,4,147456,True,66387
1,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,5,2,4,2048,1,256,1,2,4,155648,True,67306
1,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,10,2,2,2048,1,256,1,2,4,139264,True,68327
1,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,50,1,20,1,1,2048,1,1024,1,1,2,206848,True,69275
1,1,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,256,1,2,4,93184,True,70248
