tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
4,128,512,256,8,4,64,4,256,64,600.1029052734375,True,0
4,8,256,256,16,4,8,1,512,8,32.01228713989258,True,8424
4,8,64,32,16,128,16,2,512,256,4.040703773498535,True,10781
32,4,256,64,32,2,64,2,128,32,2147483648.0,False,25060
8,2,32,16,8,16,2,1,1024,1,66.61837005615234,True,27643
4,8,64,4,4,128,16,1,16,256,1120.2130126953125,True,31238
4,1,4,1024,16,256,16,16,64,64,72.1111068725586,True,32295
4,8,64,4,16,128,32,2,256,1024,26.233856201171875,True,33897
16,1,8,8,256,2,1,16,2,32,453.49169921875,True,37295
64,2,64,4,64,2,8,16,512,512,7.05024003982544,True,39710
4,256,256,256,8,16,128,8,1024,512,188.4477386474609,True,50403
8,4,8,4,16,256,1,8,128,256,4.704256057739258,True,52132
32,2,32,64,64,64,2,2,4,512,82.99827575683594,True,55779
32,4,4,32,32,256,1,1,16,2,233.3276214599609,True,57450
8,32,64,32,32,4,4,4,8,512,129.8954315185547,True,59845
8,8,32,4,256,4,4,4,32,128,10.164223670959473,True,64500
16,1,4,8,16,4,1,4,1,128,148.33766174316406,True,65916
256,8,32,32,256,4,1,32,512,512,2147483648.0,False,78106
4,16,16,256,128,32,64,16,512,256,6.509568214416504,True,79976
16,2,4,8,128,16,4,8,4,128,48.27033615112305,True,81157
8,1,32,8,64,4,2,64,512,512,3.3116159439086914,True,83063
4,1,256,4,16,1,16,32,512,64,29.928447723388672,True,84133
4,4,32,32,8,32,8,32,16,64,88.41830444335938,True,85266
4,16,16,16,64,1,1,1,64,4,178.99623107910156,True,91815
4,2,512,512,16,4,2,8,1024,8,8.566783905029297,True,98255
8,4,64,4,128,2,1,16,4,128,26.877952575683597,True,102123
32,4,8,32,128,32,4,128,256,1024,52.62643051147461,True,103859
4,8,32,8,8,32,8,64,512,256,3.8635520935058594,True,105729
8,4,64,128,32,64,2,512,1024,1024,1.927168011665344,True,107391
4,1,16,16,128,8,4,8,128,1024,0.8212479948997498,True,109152
4,16,32,128,128,16,256,2,512,1024,6.67033576965332,True,111410
8,8,256,16,32,1,128,2,256,8,2147483648.0,False,122803
4,4,4,32,4,32,8,1,1024,1,169.8324432373047,True,124165
4,1,32,16,16,128,1,32,32,128,2.506752014160156,True,125701
16,4,32,16,16,2,16,4,16,64,82.17088317871094,True,127303
4,1,16,16,16,8,4,2,8,256,5.824512004852295,True,129146
4,4,64,256,8,16,128,8,512,8,252.4969024658203,True,130653
8,4,64,4,64,64,2,2,8,16,63.710208892822266,True,140390
256,2,16,8,256,1,1,256,256,512,3777.86767578125,True,149060
32,8,64,512,64,64,2,1,512,64,2147483648.0,False,161372
4,32,128,32,4,8,2,2,128,16,12.430335998535156,True,164141
8,4,4,4,8,16,2,2,64,64,10.703871726989746,True,166381
8,4,4,8,64,32,1,2,256,256,11.926527976989746,True,169741
8,16,32,4,8,1,2,64,1024,512,14.913536071777344,True,172509
4,4,4,4,64,8,2,1,32,16,26.241024017333984,True,174434
32,4,32,128,128,8,32,32,64,512,44.13849639892578,True,175902
16,8,64,8,128,8,1,4,512,32,2147483648.0,False,188196
128,1,16,128,256,16,4,4,16,8,92.07295989990234,True,192846
4,2,64,16,4,32,8,128,256,512,4.413440227508545,True,194662
4,2,16,8,8,256,64,1,512,2,597.4681396484375,True,196615
4,2,32,16,4,64,16,8,16,128,89.69625854492188,True,197708
8,8,32,1024,32,128,8,32,512,512,1.30457603931427,True,199572
4,1,512,16,4,2,4,2,16,1024,2147483648.0,False,211587
4,4,32,256,32,16,2,512,256,1024,7.956480026245117,True,213536
32,2,8,4,32,2,32,4,1024,8,35.13139343261719,True,214931
8,1,32,4,16,16,8,1,8,8,1026.8447265625,True,219427
4,32,64,256,4,16,8,16,64,512,10.680319786071776,True,221843
16,4,32,64,32,64,8,1,128,1,107.89376068115234,True,225498
4,2,64,4,32,8,64,2,64,64,105.4013442993164,True,227710
8,1,32,8,8,1,4,8,4,16,1680.3287353515625,True,230509
8,4,32,1024,64,32,1,16,8,32,54.31808090209961,True,232910
64,4,8,32,128,4,2,1,512,1024,33.78688049316406,True,236623
8,4,4,128,64,32,4,4,16,64,17.563648223876953,True,239422
32,2,8,64,256,8,512,1,512,2,684.9177856445312,True,242178
8,32,128,512,16,8,2,128,64,256,46.59609603881836,True,244282
4,16,32,4,16,8,2,4,512,1024,7.461887836456299,True,246548
8,8,16,4,128,16,64,1,1024,64,8.8156156539917,True,249269
8,256,256,64,16,2,1,32,64,64,2147483648.0,False,263604
4,2,128,64,4,8,2,1,256,512,18.868223190307617,True,271876
16,8,16,128,16,256,8,2,512,512,4.192255973815918,True,273715
16,1,256,16,32,4,128,1,128,1024,2147483648.0,False,290521
32,32,256,4,32,4,1,256,256,256,2147483648.0,False,301761
16,2,4,32,128,32,4,32,256,512,10.041343688964844,True,304416
4,64,128,256,32,2,64,16,128,64,339.0064697265625,True,307147
16,8,64,8,32,2,1,1,1024,128,2147483648.0,False,319529
4,4,32,64,4,256,2,1,4,32,119.61753845214844,True,321182
8,4,256,16,16,2,16,32,32,128,106.06182098388672,True,322413
64,4,32,8,64,8,128,2,512,256,163.3955841064453,True,326860
4,8,64,256,16,4,128,1,256,8,71.15776062011719,True,329347
8,8,8,16,64,32,512,1,512,1024,25.09926414489746,True,330800
16,16,32,4,32,4,512,2,1024,128,139.0786590576172,True,333222
4,32,32,16,16,2,4,256,4,512,3073.364013671875,True,337926
4,8,32,32,8,64,16,32,256,512,4.4462080001831055,True,339603
16,32,128,32,32,2,2,16,1024,256,49.66195297241211,True,344182
8,1,64,512,64,16,32,16,1024,32,9.42080020904541,True,346092
32,2,16,128,32,8,1,64,32,1024,3.561471939086914,True,348059
16,32,64,32,32,2,32,8,512,16,468.4328918457031,True,352695
4,1,32,4,16,64,4,8,512,64,1.789952039718628,True,354157
32,4,32,64,128,4,64,2,1024,1024,35.69049453735352,True,358426
16,8,8,64,64,128,2,16,1024,32,67.94137573242188,True,360717
4,2,16,4,16,8,1,4,1,64,76.35968017578125,True,362090
8,128,512,128,16,1,4,32,8,128,2147483648.0,False,373378
128,8,16,128,256,8,1,1,256,128,2147483648.0,False,387784
32,4,64,128,32,64,1,32,32,64,3.6833279132843018,True,390285
8,32,32,512,16,128,1,16,512,64,24.72038459777832,True,394558
8,4,16,4,64,8,1,2,8,64,87.7158432006836,True,399128
64,2,128,256,64,8,4,32,512,256,3.151871919631958,True,401560
4,1,32,32,128,1,4,2,16,1024,9.614336013793944,True,406080
4,2,8,4,4,4,4,256,8,1024,1002.3946533203124,True,408344
16,8,16,4,128,16,8,32,16,256,15.953920364379885,True,411208
4,2,32,16,64,64,128,1,512,512,9.827327728271484,True,414016
16,4,8,256,256,32,2,16,8,512,7.6472320556640625,True,418955
32,8,32,8,128,2,4,2,4,2,1363.883056640625,True,423350
256,4,8,4,256,16,16,4,32,64,457.46484375,True,429113
4,16,128,64,8,4,64,1,512,16,48.4956169128418,True,433091
64,2,8,4,64,2,2,32,128,64,53.68217468261719,True,434650
4,4,16,1024,4,64,4,8,256,512,2.780159950256348,True,436663
16,32,32,32,32,16,64,4,128,8,3299.357666015625,True,444434
4,4,32,512,16,128,4,8,8,64,11.256832122802734,True,446645
32,8,16,8,32,4,1,8,2,512,61.011966705322266,True,449047
4,16,16,256,16,256,4,128,64,1024,25.780223846435547,True,450261
16,2,16,4,128,2,2,8,4,1024,4.169727802276611,True,453015
4,32,128,8,8,2,32,1,64,512,506.3843688964844,True,457445
4,4,16,128,8,64,1,32,1,1024,46.71590423583984,True,458694
16,16,16,4,32,4,16,4,64,128,32.92364883422852,True,461094
16,8,16,4,16,16,128,2,1024,64,55.91654586791992,True,462659
16,2,128,1024,16,64,32,32,512,32,71.0297622680664,True,463789
4,1,256,4,4,4,8,2,128,64,212.93055725097656,True,469192
64,2,4,32,128,8,2,1,512,256,17.185792922973633,True,472908
16,2,128,64,32,1,2,1,1024,64,2147483648.0,False,485590
16,2,16,16,128,64,8,128,512,512,3.5000319480896,True,487213
32,32,64,16,32,4,4,4,512,8,141.2147216796875,True,491890
