tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
4,4,4,512,4,512,2,16,128,1024,8.91494369506836,True,0
4,512,1024,32,4,2,8,2,8,1024,2147483648.0,False,12864
4,64,64,32,128,4,256,1,1024,32,35.59116744995117,True,15229
32,8,16,8,32,32,16,1,32,4,802.6009521484375,True,20462
8,128,256,4,16,4,2,2,4,16,883.3935546875,True,31072
4,16,128,16,4,64,16,1,32,2,1912.553466796875,True,37398
4,32,32,128,4,4,128,1,1024,2,379.2261047363281,True,39313
8,4,8,4,16,64,32,16,512,128,12.598272323608398,True,41482
4,16,128,512,8,16,4,8,16,16,56.03020858764648,True,42797
4,4,1024,4,4,2,1,4,1,8,2147483648.0,False,54362
128,4,16,16,128,2,256,1,256,32,2147483648.0,False,66918
16,8,16,4,512,1,16,8,256,64,111.32723236083984,True,69172
4,32,128,16,16,1,1,2,1,16,959.7603759765624,True,79251
4,16,512,128,8,2,4,32,512,1024,6.832128047943115,True,81202
16,4,64,8,16,32,2,16,2,32,128.11264038085938,True,82479
4,4,256,16,16,1,2,2,4,8,362.6598510742188,True,92235
4,512,512,4,8,8,2,16,4,64,2147483648.0,False,105073
128,1,4,32,128,32,4,2,8,16,636.527587890625,True,107633
4,32,512,64,8,1,4,16,32,16,91.27117156982422,True,109133
16,2,4,8,32,16,2,2,8,2,592.4075317382812,True,111019
4,8,1024,1024,4,4,64,4,512,128,211.5061798095703,True,118749
16,32,64,32,64,4,64,4,128,1024,285.1727294921875,True,123518
32,64,128,16,32,4,1,1,1,1,2147483648.0,False,137760
256,8,8,16,1024,2,1,1,256,1024,2147483648.0,False,156409
4,16,128,8,64,8,1,16,1,256,66.26713562011719,True,167397
4,64,64,4,4,128,16,2,128,1024,152.12339782714844,True,169381
8,1024,1024,8,8,1,2,4,4,16,2147483648.0,False,179390
4,16,1024,32,4,2,4,1,64,1,2147483648.0,False,194180
8,64,64,128,16,2,8,1,128,1,824.3496704101562,True,199828
8,8,1024,128,8,1,1,16,16,16,66.16780853271484,True,203146
4,1,128,8,4,64,2,2,32,4,382.0083312988281,True,207237
8,8,64,4,16,16,4,1,8,2,1301.1722412109375,True,212150
32,2,4,16,32,128,256,1,256,1,5320.22705078125,True,219097
16,1,64,64,16,2,64,2,1024,256,69.47840118408203,True,222161
8,8,128,8,8,32,1,4,64,32,6.18393611907959,True,224787
4,4,64,8,16,1,64,1,256,32,145.32505798339844,True,227005
8,16,1024,64,8,2,8,1,8,1,2147483648.0,False,245853
4,64,128,4,4,64,4,1,128,256,101.09542083740234,True,250569
16,16,128,4,16,16,8,2,16,4,2097.7705078125,True,257000
4,32,32,16,4,64,2,32,4,1024,37.95865631103516,True,258459
8,2,256,64,16,1,1,4,1024,4,72.82994842529297,True,267772
4,512,1024,4,4,2,2,8,2,64,2147483648.0,False,280599
4,1,256,4,8,1,32,1,512,4,220.21221923828125,True,289296
8,8,32,4,16,2,1,1,1,1,4636.142578125,True,297494
4,16,128,512,4,32,64,1,128,64,228.3663330078125,True,302295
8,1,4,64,16,32,1,1,1,1,2147483648.0,False,312895
4,8,256,256,32,1,2,128,256,1024,7.057407855987549,True,314989
32,1,16,64,128,8,32,4,32,256,16.856063842773438,True,317755
4,8,128,32,8,4,2,1,2,128,415.15826416015625,True,322589
8,16,16,8,256,16,2,1,16,128,2147483648.0,False,335072
4,4,256,1024,4,32,1,2,4,2,1806.4332275390625,True,340834
8,4,8,8,64,8,2,64,2,256,236.8870391845703,True,342645
4,4,16,16,32,32,512,1,512,256,32.57855987548828,True,344005
8,32,512,8,8,4,2,4,8,16,512.30615234375,True,349160
8,64,64,32,32,1,4,1,8,1,1378.7689208984375,True,354244
8,32,64,4,16,64,4,8,16,64,149.25721740722656,True,356779
8,2,4,4,1024,4,2,64,2,512,2147483648.0,False,368372
16,16,32,16,128,8,1,1,2,64,2147483648.0,False,382541
4,8,512,4,8,1,1,2,2,32,2147483648.0,False,395052
128,16,16,4,256,16,64,2,256,128,2147483648.0,False,407261
64,16,64,1024,64,16,1,8,2,16,2147483648.0,False,418561
4,8,16,1024,8,64,16,32,256,128,13.87110424041748,True,420844
8,128,256,256,8,1,1,2,1,8,2147483648.0,False,432201
8,4,512,8,8,1,1,2,1,4,2147483648.0,False,444720
4,4,1024,16,4,1,32,4,128,1024,1762.6531982421875,True,451425
32,2,8,4,32,1,1,64,1024,1024,20.351999282836918,True,454025
256,8,8,16,256,32,4,4,4,8,2147483648.0,False,466292
8,1,4,4,16,1,1,16,4,16,3093.63916015625,True,470467
4,32,256,16,4,1,16,4,16,1024,910.4547729492188,True,472987
4,32,1024,8,4,2,4,16,4,32,1375.02001953125,True,476065
128,4,8,8,1024,2,4,2,16,2,2147483648.0,False,487481
256,2,8,32,256,8,2,1,8,64,2147483648.0,False,500283
4,512,512,64,8,2,1,1,128,32,2147483648.0,False,516139
64,8,32,16,64,8,1,1,512,2,2147483648.0,False,528455
16,8,32,32,128,1,2,64,2,512,146.57843017578125,True,533090
16,64,64,64,16,2,32,32,128,128,537.1422729492188,True,538664
4,4,1024,8,8,1,4,1,32,2,2147483648.0,False,554940
128,16,32,8,256,8,8,16,32,32,2147483648.0,False,567105
64,1,4,8,128,4,2,4,64,16,41.428993225097656,True,568441
