tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
512,1,16,16,512,4,32,8,32,16,1844.3857421875,True,0
8,1,8,16,16,4,4,256,4,256,2591.2626953125,True,136242
8,2,1024,32,8,2,1,256,64,1024,6.8085761070251465,True,138088
16,64,128,128,64,16,16,2,1024,64,2147483648.0,False,149401
32,256,256,128,32,2,64,2,256,512,2147483648.0,False,167579
8,2,1024,32,8,2,1,256,256,1024,3.412992000579834,True,169729
4,8,256,512,8,8,32,32,32,32,516.2915649414062,True,171565
8,2,1024,32,8,2,1,256,64,1024,6.8085761070251465,True,173905
8,1,256,32,16,16,1,256,256,1024,2.5169920921325684,True,175705
8,2,1024,16,8,2,2,128,256,1024,1.376255989074707,True,177617
8,4,1024,32,8,2,1,256,512,1024,3.4846720695495605,True,179876
8,2,256,32,16,16,1,128,256,1024,1.9640320539474487,True,181893
8,2,1024,16,8,2,2,128,256,1024,1.3793280124664309,True,183733
8,2,256,16,16,16,2,128,256,1024,0.7464960217475891,True,185638
8,2,1024,64,8,2,2,128,256,1024,2.052095890045166,True,188026
16,2,256,16,16,16,2,128,256,1024,0.9779199957847596,True,190197
16,16,256,16,16,16,2,128,256,1024,3.6280319690704346,True,193015
8,32,256,16,16,16,64,8,256,1024,238.87155151367188,True,195516
8,2,256,16,16,16,2,128,256,1024,0.7454720139503479,True,197639
8,2,256,16,16,8,2,128,256,1024,0.7639039754867554,True,199362
8,2,256,16,16,16,4,4,256,4,9.933823585510254,True,205874
8,2,256,16,16,16,16,32,256,1024,6.888448238372803,True,208282
8,2,256,16,16,4,2,128,256,1024,0.8273919820785522,True,210181
8,2,256,16,32,8,1,256,2,1024,9.649151802062988,True,212951
8,2,256,16,16,16,2,128,256,1024,0.7464960217475891,True,214558
8,1,256,16,16,8,2,128,256,512,0.7608320116996765,True,216686
16,2,256,16,16,16,2,128,256,1024,0.9768959879875184,True,218573
16,2,128,16,32,32,4,128,256,512,0.9625599980354308,True,220427
8,2,32,4,128,32,2,128,32,1024,2.9808640480041504,True,223113
4,1,32,256,128,8,2,256,512,512,19.326976776123047,True,227283
64,16,64,64,128,1,4,16,64,256,2147483648.0,False,238613
4,16,128,32,8,4,8,128,16,256,212.86810302734372,True,240163
8,2,256,16,16,16,2,256,512,1024,0.7106559872627258,True,241922
8,2,256,16,16,16,2,128,256,1024,0.7464960217475891,True,243750
8,2,256,32,16,16,2,128,128,1024,1.0844160318374634,True,245283
8,2,256,8,16,16,2,128,256,1024,0.5375999808311462,True,247445
8,1,256,8,16,16,2,128,256,512,0.5171200037002563,True,249762
16,2,256,8,16,16,2,256,128,1024,0.6574079990386963,True,251895
8,2,256,4,16,16,2,128,128,1024,0.5703679919242859,True,254396
8,2,256,4,16,16,8,64,256,1024,3.147775888442993,True,256914
8,1,256,8,16,16,1,128,256,512,0.7505919933319092,True,258693
8,1,256,8,16,16,2,128,256,512,0.5160959959030151,True,260234
8,1,256,8,16,16,4,64,256,1024,1.5083520412445068,True,262274
16,1,256,8,16,16,4,64,256,256,1.5697920322418213,True,263985
8,1,256,8,16,16,4,64,512,512,1.499135971069336,True,265930
8,1,256,8,16,8,2,128,256,512,0.5816320180892944,True,267713
8,1,256,8,16,16,2,128,256,512,0.5171200037002563,True,269597
8,2,512,8,16,4,2,64,256,256,0.5406720042228699,True,271894
8,1,256,8,16,16,4,64,512,512,1.4960639476776123,True,273812
8,1,256,8,16,16,2,128,256,512,0.5150719881057739,True,276089
8,1,256,8,16,16,4,64,1024,512,1.504256010055542,True,278348
8,1,256,8,16,16,2,128,256,512,0.5171200037002563,True,280143
8,1,256,16,16,16,2,128,256,1024,0.7280640006065369,True,282123
8,1,256,8,16,16,2,128,256,512,0.5150719881057739,True,283682
16,1,128,8,32,32,2,128,256,512,0.954367995262146,True,285602
8,1,256,8,16,16,2,64,256,512,0.4515840113162994,True,287560
8,1,256,4,16,16,4,32,256,256,1.7274880409240725,True,289855
8,1,512,32,8,8,2,32,256,512,1.8688000440597532,True,292320
8,1,256,8,16,16,2,64,256,512,0.4526079893112182,True,293633
8,1,256,8,16,16,1,64,256,512,1.0557440519332886,True,295298
8,1,256,8,16,16,2,64,256,1024,0.4505600035190582,True,296861
8,1,256,8,16,16,2,64,64,1024,0.4904960095882416,True,298388
8,2,256,8,16,16,2,64,128,512,0.5396479964256287,True,300147
8,2,256,8,16,16,2,64,256,512,0.5406720042228699,True,301780
8,1,256,8,16,16,2,64,512,1024,0.6502400040626526,True,303589
8,1,256,8,16,16,2,64,256,1024,0.4526079893112182,True,305423
8,1,256,32,16,16,2,128,256,1024,1.0762239694595337,True,307280
8,1,256,8,16,16,2,64,256,1024,0.4505600035190582,True,309027
8,2,256,32,16,16,2,64,128,1024,1.1141120195388794,True,311086
8,1,256,8,16,16,2,32,256,1024,0.4423680007457733,True,313424
8,1,256,8,16,16,2,64,512,1024,0.647167980670929,True,315406
8,1,256,8,16,16,2,256,256,512,0.78438401222229,True,317092
8,1,256,8,16,16,2,32,256,1024,0.4423680007457733,True,319176
8,1,256,8,16,16,2,32,256,1024,0.4423680007457733,True,321314
4,1,512,8,8,8,2,32,256,1024,0.6246399879455566,True,323660
8,1,256,8,16,16,2,32,256,1024,0.4444159865379333,True,325801
4,1,256,8,16,16,2,64,512,1024,0.647167980670929,True,328331
8,1,256,8,16,8,4,16,512,1024,2.0101120471954346,True,331495
8,1,256,8,16,16,2,16,256,1024,0.6287360191345215,True,334421
4,1,1024,8,8,2,4,32,256,1024,12.622847557067873,True,337201
4,1,256,8,16,16,1,4,4,1024,2147483648.0,False,349100
4,1,16,8,8,256,2,32,256,1024,1.1182080507278442,True,350671
16,1,16,32,64,8,2,32,256,1024,1.9240959882736208,True,353137
8,1,256,8,32,8,256,4,256,1024,268.86553955078125,True,359311
8,1,256,16,16,16,2,32,256,512,0.6481919884681702,True,361623
8,1,256,4,16,16,2,32,256,1024,0.886784017086029,True,364026
8,1,128,8,32,32,2,32,512,1024,1.001471996307373,True,366160
8,1,256,8,16,16,2,32,256,1024,0.4433920085430145,True,368154
8,1,256,8,16,16,2,32,256,1024,0.4423680007457733,True,370111
8,1,256,4,16,16,1,64,512,1024,0.7096319794654846,True,371944
4,1,256,8,16,16,2,32,64,1024,0.532480001449585,True,373957
8,1,256,8,16,16,2,32,256,1024,0.4423680007457733,True,375635
64,1,8,4,64,64,2,8,32,64,7.241727828979492,True,377896
64,32,32,32,256,1,1,8,1,16,2147483648.0,False,394792
64,16,32,16,256,4,256,4,512,16,2147483648.0,False,406072
32,16,64,32,64,2,1,1,256,2,2147483648.0,False,420203
8,1,256,4,16,16,2,32,256,1024,0.8847360014915466,True,422130
8,1,256,8,16,16,4,32,256,1024,1.4940160512924194,True,424076
8,1,256,16,16,16,2,32,256,1024,0.6461439728736877,True,426188
8,2,256,8,16,16,2,64,256,1024,0.5406720042228699,True,428222
8,1,256,8,16,16,2,64,256,1024,0.4526079893112182,True,430175
8,1,256,8,16,16,2,16,256,1024,0.6297600269317627,True,432396
8,1,256,8,16,16,2,64,256,1024,0.4505600035190582,True,434206
8,1,128,4,32,32,2,32,256,1024,0.9646080136299132,True,436489
16,1,4,8,64,128,2,32,256,1024,4.91315221786499,True,438658
4,1,256,8,4,2,2,32,256,1024,1.3527040481567385,True,440797
16,1,16,8,64,128,2,32,256,1024,1.2963839769363403,True,442982
16,1,16,8,64,128,2,32,256,1024,1.3035520315170288,True,444996
4,8,256,128,4,16,4,16,1024,256,1.8216960430145264,True,447122
4,16,64,16,4,4,64,2,256,2,980.8762817382812,True,449430
32,1,4,8,128,16,1,4,128,512,10.613759994506836,True,451701
64,1,32,8,128,1,128,2,512,2,2147483648.0,False,463258
4,1,256,8,8,16,4,64,256,1024,1.4407680034637451,True,465019
8,1,256,16,16,16,4,64,256,1024,1.3793280124664309,True,466627
8,1,256,8,16,16,4,32,256,1024,1.491968035697937,True,468464
8,1,256,32,16,16,2,64,256,512,0.993279993534088,True,470202
8,2,256,8,16,16,2,32,256,1024,0.5611519813537598,True,472008
8,2,256,8,16,16,2,32,256,1024,0.5601279735565186,True,473728
