tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
256,1,4,4,1024,4,2,128,2,128,3461.979248046875,True,0
8,4,8,8,128,32,4,2,16,128,2.9777920246124268,True,2258
4,32,32,256,16,32,4,32,16,512,10.721280097961426,True,4998
8,128,512,512,16,2,16,2,128,2,2147483648.0,False,17224
16,2,512,256,16,4,1,4,1,4,2147483648.0,False,29807
4,32,32,8,4,128,1,1,1,32,453.4681701660156,True,31814
8,8,16,8,32,16,1,1,512,16,22.360063552856445,True,36915
4,1,1024,4,8,2,4,32,64,1024,58.79808044433594,True,38678
4,512,1024,256,4,2,1,32,512,1024,2147483648.0,False,51427
8,2,32,256,32,64,2,8,8,512,2.998271942138672,True,53462
4,256,256,8,16,2,256,4,256,128,2147483648.0,False,64881
4,4,32,1024,8,64,4,4,8,8,266.8656616210937,True,66246
8,4,8,8,128,16,4,2,16,128,2.9849600791931152,True,69012
8,1,8,256,128,32,4,2,16,128,4.558847904205322,True,72051
8,4,8,8,128,32,16,2,16,128,7.815167903900146,True,74146
4,64,512,8,8,8,4,2,16,128,1020.8409423828124,True,85506
8,8,8,8,128,32,4,2,16,128,6.821887969970703,True,88479
8,4,8,8,256,16,8,2,16,128,2.92249608039856,True,90881
16,4,8,8,256,16,4,1,16,64,10.810367584228516,True,95006
8,4,8,8,128,32,4,2,16,128,2.974720001220703,True,97268
8,4,8,8,256,16,8,2,16,64,5.752831935882568,True,99644
8,4,8,16,256,16,16,4,32,256,3.3720319271087646,True,101500
8,4,8,8,256,16,4,1,16,32,16.116735458374023,True,106187
8,4,8,4,256,32,4,1,8,128,8.329216003417969,True,110247
32,16,128,128,32,32,2,64,8,128,452.3335571289063,True,113374
4,4,8,4,512,2,8,1,16,1,807.9063110351562,True,117674
4,1,64,4,4,128,16,1,128,256,162.65830993652344,True,121403
8,8,32,16,16,1,2,1,4,2,1224.806396484375,True,124823
16,4,8,4,256,16,8,2,16,128,3.769344091415405,True,127466
8,4,8,8,128,64,4,2,16,128,2.969599962234497,True,129785
8,4,8,4,256,16,8,1,16,128,9.570303916931152,True,132472
16,4,8,8,512,8,8,2,16,128,5.360640048980713,True,134796
8,4,8,8,256,16,8,1,16,8,58.51852798461914,True,136810
128,16,32,8,128,16,8,2,16,128,2147483648.0,False,148829
8,4,8,8,128,32,8,2,16,128,4.324351787567139,True,150751
4,64,256,8,16,8,8,2,16,128,529.448974609375,True,155660
4,4,4,128,8,512,8,1,32,1,2678.214599609375,True,159873
8,8,512,16,16,1,2,64,32,512,5.345280170440674,True,161965
8,128,256,8,8,16,2,1,2,16,2147483648.0,False,174258
4,16,1024,256,8,2,8,4,256,4,26.819583892822266,True,184777
8,8,8,8,256,16,8,2,16,128,10.141695976257324,True,188160
16,4,8,4,256,16,8,2,16,128,3.773439884185791,True,190545
16,8,16,4,128,32,8,2,16,128,4.188159942626953,True,193065
8,4,4,4,256,32,4,1,8,128,12.510208129882812,True,196537
8,4,8,16,64,32,4,2,32,512,1.2492799758911133,True,198717
4,4,16,4,64,8,1,2,4,32,36.20454406738281,True,205210
4,4,8,8,8,128,4,2,16,128,20.09600067138672,True,207847
8,4,8,8,128,32,8,2,16,128,4.323328018188477,True,209812
8,1,4,1024,8,512,1,1,1,32,532.4482421875,True,211518
4,32,64,1024,16,32,4,2,32,512,3.6536319255828857,True,213928
8,4,8,16,64,32,4,32,32,512,3.9147520065307617,True,215705
8,8,16,16,32,32,16,64,32,512,156.71910095214844,True,217081
8,2,8,256,32,128,1,2,4,32,51.3177604675293,True,218901
8,4,8,16,64,32,4,2,64,512,1.1284480094909668,True,220429
8,4,8,16,64,32,4,2,32,512,1.2492799758911133,True,222509
8,4,8,32,64,32,4,2,32,512,1.252351999282837,True,224117
8,1,4,4,128,32,1,1,1,1,2147483648.0,False,235253
8,8,16,16,32,32,4,2,64,128,1.1632640361785889,True,237104
8,4,8,8,64,32,4,2,64,512,1.2759040594100952,True,239476
8,8,8,16,64,32,4,2,64,512,3.8645761013031006,True,242669
8,2,8,8,64,32,4,1,4,8,276.4011535644531,True,244508
8,4,8,16,64,32,4,2,64,1024,1.1274240016937256,True,246262
8,4,8,32,64,32,4,2,64,256,1.1233279705047607,True,248189
8,4,8,16,64,32,4,2,64,256,1.1284480094909668,True,250501
8,4,8,16,64,32,4,2,64,256,1.1284480094909668,True,252536
8,8,8,32,64,32,4,8,64,1024,3.78060793876648,True,255007
8,8,16,64,32,32,4,2,64,256,1.2369920015335083,True,257091
16,4,8,32,64,32,4,2,64,128,1.334272027015686,True,258824
8,4,8,32,64,32,4,2,64,256,1.1233279705047607,True,260198
8,4,8,64,32,64,4,2,64,256,1.5964159965515137,True,261759
8,16,16,32,32,8,4,1,64,256,2.598912000656128,True,263647
16,4,8,64,64,16,2,4,16,256,3.644416093826294,True,265556
8,8,8,64,64,64,4,2,64,256,2.7944960594177246,True,267460
8,4,8,32,64,32,2,2,64,256,2.32857608795166,True,269474
8,4,8,32,128,32,4,2,64,256,1.70905601978302,True,271800
8,4,8,32,64,16,4,2,32,256,1.265663981437683,True,273895
8,2,16,4,128,64,4,32,32,1024,0.9226239919662476,True,276022
8,4,8,16,256,16,4,2,32,256,2.2650880813598637,True,278865
4,8,8,32,16,32,2,2,64,64,5.573631763458252,True,280747
8,4,8,64,32,64,4,2,32,1024,1.7356799840927124,True,282339
8,1,8,4,512,8,4,128,128,1024,30.230527877807617,True,286130
8,2,16,4,128,64,4,32,32,1024,0.9226239919662476,True,288066
8,2,16,4,128,64,4,32,32,1024,0.9215999841690063,True,289883
8,1,16,4,128,64,4,32,32,1024,1.0004479885101318,True,291783
4,1,128,1024,4,64,1,4,4,1024,88.25856018066406,True,293760
8,2,16,4,128,64,4,32,32,1024,0.9226239919662476,True,295564
8,2,16,4,128,64,4,4,32,1024,1.784832000732422,True,297609
8,2,64,4,64,32,4,16,32,1024,1.1448320150375366,True,300010
8,2,64,256,8,64,1,4,8,256,13.89465618133545,True,303294
8,2,16,4,128,64,4,32,32,1024,0.9226239919662476,True,305075
8,2,64,4,64,64,4,32,32,1024,0.7106559872627258,True,306728
8,2,16,4,128,64,4,64,32,1024,1.5022079944610596,True,308612
4,1,4,4,4,32,8,1,32,128,81.89746856689453,True,310227
8,2,64,4,64,64,4,32,64,512,0.4167680144309997,True,312264
8,2,64,4,64,64,4,32,32,1024,0.7096319794654846,True,314205
8,2,64,8,64,64,2,32,16,1024,0.7444480061531067,True,316349
4,4,256,4,16,16,16,16,64,512,28.3002872467041,True,318365
16,2,64,4,64,64,4,32,64,512,0.4874239861965179,True,320335
16,2,64,4,128,16,8,16,64,512,1.070080041885376,True,322140
16,2,64,4,64,64,2,32,4,512,3.3679358959198,True,324556
4,1,8,8,8,64,4,2,16,128,22.8986873626709,True,327884
8,2,64,4,32,64,4,32,64,256,1.0219520330429075,True,329890
8,2,64,4,64,64,4,32,64,512,0.4167680144309997,True,331693
8,2,64,4,64,64,4,32,64,512,0.4167680144309997,True,333387
4,8,64,128,4,128,1,16,128,1024,4.814847946166992,True,335664
8,2,64,4,64,64,16,16,32,1024,5.099520206451416,True,337927
8,2,64,4,64,64,8,16,64,512,1.137663960456848,True,339550
8,2,64,8,64,64,4,32,64,256,0.5406720042228699,True,341000
4,4,32,64,8,128,2,8,32,512,1.803264021873474,True,342339
8,1,64,4,64,64,8,16,64,1024,1.3905919790267944,True,344076
4,2,64,4,32,64,4,32,64,512,0.5898240208625793,True,345786
8,1,128,4,32,32,4,32,64,512,1.0547200441360474,True,347637
128,1,8,4,512,8,1,1,32,1024,2147483648.0,False,363151
4,2,64,4,32,64,8,16,64,512,1.656831979751587,True,365149
8,2,64,4,64,64,4,32,32,1024,0.7106559872627258,True,366733
4,2,128,4,16,64,4,64,64,512,0.9349120259284972,True,368229
4,4,32,256,8,64,4,8,16,32,31.41427230834961,True,369264
8,2,64,4,64,64,4,32,64,512,0.4167680144309997,True,371179
8,2,64,4,64,64,2,16,16,128,3.130367994308472,True,373403
16,2,64,4,128,16,8,16,64,512,1.0711040496826172,True,375251
4,4,4,8,1024,2,1,32,1,128,2147483648.0,False,390695
8,2,64,4,32,64,4,32,64,512,0.5591040253639221,True,392797
8,2,64,8,64,64,8,16,64,512,0.8417279720306396,True,394444
8,2,64,4,64,64,4,8,64,512,1.117184042930603,True,396696
8,2,32,8,8,128,8,2,64,256,18.559999465942383,True,399551
8,2,32,4,32,128,4,32,64,512,0.7813119888305664,True,401245
8,2,64,4,128,16,4,64,64,512,1.7244160175323486,True,403191
8,1,64,4,64,64,8,16,128,128,1.269760012626648,True,405261
4,8,64,4,16,32,16,8,128,1024,6.649856090545654,True,407742
8,2,64,4,64,64,4,32,64,512,0.4167680144309997,True,409269
8,2,64,4,64,64,4,32,64,512,0.4167680144309997,True,410899
8,1,64,4,64,64,8,16,128,512,1.1407359838485718,True,412417
4,4,32,8,32,32,8,8,64,512,0.9256960153579712,True,413833
8,2,64,4,64,64,4,32,64,512,0.4167680144309997,True,415521
8,2,64,4,64,64,4,64,64,512,0.9533439874649048,True,417163
8,2,64,4,64,64,4,32,32,512,0.7055360078811646,True,419017
4,1,32,1024,4,256,512,2,512,1024,359.3451538085937,True,420993
16,2,64,4,128,16,2,32,64,512,1.1489280462265017,True,423129
8,2,32,4,64,32,4,16,64,512,0.4505600035190582,True,425308
8,2,32,4,64,64,4,32,32,512,1.2369920015335083,True,427414
4,4,16,8,64,16,1,2,8,64,166.96627807617188,True,436816
8,2,64,4,64,64,4,32,64,512,0.4167680144309997,True,438686
8,4,64,4,32,64,4,16,64,512,0.9031680226325988,True,440281
8,1,64,4,64,64,4,32,64,512,0.5519359707832336,True,442001
8,2,16,4,64,64,4,16,32,1024,0.796671986579895,True,444132
8,2,8,8,64,64,4,8,32,1024,1.3312000036239624,True,446496
8,2,16,16,32,128,2,16,32,1024,1.171455979347229,True,448603
8,2,8,4,128,64,4,8,16,512,1.903615951538086,True,450521
8,2,16,32,64,128,2,16,16,1024,1.6220159530639648,True,453298
8,2,32,32,32,128,2,16,16,512,1.0178560018539429,True,455828
8,2,16,4,32,128,4,8,32,512,1.1284480094909668,True,457923
8,1,8,4,32,128,4,8,32,512,1.5380480289459229,True,460038
8,2,64,4,64,64,4,32,32,1024,0.7106559872627258,True,462171
8,2,64,4,64,64,4,64,64,256,1.6721919775009155,True,464211
8,2,64,4,128,16,4,32,16,512,0.9297919869422911,True,466215
8,2,64,4,64,64,4,32,32,256,1.1878399848937988,True,468129
4,1,1024,32,8,2,16,1,1024,1,2147483648.0,False,478147
64,64,128,4,64,2,1,2,2,16,2147483648.0,False,491917
4,16,32,16,32,128,8,32,32,256,50.06745529174805,True,493354
16,2,32,64,64,16,32,1,1024,64,7.759871959686279,True,498259
8,2,64,4,64,64,4,32,64,512,0.4167680144309997,True,500043
8,2,64,8,32,64,4,8,16,256,4.677631855010986,True,502782
8,2,64,4,128,16,4,32,64,512,0.7034879922866821,True,505076
8,2,32,4,128,32,4,32,64,512,1.21343994140625,True,507264
8,2,16,32,32,64,4,16,16,256,3.945472002029419,True,509452
4,2,16,4,128,32,1,8,8,256,6.959104061126709,True,513161
16,2,32,4,64,64,2,32,32,512,0.963584005832672,True,515089
8,2,128,4,32,32,4,64,32,512,1.0424319505691528,True,516970
4,8,64,4,16,128,4,16,64,512,1.6640000343322754,True,518772
16,1,64,4,64,64,4,32,64,512,0.796671986579895,True,520914
4,2,64,4,64,64,4,32,64,512,0.439296007156372,True,522784
8,2,64,4,32,64,4,32,32,512,1.0219520330429075,True,524885
8,1,16,64,16,256,32,8,128,1024,8.39577579498291,True,527396
8,1,64,64,64,64,4,32,64,512,0.5099520087242126,True,529396
8,2,64,4,32,64,4,32,64,512,0.5601279735565186,True,531758
