tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
32,64,64,32,32,4,32,2,256,1024,2147483648.0,False,0
4,8,64,32,16,2,1,32,256,512,3.773439884185791,True,2508
4,1,64,1024,128,16,2,64,128,256,6.278143882751465,True,7129
8,2,128,512,32,8,2,8,64,256,2.440191984176636,True,10436
8,64,128,4,16,8,4,16,256,128,70.7747802734375,True,14958
64,4,16,4,256,2,1,512,1,512,2147483648.0,False,26623
256,2,8,8,512,1,32,1,512,1,2147483648.0,False,39542
16,1,32,1024,128,32,4,1,1024,128,10.588159561157228,True,48354
4,1,128,8,8,64,2,2,256,256,17.102848052978516,True,53565
8,2,32,16,64,4,1,512,1,512,432.9953308105469,True,55966
8,64,128,16,64,2,512,2,512,64,325.5101318359375,True,60727
4,2,16,32,16,2,4,8,256,256,1.0762239694595337,True,62455
4,4,4,8,512,2,2,2,64,4,1157.51318359375,True,73919
16,1,16,8,256,16,4,2,256,2,457.248779296875,True,79225
4,32,32,128,4,64,16,1,128,1,679.8653564453125,True,81590
8,16,128,256,16,64,128,4,1024,8,326.9836730957031,True,84372
64,32,64,16,64,4,1,512,32,1024,2147483648.0,False,96821
16,4,32,4,32,64,1,1,1,32,129.080322265625,True,103769
16,16,16,512,128,64,4,64,16,1024,17.24518394470215,True,109815
4,4,4,4,4,1024,2,8,16,1024,19.88096046447754,True,112323
8,2,128,256,16,32,2,1,64,32,14.387200355529783,True,120819
4,32,64,32,128,2,64,8,64,512,103.60934448242188,True,122545
64,16,128,1024,64,16,1,32,1,32,2147483648.0,False,134021
32,2,16,8,128,64,1,512,512,1024,37.37190246582031,True,136625
8,64,256,8,8,16,16,2,64,4,1694.2418212890625,True,143257
4,16,16,8,4,1,64,2,256,64,101.15583801269533,True,144803
8,1,4,32,16,128,16,4,64,128,16.310272216796875,True,147377
8,16,256,64,32,1,32,16,1024,256,123.01618957519533,True,149344
32,16,128,32,32,8,256,4,1024,256,328.0865173339844,True,154021
64,4,32,8,128,2,4,256,512,512,128.4679718017578,True,156851
256,2,8,4,256,1,128,1,128,1,2147483648.0,False,169733
32,4,64,8,32,2,2,16,2,128,37.019649505615234,True,171263
64,2,4,16,1024,4,1,16,32,32,2147483648.0,False,183782
32,8,128,256,32,2,1,2,1,64,2147483648.0,False,196243
8,8,16,8,16,64,4,128,8,256,175.71839904785156,True,197823
16,1,64,4,64,32,1,8,16,16,51.5676155090332,True,202019
8,4,8,8,16,1,4,1,64,32,33.67424011230469,True,203607
16,8,256,128,16,4,8,1,512,16,2147483648.0,False,218125
4,16,1024,1024,8,1,32,32,512,64,158.62477111816406,True,220130
