tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
4,8,1024,16,4,1,32,2,32,2,2147483648.0,False,0
16,2,4,8,512,16,1,1,16,2,2147483648.0,False,12760
4,16,64,64,32,2,2,8,2,16,309.9555969238281,True,15575
4,4,8,32,256,32,8,2,8,256,3.481600046157837,True,17984
16,8,512,64,16,2,2,1,16,32,2147483648.0,False,37012
4,1,64,1024,4,32,1,1,128,1024,24.745983123779297,True,46151
256,2,8,8,1024,2,32,32,512,64,2183.645263671875,True,53137
8,2,32,8,256,8,1,8,64,32,2147483648.0,False,65042
4,128,512,64,4,4,4,4,512,16,39.63289642333984,True,68331
32,8,64,1024,64,32,8,64,32,1024,16.23859214782715,True,72630
16,64,64,256,128,16,2,8,1024,32,2147483648.0,False,86589
16,4,4,8,64,4,1,16,128,32,144.02047729492188,True,89218
4,16,64,16,32,32,1,1,1,1,2147483648.0,False,101897
4,32,512,8,8,2,128,1,128,4,2147483648.0,False,114413
4,2,128,4,4,8,4,2,16,8,908.921875,True,118507
4,32,512,4,4,16,16,2,64,32,2101.747802734375,True,125131
4,4,8,64,4,64,128,4,128,512,39.03488159179688,True,126714
4,4,4,64,8,32,1,4,2,64,206.61964416503903,True,128740
4,1,256,8,4,32,4,32,512,256,1.6486400365829468,True,131654
64,2,32,32,256,4,64,8,64,32,314.2686767578125,True,134352
16,4,4,4,128,32,1,2,2,16,317.1983337402344,True,138977
16,512,512,8,16,2,1,1,16,8,2147483648.0,False,148989
8,32,512,256,8,1,128,1,1024,256,2147483648.0,False,163706
8,2,8,32,128,4,2,128,4,128,445.770751953125,True,166261
512,1,4,8,1024,2,8,8,64,8,2147483648.0,False,177446
8,8,1024,256,8,1,8,16,64,256,162.65420532226562,True,180359
4,4,1024,4,4,1,2,64,4,256,224.28466796875,True,182272
4,32,1024,64,4,1,8,4,32,128,788.727783203125,True,187658
16,1,128,256,16,4,1,2,1,4,2147483648.0,False,199499
8,32,256,64,16,4,4,1,128,64,2147483648.0,False,212013
4,2,4,64,4,1024,16,16,32,32,885.148681640625,True,214260
32,16,256,128,32,2,2,4,512,8,151.44447326660156,True,224068
16,2,4,4,16,512,8,1,32,2,1543.6759033203125,True,227490
32,2,16,16,32,4,2,1,8,1,1228.8521728515625,True,233195
64,1,16,128,256,16,1,16,1,1024,22.56998443603516,True,237421
4,4,32,16,32,32,128,2,1024,64,5.86956787109375,True,239664
256,2,4,4,512,2,1,2,1,256,307.3894348144531,True,249729
4,4,64,16,16,16,4,1,256,512,6.986752033233643,True,253742
4,1,4,16,256,16,2,1,16,1,2147483648.0,False,264998
4,2,64,64,16,8,1,1,1,4,2147483648.0,False,276870
16,64,512,512,16,4,2,16,2,512,1093.2664794921875,True,283180
4,64,256,4,4,8,8,2,512,2,276.7728576660156,True,286399
8,1,16,8,64,1,2,4,8,16,76.64435577392578,True,287825
8,32,128,256,32,2,32,2,128,32,243.93624877929688,True,292769
8,2,64,8,8,128,16,4,1024,64,6.945792198181152,True,295246
4,64,256,128,4,1,1,2,2,16,934.1829223632812,True,299971
4,16,512,8,4,4,1,8,1,32,1319.4383544921875,True,303296
4,32,64,512,4,8,32,32,512,128,117.38623809814452,True,304964
4,64,512,4,16,2,64,1,64,2,2147483648.0,False,317577
4,2,16,64,128,32,8,4,64,256,0.5662720203399658,True,319723
128,4,64,8,128,2,1,2,1,2,2147483648.0,False,334064
4,4,1024,4,8,2,4,16,16,64,238.5193023681641,True,337109
4,2,4,8,32,2,1,2,16,8,90.63629150390624,True,339014
4,256,1024,128,4,4,8,16,1024,128,71.04716491699219,True,345283
4,2,8,4,4,32,1,64,256,64,8.18995189666748,True,348252
4,2,256,32,8,32,16,1,512,2,2147483648.0,False,360328
4,16,128,32,8,64,4,1,128,1,125.06111907958984,True,364218
8,2,8,32,64,8,64,1,512,2,87.72300720214844,True,365834
4,64,256,128,4,4,1024,1,1024,32,2147483648.0,False,377346
4,32,256,16,8,8,512,1,512,256,1730.166748046875,True,387151
8,4,512,16,8,2,4,4,16,8,242.16677856445312,True,393116
8,8,64,16,8,2,4,8,4,256,57.53753662109375,True,394564
4,2,32,8,4,32,4,2,256,2,125.3232650756836,True,396294
8,32,128,16,16,32,2,64,8,512,105.4207992553711,True,398596
32,32,64,16,32,32,8,1,256,1,2147483648.0,False,411006
32,2,8,16,256,4,512,1,1024,1,870.530029296875,True,414425
4,1,4,4,16,16,32,2,512,2,324.8291931152344,True,415873
4,8,32,4,256,1,1,4,1,16,2147483648.0,False,428402
4,2,64,8,4,4,16,2,32,2,3162.625,True,433825
4,4,256,256,8,1,2,2,16,8,201.8723907470703,True,437686
4,32,64,4,16,1,16,1,16,1,6152.912109375,True,446518
16,32,32,64,16,8,1,4,16,512,148.20045471191406,True,450962
4,32,256,512,8,8,8,64,16,512,160.82943725585938,True,452885
4,512,512,32,8,2,1,16,1,16,2147483648.0,False,468579
256,1,4,4,512,16,2,64,4,1024,98.19852447509766,True,471720
8,8,8,4,1024,1,128,8,256,1024,163.9772186279297,True,473539
4,8,16,128,32,16,2,2,2,256,20.911104202270508,True,476596
4,4,16,64,8,64,16,1,64,1,1032.748046875,True,479246
8,2,512,1024,16,2,1,16,1,1024,1068.041259765625,True,484917
4,64,512,64,8,4,1,4,2,4,2147483648.0,False,496408
8,1,128,256,8,4,64,1,128,512,2147483648.0,False,508415
8,128,128,32,8,8,8,2,16,8,2767.825927734375,True,517286
8,512,1024,32,8,1,4,1,256,1,2147483648.0,False,527300
8,2,8,4,8,8,1,1,1,256,84.78924560546875,True,528804
4,64,256,512,4,4,8,1,32,1,2147483648.0,False,540377
64,1,16,8,512,2,8,128,128,256,259.9792785644531,True,542115
64,2,4,4,128,2,2,4,2,256,43.2988166809082,True,544293
8,32,512,64,8,4,128,1,512,8,2147483648.0,False,558670
4,64,1024,128,8,2,8,64,32,256,554.2645874023438,True,561849
4,64,1024,64,8,2,1,16,2,16,643.6649169921875,True,566008
