tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
32,1,4,32,512,8,64,2,512,4,305.5482788085937,True,0
8,16,64,32,32,1,4,16,128,1024,25.840639114379883,True,1593
4,2,16,32,32,64,2,4,256,16,7.917568206787109,True,3598
4,2,16,32,8,16,4,1,128,8,24.009727478027344,True,6696
16,128,128,16,16,16,2,32,128,1024,2147483648.0,False,18890
4,16,32,64,16,8,256,2,1024,16,45.56083297729492,True,20139
4,16,16,32,64,32,16,2,256,32,3.773439884185791,True,22265
32,4,4,32,64,16,128,4,256,1024,38.977535247802734,True,23767
8,8,64,16,64,16,32,1,32,4,216.22579956054688,True,27374
8,4,256,4,8,16,1,1024,1,1024,120.14899444580078,True,28593
16,64,128,8,32,2,1,8,64,64,2147483648.0,False,40743
4,8,8,8,16,1,1,4,32,32,53.41081619262695,True,42269
4,16,128,128,4,2,16,4,64,8,179.88198852539062,True,43830
4,32,128,16,8,2,64,16,64,32,2168.076171875,True,47459
8,2,32,128,32,4,1,4,4,32,57.97478485107422,True,49924
4,16,16,4,64,1,2,1,2,2,1688.079345703125,True,54807
4,4,4,32,8,64,1,512,16,1024,197.18348693847656,True,56147
8,2,16,8,16,2,32,1,64,1,2640.294921875,True,60357
8,128,128,1024,16,64,2,32,64,32,2147483648.0,False,71775
4,1,32,16,16,8,4,8,64,64,2.042880058288574,True,73200
32,8,256,64,32,4,32,32,32,512,581.8859252929688,True,75651
8,2,32,8,16,64,1,128,16,1024,3.66592001914978,True,77390
8,8,16,4,16,4,512,1,1024,8,387.0310363769531,True,79214
128,2,8,32,256,4,1,4,4,128,29.947904586791992,True,82517
4,4,128,8,32,8,128,2,1024,256,31.885311126708984,True,85645
8,1,64,128,16,128,8,1,8,32,199.478271484375,True,91185
8,1,64,256,32,8,2,1,32,256,32.53862380981445,True,102483
8,32,32,16,64,8,128,4,128,256,57.820159912109375,True,104884
32,4,16,4,128,1,128,2,512,256,118.82701110839844,True,107239
4,8,64,8,64,1,32,2,512,64,146.1678009033203,True,108823
64,2,32,128,256,4,1,4,32,4,2147483648.0,False,121345
