tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
64,8,16,512,128,64,64,1,128,2,2147483648.0,False,0
128,16,16,64,128,4,16,16,512,32,2147483648.0,False,12527
4,32,256,32,16,2,4,128,64,128,61.94790267944336,True,17843
8,64,256,64,8,8,128,8,1024,64,214.8239288330078,True,32016
16,1,16,16,16,2,2,4,16,64,20.794368743896484,True,34916
4,32,256,128,16,2,1,128,64,128,17.069055557250977,True,40427
8,64,128,256,16,16,1,32,1024,128,62.23769760131836,True,54782
16,1,8,8,128,1,4,4,128,128,6.941696166992188,True,56737
16,1,8,8,128,1,1,4,512,128,22.743040084838867,True,60036
8,1,8,8,64,1,4,8,512,1024,1.8053120374679563,True,61575
16,1,8,8,128,1,4,4,128,128,6.941696166992188,True,63399
16,1,8,16,128,2,4,4,128,128,2.756608009338379,True,65235
128,4,32,32,256,4,2,1,64,256,2147483648.0,False,79759
16,16,128,16,64,2,32,16,32,512,395.5271606445313,True,82318
16,16,16,128,16,128,1,64,1024,64,71.1905288696289,True,88331
4,8,8,4,8,512,128,8,512,16,451.2522277832031,True,89903
128,8,8,16,128,4,4,16,512,256,296.2944030761719,True,94761
8,128,256,1024,32,8,32,8,512,256,2147483648.0,False,106135
8,8,32,4,32,128,4,2,32,128,6.878208160400391,True,108347
512,2,4,8,512,8,1,32,16,32,2147483648.0,False,120084
8,2,8,16,64,4,4,8,512,1024,6.074368000030518,True,122034
8,1,8,8,64,1,4,4,512,1024,1.903615951538086,True,123608
8,1,8,8,64,1,4,16,512,1024,10.890239715576172,True,125735
8,1,8,8,64,1,2,32,512,1024,12.134400367736816,True,127824
8,4,32,16,64,1,4,8,512,1024,1.1550719738006592,True,129420
8,1,8,8,64,1,4,4,512,128,4.4615678787231445,True,131145
8,1,8,8,64,1,4,4,512,32,15.426560401916504,True,133400
8,2,128,64,32,1,8,4,16,1024,161.23289489746094,True,135814
8,4,32,16,64,1,64,2,512,512,131.53587341308594,True,137519
8,4,32,16,64,1,16,4,512,1024,89.91436767578125,True,143768
4,8,512,128,8,1,4,16,512,1024,15.67846393585205,True,146477
16,4,32,16,64,1,4,8,512,1024,1.1970560550689695,True,148445
32,4,128,32,64,16,2,8,2,32,167.79161071777344,True,151925
8,2,4,16,8,512,8,2,256,8,58.5533447265625,True,156597
32,2,32,32,256,8,1,4,4,256,2147483648.0,False,169140
