tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
8,32,64,128,8,16,32,2,32,8,663.7854614257812,True,0
4,2,128,512,4,64,8,1,64,2,347.905029296875,True,5910
128,1,4,16,128,4,8,8,1024,8,167.0277099609375,True,7531
16,4,128,128,16,32,2,2,512,2,104.52582550048828,True,12065
16,16,128,128,16,32,2,2,512,2,173.44204711914062,True,16998
4,4,128,32,4,32,2,2,512,2,22.399999618530277,True,21034
16,4,128,128,16,32,2,1,512,2,2147483648.0,False,33518
16,4,128,1024,16,8,128,2,512,2,2095.888427734375,True,40268
16,8,64,128,128,2,128,1,512,256,67.57990264892578,True,47525
16,16,64,4,16,128,128,1,1024,512,2147483648.0,False,58923
4,4,1024,16,8,2,16,2,512,2,2147483648.0,False,71646
32,2,4,1024,32,256,64,8,128,8,949.3616943359376,True,73727
4,4,128,32,4,8,1,2,512,2,27.166719436645508,True,77098
4,2,256,32,4,16,4,2,512,2,46.25920104980469,True,86166
8,2,64,32,8,32,4,1,512,1,63.73273468017578,True,90807
8,2,64,32,8,32,1,4,256,8,7.383039951324463,True,93422
8,2,64,16,8,64,2,4,256,8,7.450623989105225,True,95489
8,2,64,32,8,32,1,4,256,8,7.383039951324463,True,97521
8,2,32,32,8,128,1,4,256,8,8.088576316833496,True,100027
8,2,64,32,8,32,2,4,256,8,5.31660795211792,True,102496
8,2,64,32,8,64,2,4,256,8,5.289984226226807,True,104813
8,2,64,32,8,32,2,2,256,8,13.614080429077148,True,108287
4,2,64,32,4,32,2,4,256,8,10.1212158203125,True,111058
8,2,64,16,8,32,2,4,256,8,7.478271961212158,True,113619
8,2,64,32,8,64,2,4,256,8,5.289984226226807,True,115901
8,2,64,32,8,64,16,4,512,8,20.543487548828125,True,119147
4,2,128,32,4,16,16,2,1024,8,17.699840545654297,True,124984
8,2,64,32,8,64,4,4,512,8,6.18393611907959,True,127372
8,16,64,32,16,64,2,4,256,8,4.863999843597412,True,129475
