tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
16,2,64,32,64,64,8,64,1024,256,2.293760061264038,True,0
4,64,1024,64,8,1,1,1024,16,1024,79.82592010498047,True,9694
8,1,4,4,32,256,128,1,1024,8,94.35648345947266,True,16151
4,4,128,64,8,4,8,32,64,64,34.39206314086914,True,19398
16,1,256,4,16,1,128,1,1024,256,2147483648.0,False,36344
16,2,64,32,64,8,8,8,1024,256,5.9555840492248535,True,38854
4,32,256,32,32,2,4,64,32,256,13.298687934875488,True,42319
16,2,64,32,64,64,8,64,1024,256,2.2947840690612797,True,43855
4,8,32,4,4,8,128,8,512,16,663.2581176757812,True,45807
8,1,256,4,8,2,1,4,1,128,761.4719848632812,True,51894
4,8,64,512,16,16,1,16,32,16,35.42220687866211,True,55956
32,2,4,128,128,64,16,1,256,1,258.16064453125,True,57835
8,2,16,32,256,2,32,4,128,32,5.42412805557251,True,59628
16,4,4,8,512,16,1,8,64,32,2147483648.0,False,72041
32,64,64,128,32,2,16,16,16,1024,2147483648.0,False,84181
4,32,128,8,8,64,8,2,128,64,24.23705673217773,True,88066
16,2,64,32,64,64,8,64,1024,256,2.2947840690612797,True,89698
16,2,64,32,64,64,8,64,1024,512,1.1755520105361938,True,91088
16,2,64,32,64,64,16,16,1024,32,4.921343803405762,True,92869
16,2,64,32,64,64,8,64,512,256,2.2865920066833496,True,94397
16,2,64,32,64,64,8,64,1024,512,1.1745280027389526,True,95930
16,2,64,32,64,64,2,128,256,512,2.2312960624694824,True,97517
16,64,64,32,64,64,8,32,1024,64,2147483648.0,False,108867
8,2,64,32,64,64,8,64,1024,512,0.8232960104942322,True,110338
8,2,64,32,64,64,8,64,1024,512,0.826367974281311,True,111785
8,2,64,32,64,64,8,64,1024,512,0.8232960104942322,True,113371
8,2,64,32,32,64,8,64,1024,512,1.0024960041046145,True,114738
32,1,8,32,128,64,8,64,1024,512,8.09984016418457,True,116588
8,2,64,32,128,16,8,64,1024,512,3.107840061187744,True,118300
8,2,64,32,32,64,8,64,512,512,1.0035200119018557,True,119728
8,16,64,32,64,64,8,2,1024,512,1.7151999473571775,True,122013
8,2,64,32,64,64,4,128,16,1024,1.5155199766159058,True,123646
8,2,64,32,64,64,4,128,32,1024,0.7659519910812378,True,125155
8,2,32,32,128,32,8,64,1024,512,2.052095890045166,True,126699
4,2,64,32,16,128,16,16,1024,32,1.8483200073242188,True,128338
8,2,64,32,64,32,8,64,1024,512,1.1130880117416382,True,129953
8,2,64,32,64,64,4,128,32,1024,0.7659519910812378,True,131580
8,2,64,32,64,16,4,128,8,1024,5.184512138366699,True,133528
8,2,64,32,32,64,4,128,32,1024,1.1519999504089355,True,135383
8,1,64,32,64,16,4,128,32,1024,1.1980799436569214,True,136898
8,4,64,32,64,64,8,1,32,1024,11.198464393615724,True,141307
32,2,64,32,64,8,4,128,32,1024,2.68287992477417,True,143205
8,2,64,32,64,8,4,8,32,16,6.583295822143555,True,145747
8,2,64,512,32,32,4,128,128,1024,0.8017920255661011,True,147342
4,2,256,1024,32,4,64,1,256,32,86.77273559570312,True,157886
4,32,64,4,32,8,4,16,256,32,10.025983810424805,True,161095
4,128,256,1024,8,4,1,32,512,256,101.18553924560548,True,172104
32,2,64,512,128,16,4,8,512,1024,3.8707199096679688,True,174599
8,2,64,32,64,64,4,128,32,1024,0.7659519910812378,True,176236
8,2,64,32,64,16,4,128,32,1024,1.3189120292663574,True,178075
8,2,64,32,64,64,2,128,4,1024,5.560319900512695,True,179974
8,16,64,32,32,64,4,128,32,1024,14.232576370239258,True,182624
4,1,4,16,128,64,4,128,32,1024,12.463104248046877,True,184880
32,2,64,1024,64,64,4,8,32,1024,2.525183916091919,True,187657
8,2,64,32,64,64,4,16,32,32,5.294079780578613,True,189479
8,2,64,32,64,16,4,4,32,4,100.54144287109376,True,191711
8,2,64,32,64,64,4,128,32,1024,0.7659519910812378,True,193239
8,2,64,32,64,64,4,64,32,512,0.8212479948997498,True,194902
8,2,32,32,128,32,4,64,16,1024,1.4479360580444336,True,196627
8,2,64,32,64,64,4,128,32,1024,0.7659519910812378,True,198120
8,2,64,32,64,16,4,128,32,1024,1.3189120292663574,True,199804
8,2,64,32,64,64,4,8,32,16,9.534463882446287,True,202384
8,2,64,32,64,64,4,64,32,1024,0.6246399879455566,True,204092
4,32,64,32,64,64,4,128,32,1024,25.153535842895508,True,210191
8,2,64,32,64,64,1,128,32,1024,2.544640064239502,True,212266
8,1,64,16,32,64,4,64,128,1024,0.4085760116577148,True,213728
8,2,64,32,64,64,4,32,16,1024,0.7434239983558655,True,215489
64,2,64,32,64,64,4,64,32,1024,1.2718080282211304,True,217320
8,2,64,16,32,64,4,64,128,1024,0.3676159977912903,True,219054
8,1,64,16,32,64,1,128,128,512,2.0346879959106445,True,220859
4,1,64,16,4,128,4,64,128,1024,1.8503680229187007,True,222643
8,16,64,16,32,64,2,128,8,1024,9.139200210571287,True,225822
8,32,64,16,32,64,4,64,128,1024,16.151552200317383,True,229168
8,2,64,16,32,64,4,64,64,1024,0.447488009929657,True,230501
4,2,64,16,32,64,4,64,128,1024,0.3788799941539764,True,232162
8,2,64,16,32,64,1,64,1,256,43.25273513793945,True,233470
8,8,128,16,32,32,4,64,128,1024,0.7065600156784058,True,235263
4,2,64,16,8,128,4,64,128,1024,0.9328640103340148,True,236797
8,2,64,4,16,128,8,1,128,1,361.702392578125,True,241371
4,2,64,16,8,128,4,64,128,1024,0.9328640103340148,True,242823
8,1,4,16,64,128,4,64,128,1024,3.7959680557250977,True,244543
8,2,8,16,64,128,4,64,128,1024,1.9957760572433472,True,246182
64,2,8,16,128,64,32,4,128,1024,4.587520122528076,True,248347
8,2,64,16,32,64,4,32,128,1024,0.3583999872207641,True,249778
16,4,64,16,32,64,4,32,128,1024,0.5089280009269714,True,251488
8,2,64,16,32,64,4,256,128,1024,0.7956479787826538,True,253163
8,2,64,16,32,64,8,128,1024,512,1.1028480529785156,True,254814
8,2,64,16,32,64,4,2,64,1024,6.468607902526856,True,257836
8,2,64,16,32,64,8,32,128,256,1.0557440519332886,True,259404
4,2,64,16,8,128,1,64,2,1024,8.875007629394531,True,261194
8,2,64,16,32,64,4,1,128,1024,4.026368141174316,True,265833
16,32,64,16,32,64,4,32,128,1024,76.30847930908203,True,270593
32,2,64,16,32,64,4,32,128,1024,0.7045120000839233,True,272155
8,1,4,4,64,2,4,32,128,1024,7.431168079376221,True,274083
8,2,64,16,32,64,8,32,128,128,1.4981119632720947,True,275748
4,2,64,16,32,64,4,32,128,1024,0.3891200125217438,True,277140
8,2,64,1024,32,64,4,32,128,1024,0.4659200012683868,True,278858
8,2,16,16,64,128,4,32,128,1024,1.0106879472732544,True,280598
8,2,64,8,64,64,4,64,128,1024,0.5468159914016724,True,282081
8,4,128,16,32,32,8,32,128,1024,1.2001279592514038,True,283841
8,1,64,16,32,64,4,32,128,1024,0.4976640045642853,True,285495
8,2,64,8,32,4,4,8,128,1024,0.5990399718284607,True,287131
4,2,64,16,8,128,4,128,128,1024,0.9103360176086426,True,288754
8,32,64,8,32,2,2,64,4,1024,247.02566528320312,True,293533
8,2,64,16,128,16,16,16,128,1024,0.9564160108566284,True,295122
8,2,64,16,32,16,8,8,128,32,4.176896095275879,True,297091
8,2,32,8,64,2,4,32,128,1024,5.47430419921875,True,298923
8,2,64,16,32,64,2,64,4,512,8.592384338378906,True,300820
4,2,64,16,4,128,8,32,1024,128,2.382848024368286,True,302665
4,4,256,16,16,16,8,32,128,128,2.3009281158447266,True,304769
8,2,64,16,32,8,8,32,128,1024,3.3505280017852783,True,306604
8,2,64,16,64,64,16,16,128,1024,1.8657280206680296,True,308113
8,128,1024,1024,8,1,4,4,32,64,2147483648.0,False,320464
256,4,16,8,512,1,64,8,512,512,2147483648.0,False,331901
16,16,64,4,64,4,128,4,256,64,134.07437133789062,True,334485
8,8,256,1024,8,8,32,2,512,512,254.78451538085935,True,339330
4,2,64,16,32,64,32,8,64,1024,9.084927558898926,True,341405
8,2,64,16,128,16,4,32,128,1024,0.6420480012893677,True,342955
4,2,64,16,32,64,4,32,64,1024,0.5273600220680237,True,344501
4,8,64,16,16,128,4,8,16,1024,2.8866560459136963,True,346260
4,16,16,1024,32,64,4,2,16,32,20.627456665039062,True,349282
8,16,64,8,64,8,16,2,32,1024,27.62444877624512,True,353435
32,4,64,16,128,1,8,64,1024,512,48.7116813659668,True,355018
4,64,256,1024,8,16,1,128,64,1024,40.216575622558594,True,359597
32,2,64,16,32,64,4,32,128,1024,0.7045120000839233,True,361177
8,2,64,16,32,64,8,8,128,32,3.31878399848938,True,362869
8,2,64,16,32,64,4,32,16,1024,0.7608320116996765,True,364437
8,2,64,16,32,64,4,32,128,512,0.3031040132045746,True,365763
32,2,64,16,32,64,1,8,128,32,12.385279655456545,True,368748
8,2,64,8,32,64,8,2,128,128,6.245376110076904,True,371995
8,8,64,16,32,32,4,32,128,512,0.5457919836044312,True,373534
8,2,64,16,32,64,4,1,16,512,22.91200065612793,True,378799
8,2,64,16,32,64,1,64,32,512,1.0629119873046875,True,380465
4,2,64,16,16,128,8,32,128,128,2.049024105072021,True,381982
8,1,64,16,32,64,4,32,128,1024,0.4976640045642853,True,383364
8,2,64,16,32,64,8,32,128,256,1.0567679405212402,True,384863
8,2,64,256,32,64,2,64,128,512,1.1919360160827637,True,386553
4,2,64,8,8,4,4,32,128,512,2.47705602645874,True,388390
4,2,16,16,64,128,4,32,128,512,0.9379839897155762,True,389975
8,4,64,32,32,64,2,64,4,512,9.513983726501465,True,392061
8,2,32,16,64,64,8,32,1024,512,1.077247977256775,True,393580
16,2,64,16,32,64,1,64,128,512,1.5523840188980105,True,395435
8,2,64,16,32,64,8,32,128,512,0.7700480222702026,True,396849
4,4,512,16,8,8,8,8,128,32,16.692224502563477,True,401368
8,2,64,16,32,64,8,8,128,32,3.3177599906921387,True,403087
8,2,64,16,32,64,16,16,128,256,2.1770238876342773,True,404868
4,2,64,16,64,64,4,32,128,512,0.4679679870605469,True,406416
32,2,64,16,32,16,4,32,128,512,0.7301120162010193,True,408055
4,2,64,16,32,64,8,32,128,512,0.3829759955406189,True,409474
8,2,64,16,32,64,8,16,256,512,0.9564160108566284,True,411065
8,2,64,16,64,64,8,32,128,512,0.4464640021324157,True,412624
8,2,64,16,32,64,4,32,128,512,0.3031040132045746,True,413971
8,2,64,16,32,64,4,32,32,512,0.4956159889698028,True,415399
8,2,32,16,64,64,8,8,128,16,4.078591823577881,True,417118
4,2,64,16,16,128,4,4,128,512,2.530303955078125,True,419040
8,64,64,16,32,64,4,32,128,512,61.05292892456055,True,423662
8,4,64,16,128,16,4,32,128,512,1.5001599788665771,True,425773
4,2,64,16,8,128,4,256,128,512,2.7289600372314453,True,427456
4,2,64,16,128,16,4,32,128,512,0.7761920094490051,True,429405
8,2,64,16,32,64,8,32,128,512,0.7700480222702026,True,430935
8,2,4,16,256,16,1,8,1,512,51.21433639526367,True,435747
16,8,16,16,256,2,2,2,512,1024,46.76095962524414,True,444651
