tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
128,128,128,4,6.586368083953857,True,0
128,512,1,32,8.830975532531738,True,2983
512,1024,512,2,3.937279939651489,True,5400
4,1024,4,1,10.994688034057615,True,8175
64,4,16,2,121.86214447021484,True,9874
1024,256,8,4,2.5139200687408447,True,12192
128,256,16,2,2.579456090927124,True,14572
512,32,128,2,23.796735763549805,True,18028
1024,16,16,1,30.24691200256348,True,21819
1024,256,64,16,3.8041601181030273,True,24117
256,1024,2,4,2.233344078063965,True,26421
32,512,8,1,2.717695951461792,True,28706
32,256,16,32,7.292928218841553,True,31302
1024,512,1,32,10.152959823608398,True,34185
128,8,16,8,96.39730834960938,True,35709
8,64,1,8,62.65139389038086,True,41131
8,512,2,2,9.61228847503662,True,43802
2,128,1,16,147.5246124267578,True,45394
32,256,4,32,6.674431800842285,True,47919
32,512,32,32,3.9229440689086914,True,50314
512,1024,2,128,6.030335903167725,True,53047
128,32,16,4,24.07833671569824,True,56719
512,128,16,4,6.533120155334473,True,59631
64,4,4,1,89.46688079833984,True,61331
128,64,64,16,14.090239524841309,True,64508
32,512,16,4,3.5840001106262207,True,66911
16,32,1,2,58.08230209350586,True,72171
32,1024,1,256,5.295104026794434,True,74912
1,32,1,8,1034.8492431640625,True,77673
1024,128,4,8,4.496384143829346,True,80265
256,256,128,4,3.866624116897583,True,82781
64,16,1,16,33.43052673339844,True,86831
32,32,1,8,30.533632278442383,True,90719
64,4,8,4,124.63513946533205,True,92331
16,32,4,4,62.0871696472168,True,97961
256,512,128,4,2.0551679134368896,True,100390
256,1024,8,4,0.9277439713478088,True,102753
8,256,8,8,26.292224884033203,True,106546
8,256,1,64,29.92127990722656,True,110371
256,32,128,2,23.802879333496094,True,113952
64,256,32,32,3.834880113601685,True,116553
16,256,1,4,8.871935844421387,True,119404
1,32,1,1,939.556884765625,True,121936
512,64,8,64,13.716480255126951,True,125032
512,64,64,4,12.572671890258787,True,128226
1024,64,128,1,12.309503555297852,True,131252
4,1024,1,32,12.560383796691896,True,134241
128,8,8,2,59.226112365722656,True,139575
32,1024,8,16,2.070528030395508,True,142019
256,128,16,1,4.501503944396973,True,144607
16,4,16,2,490.2911987304688,True,146794
256,64,8,8,12.487680435180664,True,149605
1,256,1,1,137.6511993408203,True,151446
1024,4,128,2,183.64927673339844,True,153162
32,256,4,128,7.609344005584717,True,155870
16,512,1,1,12.841983795166016,True,159049
512,1024,256,1,1.1735039949417114,True,161475
128,1024,32,2,1.1683839559555054,True,163861
4,64,2,8,134.7420196533203,True,165552
512,4,512,2,187.19847106933597,True,167289
64,256,8,1,2.5907199382781982,True,169823
1024,128,512,2,6.215680122375488,True,172700
128,128,1,8,4.757503986358643,True,175197
32,16,2,16,68.6592025756836,True,181197
32,512,2,8,2.7443199157714844,True,183711
4,8,1,1,876.1251831054688,True,186145
32,512,2,256,4.570112228393555,True,188772
128,32,64,4,24.9804801940918,True,192439
1024,1024,128,4,1.8851840496063232,True,194831
512,128,2,2,6.319104194641113,True,197413
512,256,2,32,3.7068800926208496,True,199911
1024,8,2,8,63.42451095581055,True,205600
64,32,8,1,15.127552032470703,True,208762
1024,128,64,8,6.795263767242432,True,211490
16,1024,1,512,7.836671829223633,True,214153
128,1024,8,64,1.2195839881896973,True,216412
256,16,1,8,30.697471618652344,True,220136
64,512,1,4,3.8389759063720703,True,222800
2,256,2,32,112.52633666992188,True,224449
128,256,64,2,3.3904640674591064,True,226852
16,1024,1,4,5.145599842071533,True,229369
64,4,4,2,113.28102111816406,True,230989
64,1024,64,4,1.1448320150375366,True,233452
1024,1,512,1,609.343505859375,True,235514
512,256,2,8,2.79040002822876,True,238016
512,1024,4,16,1.2595200538635254,True,240310
64,128,2,16,4.972544193267822,True,242807
512,2,1,2,215.57554626464844,True,244759
256,64,8,2,8.196096420288086,True,247626
64,256,8,8,3.4457600116729736,True,250024
512,1024,4,4,1.6660480499267578,True,252545
256,512,16,64,2.187263965606689,True,254989
128,128,8,2,4.506624221801758,True,257685
64,64,16,4,12.233728408813477,True,260558
256,256,2,4,3.59116792678833,True,263104
512,256,8,1,3.0013439655303955,True,265517
1024,8,128,8,104.98969268798828,True,267136
1024,128,8,4,4.471807956695557,True,269731
2,128,2,4,132.5701141357422,True,271416
256,128,4,1,5.727231979370117,True,274005
64,2,32,1,230.94989013671875,True,275846
4,256,1,32,41.44742584228516,True,280349
256,1024,1,16,8.392704010009766,True,283085
128,32,1,8,16.41779136657715,True,286229
1024,16,1,1,37.46303939819336,True,290659
1024,16,4,8,33.13868713378906,True,294747
128,64,32,16,13.245439529418944,True,297806
8,256,4,32,27.504640579223636,True,301558
1024,32,2,8,16.159744262695312,True,304689
16,1024,2,2,4.863999843597412,True,307259
512,256,2,128,4.227071762084961,True,309834
1024,8,1,2,55.636993408203125,True,314954
128,128,4,8,4.603903770446777,True,317602
32,32,1,2,29.749248504638672,True,321407
64,512,2,512,3.836927890777588,True,323900
128,128,128,8,7.099391937255859,True,326574
1024,32,4,32,26.14476776123047,True,330218
512,64,16,32,13.68678379058838,True,333160
64,32,64,16,27.580415725708008,True,337044
1024,32,2,8,16.152576446533203,True,340312
256,1024,16,8,1.2206079959869385,True,342923
512,1024,4,16,1.2564480304718018,True,345261
256,1024,2,128,5.022719860076904,True,347911
512,16,16,1,30.427135467529297,True,351759
4,32,2,16,281.33477783203125,True,353573
1024,256,64,8,3.801088094711304,True,356140
2,256,1,4,70.89561462402344,True,362151
256,512,32,4,2.165760040283203,True,364525
512,64,1,2,12.390399932861328,True,367573
4,1024,2,128,16.38604736328125,True,370732
16,512,1,64,8.560640335083008,True,373728
256,4,2,2,111.49517059326172,True,375443
64,512,1,64,3.3064959049224854,True,377926
512,2,32,2,317.87109375,True,379786
8,64,4,1,61.848575592041016,True,385391
8,64,4,1,61.876224517822266,True,390920
16,2,4,1,853.26953125,True,393328
1024,16,32,1,32.231422424316406,True,397589
256,16,1,1,33.41312026977539,True,401622
64,8,2,4,57.98400115966797,True,407162
128,256,1,32,4.230144023895264,True,409762
256,8,1,4,58.029056549072266,True,415166
8,256,8,2,17.772544860839844,True,418395
128,64,16,64,15.139840126037598,True,421420
256,64,16,4,12.590080261230469,True,424425
512,32,4,1,15.48697566986084,True,427766
1024,512,8,64,2.2179839611053467,True,430117
32,1024,8,4,1.5278079509735107,True,432650
64,16,8,1,28.53273582458496,True,436581
16,16,8,2,122.49292755126952,True,438548
32,256,4,1,4.826111793518066,True,441012
512,64,128,1,11.990015983581545,True,444140
8,32,1,32,157.7523193359375,True,446094
16,512,8,8,6.961152076721191,True,448639
16,512,1,32,6.837247848510742,True,451469
128,1024,2,4,2.194432020187378,True,453849
256,4,4,4,118.6201629638672,True,455632
32,128,4,8,8.98969554901123,True,458529
1024,1,512,1,610.2988891601562,True,460694
64,64,4,64,13.28435230255127,True,463649
64,64,8,8,12.240896224975586,True,466728
16,512,2,8,5.347328186035156,True,469292
4,16,2,2,495.26373291015625,True,471354
64,64,32,16,13.102080345153809,True,474425
32,64,2,64,27.668479919433597,True,478162
1024,512,256,2,2.0346879959106445,True,480804
128,4,32,2,165.1015625,True,482555
64,512,4,8,1.4376959800720217,True,484909
256,256,1,8,8.71014404296875,True,487731
64,32,32,4,24.368127822875977,True,491324
16,64,2,32,52.83430480957031,True,496415
256,128,8,32,6.714367866516113,True,499144
32,512,1,64,4.783103942871094,True,501605
1024,64,512,2,12.333056449890137,True,504526
4,1024,4,16,14.629887580871582,True,507709
256,32,128,2,23.810047149658203,True,511290
4,256,2,16,37.83884811401367,True,515507
8,1024,1,1024,31.565824508666992,True,519392
512,256,4,1,5.046271800994873,True,521874
32,256,16,2,4.585472106933594,True,524457
32,1024,4,32,2.135040044784546,True,526885
128,512,4,256,2.313215970993042,True,529299
512,64,8,64,13.722623825073242,True,532291
1024,512,256,4,3.3955841064453125,True,534693
1024,8,512,2,93.67552185058594,True,536329
512,32,4,16,25.021440505981445,True,539964
64,256,2,128,3.8195199966430655,True,542529
512,64,16,2,8.509440422058105,True,545247
256,128,8,8,6.562816143035889,True,547878
1024,1024,8,8,1.2175359725952148,True,550333
1024,4,256,2,187.2097320556641,True,552047
256,256,32,8,3.872767925262451,True,554764
1024,64,8,4,8.454143524169922,True,557565
512,1024,8,1,2.4729599952697754,True,559955
512,32,8,32,25.53036880493164,True,563626
1024,32,512,1,22.07948875427246,True,567273
256,256,16,32,3.693567991256714,True,569877
1,1024,1,256,75.72889709472656,True,576223
256,2,32,2,317.876220703125,True,578015
256,16,64,8,50.72895812988281,True,583137
512,512,32,2,2.0183041095733643,True,585586
64,1,4,1,317.6386413574219,True,587563
128,8,8,4,62.70975875854492,True,593029
128,16,1,16,33.42745590209961,True,597134
256,32,32,4,23.90732765197754,True,600746
64,32,16,32,26.848255157470703,True,604578
