tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
512,4,16,2,121.02655792236328,True,0
512,512,128,1,2.0746240615844727,True,2720
4,256,4,2,35.17951965332031,True,6974
32,128,4,1,8.378368377685547,True,9767
128,1024,4,128,1.4612480401992798,True,12230
256,512,32,1,1.45305597782135,True,14970
256,256,64,1,3.610624074935913,True,17661
128,512,128,1,1.913856029510498,True,20243
1024,128,4,4,4.447231769561768,True,22679
16,1024,8,8,3.824640035629273,True,25166
32,128,32,1,8.457216262817383,True,27936
8,64,4,64,107.99820709228516,True,35978
256,128,32,16,6.7788801193237305,True,38609
512,16,32,1,30.46912002563477,True,42954
64,512,1,1,10.456064224243164,True,45819
256,512,32,32,2.0592639446258545,True,48038
256,64,16,8,12.507136344909668,True,50911
1,32,1,2,1008.1300659179688,True,53520
1024,1024,64,8,1.1663360595703125,True,55773
128,1024,32,32,1.129472017288208,True,58028
2,8,2,2,1920.3819580078125,True,61476
1024,1024,1024,1,4.628479957580566,True,63952
512,16,4,16,47.88838577270508,True,69006
32,128,16,32,14.017536163330078,True,72064
512,512,32,2,2.019328117370605,True,74409
64,16,4,4,29.69599914550781,True,78320
4,256,1,16,36.20454406738281,True,82308
1024,1,2,1,311.5028381347656,True,84282
1024,1024,16,64,1.20524799823761,True,86647
32,1024,2,128,2.520064115524292,True,88955
128,128,32,32,7.279615879058838,True,91766
256,1024,32,8,1.2759040594100952,True,94493
1024,1024,1024,1,4.624383926391602,True,97140
1024,8,64,4,97.94048309326172,True,104457
32,128,8,2,8.401920318603516,True,107248
512,32,2,1,17.710079193115234,True,110470
1024,256,8,4,2.510848045349121,True,112925
128,1024,16,64,1.206272006034851,True,115281
128,1024,32,32,1.129472017288208,True,117531
32,1024,16,64,2.283519983291626,True,119960
1024,1024,1024,1,4.625408172607422,True,122635
1024,512,8,16,1.9896320104599,True,125267
256,256,128,8,3.695616006851196,True,127729
64,8,64,8,100.96844482421876,True,135348
512,512,16,4,2.0357120037078857,True,137979
64,1024,32,32,1.1356159448623655,True,140265
1024,1024,32,32,1.1263999938964844,True,142569
128,512,32,32,2.0592639446258545,True,144901
256,1024,32,8,1.2728320360183716,True,147160
1024,64,8,64,13.658111572265623,True,150037
1024,1024,32,8,1.2462079524993896,True,152491
1024,1024,32,8,1.2513279914855957,True,154711
1024,256,32,32,3.803136110305786,True,157152
128,1024,32,32,1.129472017288208,True,159581
1024,512,1,256,9.783295631408691,True,162233
1024,1024,1,8,3.501055955886841,True,164574
1024,1024,4,256,1.269760012626648,True,166914
1024,1024,1,256,11.569151878356934,True,169955
1024,1024,8,64,1.2451839447021484,True,172443
1024,256,32,32,3.8051838874816895,True,174927
1024,1024,8,32,1.265663981437683,True,177349
1024,1024,32,4,1.2328959703445437,True,179918
512,1024,32,2,1.1929600238800049,True,182266
64,512,32,32,2.0736000537872314,True,184905
1024,1024,32,32,1.1274240016937256,True,187304
2,8,2,8,2056.730712890625,True,190885
4,8,1,2,910.4957275390624,True,193500
32,512,1,16,3.206144094467163,True,195977
1024,1024,128,8,1.930240035057068,True,198405
1024,1024,32,32,1.1274240016937256,True,200856
1024,1024,32,32,1.1263999938964844,True,203568
1024,1024,32,32,1.1274240016937256,True,205787
1024,1024,16,64,1.2042239904403689,True,208142
64,1024,32,4,1.1315200328826904,True,210574
128,1024,32,32,1.129472017288208,True,212925
1024,1024,1,256,11.173888206481934,True,215794
1024,1024,16,32,1.2953599691390991,True,218121
1024,128,64,8,6.7788801193237305,True,220658
64,16,4,4,29.699071884155277,True,224605
32,4,16,2,243.9147491455078,True,226463
1024,1024,64,16,1.1284480094909668,True,228735
1024,1024,32,32,1.1263999938964844,True,231042
1024,1024,16,32,1.2922879457473757,True,233579
512,1024,32,8,1.2615679502487185,True,235931
1024,512,32,32,2.052095890045166,True,238270
1024,1024,32,4,1.2267520427703855,True,240534
1024,256,32,32,3.8041601181030273,True,242834
1024,512,8,64,2.220031976699829,True,245061
1024,1024,16,64,1.2042239904403689,True,247372
1024,1024,16,64,1.2042239904403689,True,249594
1024,1024,32,32,1.1263999938964844,True,251935
1024,1024,32,32,1.1274240016937256,True,254151
1024,1024,128,8,1.930240035057068,True,256647
64,1024,8,128,1.2042239904403689,True,259010
256,128,16,1,4.486144065856934,True,261736
8,512,1,32,11.695103645324709,True,264644
1024,1024,32,32,1.1274240016937256,True,266955
