tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
512,16,64,1,42.03212738037109,True,0
256,2,256,2,374.1470642089844,True,2030
512,1,16,1,444.9597473144531,True,4342
128,4,2,4,115.06893157958984,True,6319
512,16,64,1,42.03110504150391,True,11125
256,256,64,4,3.619839906692505,True,14294
1024,1,512,1,613.0565185546875,True,16775
512,256,64,4,3.783679962158203,True,20604
128,256,32,4,3.520512104034424,True,23175
256,256,64,4,3.619839906692505,True,25638
256,512,32,8,2.239487886428833,True,28750
256,128,64,4,6.958079814910889,True,31799
256,128,32,8,6.5075201988220215,True,34576
256,256,32,4,3.746815919876098,True,37169
64,512,32,16,1.9333120584487915,True,39861
512,128,128,2,6.712319850921631,True,42491
64,512,32,8,1.9804160594940183,True,45044
64,512,16,32,1.9998719692230225,True,47193
64,512,32,8,1.9793920516967771,True,49366
256,1024,128,4,1.8626559972763064,True,51642
512,1024,512,2,3.9383039474487305,True,54223
128,512,128,4,2.0797441005706787,True,56678
256,1024,128,4,1.87391996383667,True,60215
256,1024,128,4,1.8657280206680296,True,62970
256,1024,128,4,1.891327977180481,True,65667
256,1024,256,4,2.601984024047852,True,68421
1024,32,512,1,22.046720504760746,True,72278
128,32,128,8,26.69158363342285,True,76163
256,1024,128,8,1.9220479726791384,True,78598
256,1024,128,4,1.901568055152893,True,81241
256,512,256,4,3.39353609085083,True,83657
256,1024,128,4,1.8995200395584104,True,85969
512,128,128,1,6.446080207824707,True,88896
1024,32,512,2,24.017919540405277,True,92857
128,16,8,4,31.56377601623535,True,97181
16,32,4,4,62.82547378540039,True,103153
256,1024,256,2,1.9148800373077397,True,105762
256,1024,128,4,1.8708479404449463,True,108386
256,1024,128,4,1.8923519849777224,True,111041
256,1024,128,4,1.8892799615859983,True,114195
256,1024,128,4,1.8626559972763064,True,116879
256,32,128,4,25.608192443847656,True,120975
16,1024,16,32,4.060160160064697,True,124270
256,64,128,4,12.84505558013916,True,127899
256,1024,128,4,1.8585599660873413,True,130681
256,256,128,4,3.865600109100342,True,133747
