tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
32,64,2,8,17.20217514038086,True,0
128,16,32,16,50.77299118041992,True,5356
4,1024,2,512,30.7589111328125,True,10059
128,4,128,2,180.5424652099609,True,11900
128,128,2,1,9.025535583496094,True,14789
128,4,8,4,122.56563568115234,True,16429
512,1024,64,8,1.1632640361785889,True,19125
512,256,64,2,3.695616006851196,True,21775
16,16,16,2,124.5132827758789,True,23696
32,32,32,1,30.336000442504883,True,27885
256,1024,4,128,1.3619199991226196,True,30501
1024,512,8,32,2.1975040435791016,True,33365
512,1,64,1,609.560546875,True,35549
512,128,1,2,9.664511680603027,True,39607
32,1024,16,8,2.0541439056396484,True,42303
8,256,1,128,30.765056610107425,True,46401
512,256,16,64,4.049920082092285,True,49501
1024,2,256,1,307.67205810546875,True,51286
1024,1024,512,1,1.9128320217132568,True,54177
2,1024,1,256,37.02272033691406,True,59253
1024,128,4,16,6.516736030578613,True,62230
1024,64,128,2,12.381183624267578,True,65311
1024,512,512,1,2.011136054992676,True,68002
512,64,512,1,11.177984237670898,True,71270
256,8,64,1,83.3433609008789,True,78150
1024,8,512,2,93.28435516357422,True,79895
128,64,8,64,13.668352127075195,True,82991
512,32,256,4,25.52729606628418,True,87214
1024,128,256,4,6.5669121742248535,True,90188
128,32,4,16,24.002559661865234,True,94103
256,512,1,64,6.238207817077637,True,97190
128,4,64,2,179.5635223388672,True,98948
8,1024,1,128,8.507391929626465,True,102394
32,256,1,8,4.829184055328369,True,105580
128,2,128,1,320.2539367675781,True,107299
16,256,2,256,16.928768157958984,True,111034
512,512,16,1,1.623039960861206,True,114005
32,1024,32,32,2.125823974609375,True,116851
64,512,8,64,1.97324800491333,True,119447
128,256,128,8,3.7027840614318848,True,122295
512,4,512,1,159.30776977539062,True,124054
4,256,1,256,70.19519805908203,True,130690
256,64,128,1,12.083200454711914,True,134090
256,64,64,4,12.576767921447754,True,137458
128,64,32,32,14.127103805541992,True,140795
128,1024,2,256,4.058112144470215,True,143725
1024,16,8,2,30.46912002563477,True,148412
64,32,32,32,27.673599243164062,True,152462
64,2,64,1,321.0526733398437,True,154702
2,512,1,1,38.25254440307617,True,159499
512,64,256,1,12.072959899902344,True,162527
16,8,16,4,378.5062255859375,True,164744
8,128,8,16,52.23526382446289,True,170510
128,256,8,128,4.098048210144043,True,173112
