tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
8,64,4,8,67.25017547607422,True,0
512,128,2,1,9.50169563293457,True,3192
64,2,16,1,228.61721801757807,True,17609
1024,8,2,1,54.119422912597656,True,23474
1024,4,128,2,183.0932464599609,True,35665
64,512,2,256,2.263040065765381,True,38612
128,64,1,1,17.354751586914062,True,42201
1024,1,8,1,352.5304260253906,True,44642
1024,128,128,1,6.603775978088379,True,47805
1024,1024,8,32,1.2472319602966309,True,50370
64,16,16,8,48.14643096923828,True,55531
128,256,16,2,2.5866239070892334,True,58466
1,1024,1,1024,253.07955932617188,True,60322
8,1024,2,4,5.487616062164307,True,63526
256,1024,32,4,1.2441600561141968,True,66486
1024,256,16,4,3.536895990371704,True,69283
16,512,1,8,5.064703941345215,True,72321
4,256,1,16,35.85740661621094,True,76866
4,512,1,32,21.215232849121094,True,81251
16,256,8,32,13.867008209228516,True,84834
16,256,2,32,13.507583618164062,True,88558
1024,256,4,32,3.5543038845062256,True,92150
8,64,8,4,66.74636840820312,True,98765
512,128,64,4,6.913023948669434,True,101659
1,1024,1,128,70.3641586303711,True,107802
256,1024,4,4,1.6138240098953247,True,110275
256,512,32,4,2.158591985702514,True,113099
128,512,32,2,2.032639980316162,True,116513
8,512,2,32,14.346240043640137,True,121057
16,2,16,2,978.4279174804688,True,123556
1024,256,1,64,5.901311874389648,True,126999
16,64,4,64,53.39955139160156,True,132776
1024,512,1,16,11.742207527160645,True,136435
512,1024,256,1,1.1724799871444702,True,139359
512,512,64,2,2.0654079914093018,True,141933
512,1024,32,4,1.2257280349731443,True,144970
1024,1024,256,1,1.206272006034851,True,147776
512,1024,256,2,1.9343359470367432,True,150826
128,1024,8,2,1.4909440279006958,True,153807
1024,1024,256,2,1.9333120584487915,True,157028
8,1024,2,512,15.388671875,True,160670
512,1024,256,2,1.9333120584487915,True,163491
1024,1024,256,1,1.2083200216293335,True,166491
512,1024,256,2,1.9343359470367432,True,169386
32,512,2,64,4.074495792388916,True,172520
