tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
32,128,8,128,15.98361587524414,True,0
1024,4,512,1,159.80645751953125,True,1806
16,1024,2,64,4.238336086273193,True,4550
1024,16,1024,1,41.98297500610352,True,9095
512,1024,512,2,3.936255931854248,True,11497
512,1024,256,4,2.6071040630340576,True,13837
16,1024,2,2,4.859903812408447,True,16170
16,128,2,64,27.57222366333008,True,20088
1024,64,64,16,14.208000183105469,True,23595
128,8,2,1,50.87539291381836,True,28827
128,64,8,64,13.65708827972412,True,31956
256,64,4,64,13.179903984069824,True,34740
256,1024,128,8,1.9220479726791384,True,37022
1024,1024,1024,1,4.625408172607422,True,39491
512,1024,256,2,1.9343359470367432,True,42265
512,1024,256,4,2.6071040630340576,True,44935
256,256,128,8,3.691519975662232,True,47313
16,1024,2,256,4.652031898498535,True,50342
32,128,8,64,14.054400444030762,True,53925
256,1024,128,8,1.9230719804763796,True,56112
256,1024,64,8,1.1612160205841064,True,58401
256,1024,128,8,1.9220479726791384,True,61293
512,1024,512,2,3.937279939651489,True,63666
256,1024,128,4,1.8647040128707888,True,65995
128,1024,64,8,1.1489280462265017,True,68553
256,1024,64,8,1.1632640361785889,True,70843
256,1024,128,8,1.9230719804763796,True,73023
256,1024,64,16,1.129472017288208,True,75533
512,1024,256,4,2.6060800552368164,True,77770
256,1024,64,8,1.1601920127868652,True,80020
256,1024,128,8,1.9230719804763796,True,82142
512,1024,128,8,1.9251199960708616,True,84783
256,1024,64,16,1.1284480094909668,True,86876
128,1024,64,16,1.1335680484771729,True,89444
128,1024,32,32,1.1304960250854492,True,91621
256,1024,64,16,1.1274240016937256,True,93911
256,1024,128,8,1.9230719804763796,True,96147
256,1024,64,16,1.1284480094909668,True,98503
128,1024,16,64,1.20524799823761,True,100767
256,1024,64,16,1.1284480094909668,True,103070
256,1024,64,16,1.1284480094909668,True,105541
128,1024,64,16,1.1325440406799316,True,107917
256,1024,64,16,1.1284480094909668,True,110114
128,1024,64,16,1.1335680484771729,True,112323
256,1024,64,16,1.1284480094909668,True,114511
256,1024,64,16,1.1284480094909668,True,116724
256,1024,128,8,1.9230719804763796,True,119100
256,1024,64,16,1.1284480094909668,True,121337
512,1024,64,16,1.1263999938964844,True,123538
256,512,64,16,2.0541439056396484,True,126198
256,1024,64,16,1.1284480094909668,True,128564
256,1024,64,16,1.1284480094909668,True,130749
512,512,64,16,2.046976089477539,True,133324
256,1024,32,32,1.1253759860992432,True,135773
256,1024,64,16,1.1284480094909668,True,138059
512,1024,64,16,1.1263999938964844,True,140456
256,1024,32,32,1.1253759860992432,True,142605
256,1024,16,64,1.2042239904403689,True,144997
256,1024,32,16,1.1909120082855225,True,147127
1024,1024,32,32,1.1274240016937256,True,149690
256,1024,32,32,1.1253759860992432,True,152082
256,1024,32,32,1.1263999938964844,True,154561
1024,1024,64,16,1.1284480094909668,True,157319
256,1024,8,128,1.2042239904403689,True,159704
512,1024,32,32,1.1253759860992432,True,162005
256,1024,32,32,1.1253759860992432,True,164605
256,1024,32,32,1.1253759860992432,True,166852
256,1024,32,32,1.1263999938964844,True,169138
256,1024,32,2,1.1786240339279177,True,171614
128,1024,4,8,0.9359359741210938,True,173847
128,1024,32,32,1.1304960250854492,True,176133
512,1024,64,16,1.1263999938964844,True,178319
128,256,4,128,3.727360010147095,True,180726
256,1024,8,4,0.92876797914505,True,182822
128,1024,4,32,1.1786240339279177,True,185191
16,1024,4,8,2.855936050415039,True,188153
128,1024,8,4,0.9000959992408752,True,190691
256,4,8,4,123.08992004394533,True,192425
1024,4,512,1,159.4931182861328,True,194084
32,1024,8,4,1.5267839431762695,True,196625
64,1024,8,4,0.8642560243606567,True,198927
256,1024,32,4,1.2451839447021484,True,201366
1024,1024,512,1,1.913856029510498,True,204036
128,32,8,8,23.86841583251953,True,207664
1024,1024,1024,1,4.628479957580566,True,210056
32,1024,1,8,4.64793586730957,True,212514
1024,1024,8,4,1.0004479885101318,True,214732
8,1024,8,4,5.427199840545654,True,217314
64,1024,8,16,1.137663960456848,True,220088
64,1024,8,16,1.137663960456848,True,223716
256,1024,64,2,1.1960320472717283,True,226599
64,1024,8,4,0.8652799725532532,True,228858
256,1024,8,4,0.9256960153579712,True,231309
64,1024,8,2,1.4131200313568115,True,233544
32,1024,2,8,1.763327956199646,True,235679
256,1024,128,2,1.1857919692993164,True,238045
128,512,32,4,2.037760019302368,True,240926
64,512,8,4,1.4120960235595703,True,243338
64,1024,8,4,0.8652799725532532,True,245924
128,1024,8,4,0.899071991443634,True,248364
16,256,16,2,8.992768287658691,True,251249
128,8,64,1,82.14118194580078,True,257781
32,1024,2,512,3.84716796875,True,260125
64,1024,8,16,1.137663960456848,True,262295
64,1024,8,1,1.9814399480819704,True,264723
64,1024,8,4,0.8652799725532532,True,267279
1024,1024,8,2,1.5493119955062866,True,269569
1024,1024,1024,1,4.625408172607422,True,272058
64,512,8,16,1.9322880506515503,True,274536
64,1024,8,4,0.8652799725532532,True,276683
64,512,8,4,1.4120960235595703,True,279016
64,1024,2,8,2.6112000942230225,True,281595
64,1024,8,8,1.1335680484771729,True,284024
16,64,8,4,32.96460723876953,True,288121
512,1024,256,2,1.9363839626312256,True,290524
32,1024,2,8,1.763327956199646,True,293093
64,1024,8,4,0.8663039803504944,True,295367
64,1024,8,4,0.8663039803504944,True,297915
32,1024,8,8,2.042880058288574,True,300764
256,1024,32,2,1.1796480417251587,True,303310
1024,256,512,2,6.166528224945068,True,305966
4,512,4,1,18.893823623657227,True,309083
512,8,16,8,96.18534088134766,True,310903
128,16,2,16,34.03468704223633,True,314846
64,1024,8,2,1.4141440391540527,True,317204
64,1024,8,4,0.8663039803504944,True,319707
64,1024,8,8,1.1335680484771729,True,322031
64,1024,8,4,0.8652799725532532,True,324312
8,1024,8,4,5.428224086761475,True,326864
512,1024,8,4,0.9625599980354308,True,329224
64,1024,8,128,1.2042239904403689,True,331517
64,1024,8,64,1.224704027175903,True,334474
128,1024,16,4,1.1909120082855225,True,336712
64,1024,8,4,0.8663039803504944,True,339193
256,1024,8,4,0.9277439713478088,True,341417
64,512,8,4,1.4120960235595703,True,343640
1,1024,1,32,47.96006393432617,True,348317
64,1024,8,128,1.2031999826431274,True,350567
64,64,8,4,8.460288047790527,True,353194
256,1024,1,8,3.3648641109466557,True,355625
64,1024,16,4,1.1458560228347778,True,357896
64,1024,8,4,0.8663039803504944,True,360246
64,1024,8,4,0.8652799725532532,True,362512
128,1024,32,4,1.2298239469528198,True,364670
16,512,8,8,6.953983783721924,True,367527
1024,1024,8,4,1.0024960041046145,True,369707
256,4,8,4,123.09913635253906,True,371280
128,1024,8,4,0.899071991443634,True,373589
8,1024,4,256,9.581567764282228,True,376535
128,1024,32,8,1.2421120405197144,True,378737
64,1024,8,4,0.8652799725532532,True,380838
256,1024,8,8,1.1683839559555054,True,383376
512,1024,8,4,0.963584005832672,True,385874
32,1024,8,4,1.5267839431762695,True,388481
32,1024,1,8,4.641791820526123,True,391473
256,1024,8,4,0.9308159947395324,True,393777
512,1024,8,4,0.9625599980354308,True,395959
128,1024,16,4,1.1898880004882812,True,398079
64,1024,8,2,1.4141440391540527,True,400302
